,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160904:0956,383.6,690.48,38.26,15.19,9.09,0,,,,,,,,,,
20160904:1056,247.58,445.644,43.31,16.16,8.62,0,,,,,,,,,,
20160904:1156,329.1,592.38,45.44,17.12,8.14,0,,,,,,,,,,
20160904:1256,269.73,485.514,44.22,18.08,7.67,0,,,,,,,,,,
20160904:1356,255.46,459.828,39.91,18.22,7.06,0,,,,,,,,,,
20160904:1456,146.07,262.926,33.28,18.35,6.46,0,,,,,,,,,,
20160904:1556,172.54,310.572,25.17,18.49,5.85,0,,,,,,,,,,
20160904:1656,77.07,138.726,16.24,17.98,5.2,0,,,,,,,,,,
20160904:1756,35.25,63.45,6.99,17.46,4.54,0,,,,,,,,,,
20160904:1856,0,0,0,16.95,3.89,0,,,,,,,,,,
20160904:1956,0,0,0,16.3,3.32,0,,,,,,,,,,
20160904:2056,0,0,0,15.65,2.76,0,,,,,,,,,,
20160904:2156,0,0,0,15,2.19,0,,,,,,,,,,
20160904:2256,0,0,0,14.84,2.02,0,,,,,,,,,,
20160904:2356,0,0,0,14.68,1.84,0,,,,,,,,,,
20160905:0056,0,0,0,14.53,1.67,0,,,,,,,,,,
20160905:0156,0,0,0,14.09,1.99,0,,,,,,,,,,
20160905:0256,0,0,0,13.66,2.3,0,,,,,,,,,,
20160905:0356,0,0,0,13.23,2.62,0,,,,,,,,,,
20160905:0456,0,0,0,13.32,3.14,0,,,,,,,,,,
20160905:0556,25.89,46.602,4.19,13.42,3.67,0,,,,,,,,,,
20160905:0656,61.76,111.168,13.45,13.51,4.19,0,,,,,,,,,,
20160905:0756,127.1,228.78,22.5,14.02,3.94,0,,,,,,,,,,
20160905:0856,140.77,253.386,30.88,14.53,3.68,0,,,,,,,,,,
20160905:0956,274.24,493.632,37.96,15.04,3.42,0,,,,,,,,,,
20160905:1056,274.16,493.488,42.97,16.07,3.28,0,,,,,,,,,,
20160905:1156,209.16,376.488,45.08,17.1,3.14,0,,,,,,,,,,
20160905:1256,312.15,561.87,43.84,18.13,3.01,0,,,,,,,,,,
20160905:1356,202.39,364.302,39.53,19.56,3.65,0,,,,,,,,,,
20160905:1456,264.19,475.542,32.92,21,4.29,0,,,,,,,,,,
20160905:1556,163.59,294.462,24.82,22.43,4.94,0,,,,,,,,,,
20160905:1656,84.95,152.91,15.89,21.97,4.5,0,,,,,,,,,,
20160905:1756,30.74,55.332,6.64,21.52,4.06,0,,,,,,,,,,
20160905:1856,0,0,0,21.06,3.61,0,,,,,,,,,,
20160905:1956,0,0,0,20.42,3.37,0,,,,,,,,,,
20160905:2056,0,0,0,19.77,3.14,0,,,,,,,,,,
20160905:2156,0,0,0,19.13,2.9,0,,,,,,,,,,
20160905:2256,0,0,0,18.85,2.69,0,,,,,,,,,,
