,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160304:1156,660.83,1189.494,31.58,3.51,5.26,0,,,,,,,,,,
20160304:1256,265.05,477.09,31.21,4.51,5.41,0,,,,,,,,,,
20160304:1356,219.55,395.19,28.11,4.43,5.03,0,,,,,,,,,,
20160304:1456,108.71,195.678,22.72,4.35,4.66,0,,,,,,,,,,
20160304:1556,85.22,153.396,15.6,4.27,4.29,0,,,,,,,,,,
20160304:1656,76.7,138.06,7.31,3.52,3.31,0,,,,,,,,,,
20160304:1756,0,0,0,2.77,2.32,0,,,,,,,,,,
20160304:1856,0,0,0,2.02,1.34,0,,,,,,,,,,
20160304:1956,0,0,0,1.49,1.14,0,,,,,,,,,,
20160304:2056,0,0,0,0.96,0.93,0,,,,,,,,,,
20160304:2156,0,0,0,0.43,0.73,0,,,,,,,,,,
20160304:2256,0,0,0,0.28,1.34,0,,,,,,,,,,
20160304:2356,0,0,0,0.13,1.94,0,,,,,,,,,,
20160305:0056,0,0,0,-0.01,2.55,0,,,,,,,,,,
20160305:0156,0,0,0,-1.87,2.96,0,,,,,,,,,,
20160305:0256,0,0,0,-3.72,3.37,0,,,,,,,,,,
20160305:0356,0,0,0,-5.57,3.78,0,,,,,,,,,,
20160305:0456,0,0,0,-4.77,4.07,0,,,,,,,,,,
20160305:0556,0,0,0,-3.98,4.37,0,,,,,,,,,,
20160305:0656,6.69,12.042,1.1,-3.18,4.66,0,,,,,,,,,,
20160305:0756,4.82,8.676,9.95,-1.54,5.36,0,,,,,,,,,,
20160305:0856,217.88,392.184,17.99,0.09,6.05,0,,,,,,,,,,
20160305:0956,393.56,708.408,24.72,1.73,6.74,0,,,,,,,,,,
20160305:1056,371.77,669.186,29.57,2.45,7.3,0,,,,,,,,,,
20160305:1156,606.83,1092.294,31.97,3.17,7.85,0,,,,,,,,,,
20160305:1256,594.01,1069.218,31.58,3.89,8.4,0,,,,,,,,,,
20160305:1356,326.28,587.304,28.47,4.4,8.07,0,,,,,,,,,,
20160305:1456,418.72,753.696,23.04,4.92,7.75,0,,,,,,,,,,
20160305:1556,301.96,543.528,15.9,5.43,7.42,0,,,,,,,,,,
20160305:1656,33.59,60.462,7.59,4.69,6.64,0,,,,,,,,,,
20160305:1756,0,0,0,3.94,5.86,0,,,,,,,,,,
20160305:1856,0,0,0,3.2,5.08,0,,,,,,,,,,
20160305:1956,0,0,0,2.51,5.11,0,,,,,,,,,,
20160305:2056,0,0,0,1.83,5.15,0,,,,,,,,,,
20160305:2156,0,0,0,1.14,5.19,0,,,,,,,,,,
20160305:2256,0,0,0,0.94,5.14,0,,,,,,,,,,
20160305:2356,0,0,0,0.74,5.09,0,,,,,,,,,,
20160306:0056,0,0,0,0.54,5.03,0,,,,,,,,,,
20160306:0156,0,0,0,0.33,4.74,0,,,,,,,,,,
20160306:0256,0,0,0,0.12,4.45,0,,,,,,,,,,
20160306:0356,0,0,0,-0.09,4.15,0,,,,,,,,,,
20160306:0456,0,0,0,-0.13,4.17,0,,,,,,,,,,
20160306:0556,0,0,0,-0.16,4.18,0,,,,,,,,,,
20160306:0656,8.43,15.174,1.44,-0.2,4.19,0,,,,,,,,,,
20160306:0756,86.2,155.16,10.3,0.38,4.77,0,,,,,,,,,,
20160306:0856,191.74,345.132,18.35,0.97,5.34,0,,,,,,,,,,
20160306:0956,271.89,489.402,25.1,1.55,5.92,0,,,,,,,,,,
20160306:1056,721.44,1298.592,29.96,2.09,5.89,0,,,,,,,,,,
20160306:1156,146.96,264.528,32.36,2.63,5.87,0,,,,,,,,,,
20160306:1256,166.44,299.592,31.96,3.17,5.85,0,,,,,,,,,,
20160306:1356,291.77,525.186,28.82,3.39,5.48,0,,,,,,,,,,
20160306:1456,190.43,342.774,23.37,3.61,5.1,0,,,,,,,,,,
20160306:1556,57.3,103.14,16.2,3.82,4.73,0,,,,,,,,,,
20160306:1656,3.73,6.714,7.87,3.36,4.06,0,,,,,,,,,,
20160306:1756,0,0,0,2.89,3.39,0,,,,,,,,,,
20160306:1856,0,0,0,2.43,2.72,0,,,,,,,,,,
20160306:1956,0,0,0,1.68,2.77,0,,,,,,,,,,
20160306:2056,0,0,0,0.93,2.83,0,,,,,,,,,,
20160306:2156,0,0,0,0.18,2.88,0,,,,,,,,,,
20160306:2256,0,0,0,-0.25,3.1,0,,,,,,,,,,
20160306:2356,0,0,0,-0.68,3.32,0,,,,,,,,,,
20160307:0056,0,0,0,-1.11,3.54,0,,,,,,,,,,
20160307:0156,0,0,0,-1.28,3.65,0,,,,,,,,,,
20160307:0256,0,0,0,-1.45,3.76,0,,,,,,,,,,
20160307:0356,0,0,0,-1.62,3.86,0,,,,,,,,,,
20160307:0456,0,0,0,-1.88,3.84,0,,,,,,,,,,
20160307:0556,0,0,0,-2.14,3.83,0,,,,,,,,,,
20160307:0656,11.55,20.79,1.79,-2.4,3.81,0,,,,,,,,,,
20160307:0756,303.21,545.778,10.65,-1.39,4.32,0,,,,,,,,,,
20160307:0856,555.88,1000.584,18.72,-0.39,4.83,0,,,,,,,,,,
20160307:0956,762.09,1371.762,25.48,0.62,5.34,0,,,,,,,,,,
20160307:1056,897.04,1614.672,30.35,1.74,5.73,0,,,,,,,,,,
20160307:1156,536.02,964.836,32.75,2.86,6.12,0,,,,,,,,,,
20160307:1256,928.45,1671.21,32.34,3.98,6.51,0,,,,,,,,,,
20160307:1356,821.37,1478.466,29.18,4.45,6.17,0,,,,,,,,,,
20160307:1456,570.34,1026.612,23.7,4.93,5.84,0,,,,,,,,,,
20160307:1556,413.11,743.598,16.5,5.4,5.5,0,,,,,,,,,,
20160307:1656,166.15,299.07,8.15,4.29,4.45,0,,,,,,,,,,
20160307:1756,0,0,0,3.18,3.39,0,,,,,,,,,,
20160307:1856,0,0,0,2.07,2.33,0,,,,,,,,,,
20160307:1956,0,0,0,0.82,2.38,0,,,,,,,,,,
20160307:2056,0,0,0,-0.42,2.42,0,,,,,,,,,,
20160307:2156,0,0,0,-1.67,2.47,0,,,,,,,,,,
20160307:2256,0,0,0,-2.18,2.44,0,,,,,,,,,,
20160307:2356,0,0,0,-2.69,2.4,0,,,,,,,,,,
20160308:0056,0,0,0,-3.2,2.37,0,,,,,,,,,,
20160308:0156,0,0,0,-3.43,2.3,0,,,,,,,,,,
20160308:0256,0,0,0,-3.66,2.23,0,,,,,,,,,,
20160308:0356,0,0,0,-3.89,2.15,0,,,,,,,,,,
20160308:0456,0,0,0,-3.54,2.19,0,,,,,,,,,,
20160308:0556,0,0,0,-3.19,2.23,0,,,,,,,,,,
20160308:0656,4.5,8.1,2.13,-2.84,2.28,0,,,,,,,,,,
20160308:0756,58.93,106.074,11,-1.49,2.88,0,,,,,,,,,,
20160308:0856,102.65,184.77,19.08,-0.14,3.49,0,,,,,,,,,,
20160308:0956,218.33,392.994,25.86,1.21,4.1,0,,,,,,,,,,
20160308:1056,326.57,587.826,30.74,2.49,4.69,0,,,,,,,,,,
20160308:1156,572.22,1029.996,33.15,3.76,5.28,0,,,,,,,,,,
20160308:1256,202.05,363.69,32.72,5.04,5.88,0,,,,,,,,,,
20160308:1356,222.95,401.31,29.53,5.61,5.99,0,,,,,,,,,,
20160308:1456,90.87,163.566,24.02,6.19,6.1,0,,,,,,,,,,
20160308:1556,53.8,96.84,16.8,6.76,6.21,0,,,,,,,,,,
20160308:1656,4,7.2,8.43,6.56,5.87,0,,,,,,,,,,
20160308:1756,0,0,0,6.36,5.53,0,,,,,,,,,,
20160308:1856,0,0,0,6.16,5.19,0,,,,,,,,,,
20160308:1956,0,0,0,6.17,5.48,0,,,,,,,,,,
20160308:2056,0,0,0,6.19,5.77,0,,,,,,,,,,
20160308:2156,0,0,0,6.2,6.07,0,,,,,,,,,,
20160308:2256,0,0,0,6.3,5.6,0,,,,,,,,,,
20160308:2356,0,0,0,6.4,5.13,0,,,,,,,,,,
20160309:0056,0,0,0,6.51,4.66,0,,,,,,,,,,
20160309:0156,0,0,0,6.43,5.19,0,,,,,,,,,,
20160309:0256,0,0,0,6.35,5.72,0,,,,,,,,,,
20160309:0356,0,0,0,6.27,6.25,0,,,,,,,,,,
20160309:0456,0,0,0,6.13,4.38,0,,,,,,,,,,
20160309:0556,0,0,0,5.98,2.51,0,,,,,,,,,,
20160309:0656,5.28,9.504,2.48,5.84,0.65,0,,,,,,,,,,
20160309:0756,27.24,49.032,11.36,5.42,2.84,0,,,,,,,,,,
20160309:0856,119.6,215.28,19.45,4.99,5.03,0,,,,,,,,,,
20160309:0956,70.72,127.296,26.25,4.57,7.23,0,,,,,,,,,,
20160309:1056,96.87,174.366,31.14,4.65,8.11,0,,,,,,,,,,
20160309:1156,165.91,298.638,33.54,4.72,8.99,0,,,,,,,,,,
20160309:1256,124.34,223.812,33.1,4.8,9.88,0,,,,,,,,,,
20160309:1356,37.48,67.464,29.89,4.97,9.81,0,,,,,,,,,,
20160309:1456,113.54,204.372,24.35,5.14,9.74,0,,,,,,,,,,
20160309:1556,60.35,108.63,17.1,5.3,9.67,0,,,,,,,,,,
20160309:1656,58.47,105.246,8.71,5.12,9.39,0,,,,,,,,,,
20160309:1756,0,0,0,4.93,9.11,0,,,,,,,,,,
20160309:1856,0,0,0,4.75,8.83,0,,,,,,,,,,
20160309:1956,0,0,0,4.63,8.23,0,,,,,,,,,,
20160309:2056,0,0,0,4.5,7.62,0,,,,,,,,,,
20160309:2156,0,0,0,4.38,7.02,0,,,,,,,,,,
20160309:2256,0,0,0,4.4,6.67,0,,,,,,,,,,
20160309:2356,0,0,0,4.42,6.31,0,,,,,,,,,,
20160310:0056,0,0,0,4.43,5.96,0,,,,,,,,,,
20160310:0156,0,0,0,4.23,5.59,0,,,,,,,,,,
20160310:0256,0,0,0,4.02,5.22,0,,,,,,,,,,
