,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160704:0756,522.2,939.96,34.09,12.94,2.75,0,,,,,,,,,,
20160704:0856,324.23,583.614,43.13,14.97,3.46,0,,,,,,,,,,
20160704:0956,601.03,1081.854,51.37,17,4.17,0,,,,,,,,,,
20160704:1056,457.89,824.202,57.8,17.65,4.33,0,,,,,,,,,,
20160704:1156,631.28,1136.304,60.98,18.31,4.49,0,,,,,,,,,,
20160704:1256,226.04,406.872,59.75,18.96,4.65,0,,,,,,,,,,
20160704:1356,186.56,335.808,54.61,19.06,5.1,0,,,,,,,,,,
20160704:1456,142.67,256.806,47.05,19.17,5.55,0,,,,,,,,,,
20160704:1556,276.06,496.908,38.28,19.27,6,0,,,,,,,,,,
20160704:1656,143.88,258.984,29.06,18.97,6.2,0,,,,,,,,,,
20160704:1756,118.38,213.084,19.86,18.67,6.4,0,,,,,,,,,,
20160704:1856,41.29,74.322,11.03,18.37,6.59,0,,,,,,,,,,
20160704:1956,13.13,23.634,2.9,17.59,6.38,0,,,,,,,,,,
20160704:2056,0,0,0,16.8,6.16,0,,,,,,,,,,
20160704:2156,0,0,0,16.02,5.94,0,,,,,,,,,,
20160704:2256,0,0,0,15.63,6.03,0,,,,,,,,,,
20160704:2356,0,0,0,15.24,6.12,0,,,,,,,,,,
20160705:0056,0,0,0,14.85,6.21,0,,,,,,,,,,
20160705:0156,0,0,0,14.73,6.13,0,,,,,,,,,,
20160705:0256,0,0,0,14.61,6.05,0,,,,,,,,,,
20160705:0356,0,0,0,14.49,5.97,0,,,,,,,,,,
20160705:0456,39.04,70.272,7.11,14.35,5.98,0,,,,,,,,,,
20160705:0556,83.08,149.544,15.66,14.2,5.99,0,,,,,,,,,,
20160705:0656,134.96,242.928,24.73,14.06,6,0,,,,,,,,,,
20160705:0756,139.99,251.982,33.99,14.45,6.05,0,,,,,,,,,,
20160705:0856,279.05,502.29,43.04,14.84,6.09,0,,,,,,,,,,
20160705:0956,424.86,764.748,51.27,15.23,6.14,0,,,,,,,,,,
20160705:1056,513.58,924.444,57.7,16.03,6.07,0,,,,,,,,,,
20160705:1156,364.34,655.812,60.88,16.84,6,0,,,,,,,,,,
20160705:1256,1007.55,1813.59,59.67,17.64,5.93,0,,,,,,,,,,
20160705:1356,727.93,1310.274,54.55,18.32,5.66,0,,,,,,,,,,
20160705:1456,560.52,1008.936,47,19,5.39,0,,,,,,,,,,
20160705:1556,498.18,896.724,38.24,19.67,5.12,0,,,,,,,,,,
20160705:1656,289,520.2,29.02,19.21,5.14,0,,,,,,,,,,
20160705:1756,118.72,213.696,19.82,18.75,5.17,0,,,,,,,,,,
20160705:1856,64.96,116.928,10.98,18.29,5.2,0,,,,,,,,,,
20160705:1956,13.25,23.85,2.85,17.08,4.61,0,,,,,,,,,,
20160705:2056,0,0,0,15.88,4.01,0,,,,,,,,,,
20160705:2156,0,0,0,14.67,3.42,0,,,,,,,,,,
20160705:2256,0,0,0,13.72,3.1,0,,,,,,,,,,
20160705:2356,0,0,0,12.77,2.79,0,,,,,,,,,,
20160706:0056,0,0,0,11.82,2.47,0,,,,,,,,,,
20160706:0156,0,0,0,10.87,2.29,0,,,,,,,,,,
20160706:0256,0,0,0,9.91,2.12,0,,,,,,,,,,
20160706:0356,0,0,0,8.95,1.94,0,,,,,,,,,,
20160706:0456,37.77,67.986,7.01,9.43,2.19,0,,,,,,,,,,
20160706:0556,112.84,203.112,15.56,9.91,2.44,0,,,,,,,,,,
20160706:0656,209.86,377.748,24.64,10.39,2.69,0,,,,,,,,,,
20160706:0756,422.96,761.328,33.9,12.04,2.42,0,,,,,,,,,,
20160706:0856,584.54,1052.172,42.94,13.69,2.16,0,,,,,,,,,,
20160706:0956,835.63,1504.134,51.17,15.34,1.89,0,,,,,,,,,,
20160706:1056,981.9,1767.42,57.6,16.2,2.12,0,,,,,,,,,,
20160706:1156,938.2,1688.76,60.78,17.06,2.35,0,,,,,,,,,,
20160706:1256,821.15,1478.07,59.59,17.92,2.58,0,,,,,,,,,,
20160706:1356,793.42,1428.156,54.49,18.56,2.39,0,,,,,,,,,,
20160706:1456,614.38,1105.884,46.95,19.2,2.19,0,,,,,,,,,,
20160706:1556,340.16,612.288,38.19,19.84,2,0,,,,,,,,,,
20160706:1656,195.91,352.638,28.98,19.58,1.96,0,,,,,,,,,,
20160706:1756,90.23,162.414,19.77,19.31,1.93,0,,,,,,,,,,
20160706:1856,22.4,40.32,10.93,19.05,1.89,0,,,,,,,,,,
20160706:1956,12.28,22.104,2.79,18.13,2.11,0,,,,,,,,,,
20160706:2056,0,0,0,17.21,2.32,0,,,,,,,,,,
20160706:2156,0,0,0,16.29,2.54,0,,,,,,,,,,
20160706:2256,0,0,0,15.87,2.86,0,,,,,,,,,,
20160706:2356,0,0,0,15.45,3.18,0,,,,,,,,,,
20160707:0056,0,0,0,15.02,3.5,0,,,,,,,,,,
20160707:0156,0,0,0,14.1,3.31,0,,,,,,,,,,
20160707:0256,0,0,0,13.17,3.11,0,,,,,,,,,,
20160707:0356,0,0,0,12.25,2.91,0,,,,,,,,,,
20160707:0456,31.84,57.312,6.9,12.49,3.31,0,,,,,,,,,,
20160707:0556,76.34,137.412,15.46,12.72,3.72,0,,,,,,,,,,
20160707:0656,216.94,390.492,24.53,12.96,4.12,0,,,,,,,,,,
20160707:0756,304.06,547.308,33.8,14.06,4.51,0,,,,,,,,,,
20160707:0856,276.82,498.276,42.84,15.15,4.89,0,,,,,,,,,,
20160707:0956,592.87,1067.166,51.06,16.25,5.27,0,,,,,,,,,,
20160707:1056,496.27,893.286,57.49,17.26,5.28,0,,,,,,,,,,
20160707:1156,609.29,1096.722,60.68,18.26,5.3,0,,,,,,,,,,
20160707:1256,528.73,951.714,59.5,19.27,5.31,0,,,,,,,,,,
20160707:1356,565,1017,54.41,19.63,5.35,0,,,,,,,,,,
20160707:1456,215.42,387.756,46.89,19.99,5.39,0,,,,,,,,,,
20160707:1556,151.63,272.934,38.14,20.35,5.43,0,,,,,,,,,,
20160707:1656,124.3,223.74,28.92,19.9,5.17,0,,,,,,,,,,
20160707:1756,88.77,159.786,19.72,19.44,4.91,0,,,,,,,,,,
20160707:1856,55.18,99.324,10.87,18.98,4.65,0,,,,,,,,,,
20160707:1956,11.77,21.186,2.73,18.13,4.26,0,,,,,,,,,,
20160707:2056,0,0,0,17.28,3.87,0,,,,,,,,,,
20160707:2156,0,0,0,16.44,3.48,0,,,,,,,,,,
20160707:2256,0,0,0,16.01,3.66,0,,,,,,,,,,
20160707:2356,0,0,0,15.58,3.85,0,,,,,,,,,,
20160708:0056,0,0,0,15.14,4.04,0,,,,,,,,,,
20160708:0156,0,0,0,14.79,4.64,0,,,,,,,,,,
20160708:0256,0,0,0,14.44,5.25,0,,,,,,,,,,
20160708:0356,0,0,0,14.09,5.85,0,,,,,,,,,,
20160708:0456,30.4,54.72,6.79,14.3,6.34,0,,,,,,,,,,
20160708:0556,87.3,157.14,15.35,14.51,6.82,0,,,,,,,,,,
20160708:0656,136.67,246.006,24.43,14.72,7.31,0,,,,,,,,,,
20160708:0756,227.33,409.194,33.69,15.48,7.83,0,,,,,,,,,,
20160708:0856,234.41,421.938,42.73,16.24,8.35,0,,,,,,,,,,
20160708:0956,395.65,712.17,50.95,17,8.87,0,,,,,,,,,,
20160708:1056,511.56,920.808,57.37,17.83,8.51,0,,,,,,,,,,
20160708:1156,520.97,937.746,60.57,18.66,8.14,0,,,,,,,,,,
20160708:1256,279.99,503.982,59.4,19.49,7.78,0,,,,,,,,,,
20160708:1356,168.96,304.128,54.33,20.31,7.64,0,,,,,,,,,,
20160708:1456,310.62,559.116,46.82,21.13,7.5,0,,,,,,,,,,
20160708:1556,533.1,959.58,38.08,21.94,7.37,0,,,,,,,,,,
20160708:1656,307.64,553.752,28.87,21.41,6.93,0,,,,,,,,,,
20160708:1756,115.92,208.656,19.66,20.87,6.49,0,,,,,,,,,,
20160708:1856,47.05,84.69,10.81,20.33,6.06,0,,,,,,,,,,
20160708:1956,10.71,19.278,2.66,19.16,5.15,0,,,,,,,,,,
20160708:2056,0,0,0,18,4.25,0,,,,,,,,,,
20160708:2156,0,0,0,16.83,3.35,0,,,,,,,,,,
20160708:2256,0,0,0,16.13,3.24,0,,,,,,,,,,
20160708:2356,0,0,0,15.43,3.12,0,,,,,,,,,,
20160709:0056,0,0,0,14.73,3.01,0,,,,,,,,,,
20160709:0156,0,0,0,14.39,3.28,0,,,,,,,,,,
20160709:0256,0,0,0,14.04,3.55,0,,,,,,,,,,
20160709:0356,0,0,0,13.69,3.82,0,,,,,,,,,,
20160709:0456,8.05,14.49,6.68,14.19,4.48,0,,,,,,,,,,
20160709:0556,92.76,166.968,15.24,14.68,5.14,0,,,,,,,,,,
20160709:0656,64.58,116.244,24.32,15.18,5.81,0,,,,,,,,,,
20160709:0756,194.77,350.586,33.58,16,6.16,0,,,,,,,,,,
20160709:0856,258.98,466.164,42.62,16.83,6.51,0,,,,,,,,,,
20160709:0956,322.31,580.158,50.83,17.66,6.86,0,,,,,,,,,,
20160709:1056,382.64,688.752,57.25,18.56,7.6,0,,,,,,,,,,
20160709:1156,337.7,607.86,60.45,19.46,8.34,0,,,,,,,,,,
20160709:1256,498.45,897.21,59.3,20.36,9.08,0,,,,,,,,,,
20160709:1356,561.3,1010.34,54.25,20.86,9.16,0,,,,,,,,,,
20160709:1456,256.52,461.736,46.75,21.37,9.25,0,,,,,,,,,,
20160709:1556,193.25,347.85,38.02,21.87,9.34,0,,,,,,,,,,
20160709:1656,137.74,247.932,28.81,21.33,8.99,0,,,,,,,,,,
20160709:1756,57.99,104.382,19.59,20.78,8.65,0,,,,,,,,,,
20160709:1856,26.38,47.484,10.74,20.24,8.3,0,,,,,,,,,,
20160709:1956,4.36,7.848,2.58,19.18,7.96,0,,,,,,,,,,
20160709:2056,0,0,0,18.12,7.62,0,,,,,,,,,,
20160709:2156,0,0,0,17.06,7.28,0,,,,,,,,,,
20160709:2256,0,0,0,16.7,7.07,0,,,,,,,,,,
20160709:2356,0,0,0,16.34,6.86,0,,,,,,,,,,
20160710:0056,0,0,0,15.98,6.65,0,,,,,,,,,,
20160710:0156,0,0,0,15.74,6.59,0,,,,,,,,,,
20160710:0256,0,0,0,15.49,6.53,0,,,,,,,,,,
20160710:0356,0,0,0,15.25,6.47,0,,,,,,,,,,
20160710:0456,28.84,51.912,6.56,15.41,6.54,0,,,,,,,,,,
20160710:0556,72.37,130.266,15.12,15.57,6.62,0,,,,,,,,,,
20160710:0656,125.42,225.756,24.2,15.73,6.69,0,,,,,,,,,,
20160710:0756,124.61,224.298,33.47,16.4,7.06,0,,,,,,,,,,
20160710:0856,273.15,491.67,42.5,17.07,7.43,0,,,,,,,,,,
20160710:0956,278.4,501.12,50.71,17.74,7.79,0,,,,,,,,,,
20160710:1056,240.62,433.116,57.13,18.19,7.85,0,,,,,,,,,,
20160710:1156,124.71,224.478,60.32,18.63,7.9,0,,,,,,,,,,
20160710:1256,467.98,842.364,59.19,19.08,7.96,0,,,,,,,,,,
20160710:1356,514.37,925.866,54.16,19.27,8.24,0,,,,,,,,,,
20160710:1456,312.9,563.22,46.67,19.46,8.52,0,,,,,,,,,,
20160710:1556,212.15,381.87,37.95,19.65,8.8,0,,,,,,,,,,
20160710:1656,49.25,88.65,28.74,19.18,8.7,0,,,,,,,,,,
20160710:1756,139.29,250.722,19.52,18.7,8.61,0,,,,,,,,,,
20160710:1856,58.78,105.804,10.67,18.22,8.51,0,,,,,,,,,,
20160710:1956,9.91,17.838,2.5,17.3,8.1,0,,,,,,,,,,
20160710:2056,0,0,0,16.37,7.68,0,,,,,,,,,,
20160710:2156,0,0,0,15.45,7.27,0,,,,,,,,,,
20160710:2256,0,0,0,15.19,7.51,0,,,,,,,,,,
20160710:2356,0,0,0,14.93,7.75,0,,,,,,,,,,
20160711:0056,0,0,0,14.66,7.99,0,,,,,,,,,,
20160711:0156,0,0,0,14.64,8.25,0,,,,,,,,,,
20160711:0256,0,0,0,14.62,8.51,0,,,,,,,,,,
20160711:0356,0,0,0,14.6,8.77,0,,,,,,,,,,
20160711:0456,31.97,57.546,6.44,14.56,8.63,0,,,,,,,,,,
20160711:0556,103.92,187.056,15,14.52,8.49,0,,,,,,,,,,
20160711:0656,164.65,296.37,24.09,14.48,8.34,0,,,,,,,,,,
20160711:0756,268.61,483.498,33.35,14.92,8.78,0,,,,,,,,,,
20160711:0856,503.88,906.984,42.38,15.36,9.22,0,,,,,,,,,,
20160711:0956,325.99,586.782,50.59,15.8,9.66,0,,,,,,,,,,
20160711:1056,538.91,970.038,57,16.37,9.44,0,,,,,,,,,,
20160711:1156,758.75,1365.75,60.19,16.94,9.23,0,,,,,,,,,,
20160711:1256,823.95,1483.11,59.07,17.51,9.02,0,,,,,,,,,,
20160711:1356,889.02,1600.236,54.06,17.73,8.44,0,,,,,,,,,,
20160711:1456,734.27,1321.686,46.59,17.95,7.86,0,,,,,,,,,,
20160711:1556,533.2,959.76,37.87,18.17,7.28,0,,,,,,,,,,
20160711:1656,258.82,465.876,28.66,17.75,6.83,0,,,,,,,,,,
20160711:1756,137.15,246.87,19.45,17.32,6.38,0,,,,,,,,,,
20160711:1856,60.85,109.53,10.58,16.9,5.93,0,,,,,,,,,,
20160711:1956,2.71,4.878,2.41,16,5.11,0,,,,,,,,,,
20160711:2056,0,0,0,15.1,4.29,0,,,,,,,,,,
20160711:2156,0,0,0,14.2,3.46,0,,,,,,,,,,
20160711:2256,0,0,0,13.6,3.42,0,,,,,,,,,,
20160711:2356,0,0,0,13.01,3.38,0,,,,,,,,,,
20160712:0056,0,0,0,12.41,3.34,0,,,,,,,,,,
20160712:0156,0,0,0,12.1,3.26,0,,,,,,,,,,
20160712:0256,0,0,0,11.79,3.18,0,,,,,,,,,,
20160712:0356,0,0,0,11.48,3.1,0,,,,,,,,,,
20160712:0456,30.57,55.026,6.31,11.74,3.37,0,,,,,,,,,,
20160712:0556,85.88,154.584,14.88,12,3.65,0,,,,,,,,,,
20160712:0656,223.07,401.526,23.97,12.26,3.92,0,,,,,,,,,,
20160712:0756,127.71,229.878,33.23,13.1,3.8,0,,,,,,,,,,
20160712:0856,666.03,1198.854,42.26,13.95,3.69,0,,,,,,,,,,
20160712:0956,260.46,468.828,50.46,14.79,3.57,0,,,,,,,,,,
20160712:1056,462.2,831.96,56.86,14.94,3.73,0,,,,,,,,,,
20160712:1156,356.38,641.484,60.06,15.09,3.89,0,,,,,,,,,,
20160712:1256,413.23,743.814,58.95,15.24,4.04,0,,,,,,,,,,
20160712:1356,846.36,1523.448,53.95,15.52,4.17,0,,,,,,,,,,
20160712:1456,334.37,601.866,46.5,15.8,4.31,0,,,,,,,,,,
20160712:1556,388.03,698.454,37.79,16.08,4.44,0,,,,,,,,,,
20160712:1656,202.34,364.212,28.58,15.68,4.34,0,,,,,,,,,,
20160712:1756,122.32,220.176,19.37,15.27,4.25,0,,,,,,,,,,
20160712:1856,38.66,69.588,10.5,14.86,4.15,0,,,,,,,,,,
20160712:1956,9.87,17.766,2.32,14,3.82,0,,,,,,,,,,
20160712:2056,0,0,0,13.15,3.49,0,,,,,,,,,,
20160712:2156,0,0,0,12.29,3.16,0,,,,,,,,,,
20160712:2256,0,0,0,11.82,3.24,0,,,,,,,,,,
20160712:2356,0,0,0,11.35,3.31,0,,,,,,,,,,
20160713:0056,0,0,0,10.87,3.39,0,,,,,,,,,,
20160713:0156,0,0,0,10.69,3.33,0,,,,,,,,,,
20160713:0256,0,0,0,10.5,3.27,0,,,,,,,,,,
20160713:0356,0,0,0,10.31,3.21,0,,,,,,,,,,
20160713:0456,31.29,56.322,6.18,10.57,3.49,0,,,,,,,,,,
20160713:0556,99.93,179.874,14.75,10.83,3.77,0,,,,,,,,,,
20160713:0656,298.8,537.84,23.84,11.1,4.04,0,,,,,,,,,,
20160713:0756,517.46,931.428,33.1,12.26,4.18,0,,,,,,,,,,
20160713:0856,384.76,692.568,42.13,13.43,4.33,0,,,,,,,,,,
20160713:0956,367.96,662.328,50.32,14.59,4.47,0,,,,,,,,,,
20160713:1056,665.65,1198.17,56.72,15.38,4.9,0,,,,,,,,,,
20160713:1156,351.02,631.836,59.91,16.17,5.33,0,,,,,,,,,,
20160713:1256,1001.37,1802.466,58.82,16.96,5.77,0,,,,,,,,,,
20160713:1356,120.29,216.522,53.84,16.65,5.64,0,,,,,,,,,,
20160713:1456,176.14,317.052,46.4,16.34,5.51,0,,,,,,,,,,
20160713:1556,124.39,223.902,37.7,16.02,5.38,0,,,,,,,,,,
20160713:1656,270.21,486.378,28.5,15.82,5.4,0,,,,,,,,,,
20160713:1756,139.92,251.856,19.28,15.61,5.42,0,,,,,,,,,,
20160713:1856,20.11,36.198,10.4,15.4,5.43,0,,,,,,,,,,
20160713:1956,7.66,13.788,2.22,14.47,4.86,0,,,,,,,,,,
20160713:2056,0,0,0,13.54,4.29,0,,,,,,,,,,
20160713:2156,0,0,0,12.61,3.71,0,,,,,,,,,,
20160713:2256,0,0,0,12.06,3.57,0,,,,,,,,,,
20160713:2356,0,0,0,11.51,3.43,0,,,,,,,,,,
20160714:0056,0,0,0,10.96,3.3,0,,,,,,,,,,
20160714:0156,0,0,0,10.56,3.31,0,,,,,,,,,,
20160714:0256,0,0,0,10.15,3.32,0,,,,,,,,,,
20160714:0356,0,0,0,9.74,3.34,0,,,,,,,,,,
20160714:0456,29.52,53.136,6.04,10.06,3.65,0,,,,,,,,,,
20160714:0556,92.84,167.112,14.62,10.38,3.95,0,,,,,,,,,,
20160714:0656,296.78,534.204,23.71,10.7,4.26,0,,,,,,,,,,
20160714:0756,520.9,937.62,32.97,12.21,4.34,0,,,,,,,,,,
20160714:0856,727.49,1309.482,42,13.72,4.41,0,,,,,,,,,,
20160714:0956,551.58,992.844,50.18,15.23,4.48,0,,,,,,,,,,
20160714:1056,585.11,1053.198,56.57,16.1,4.25,0,,,,,,,,,,
20160714:1156,786.62,1415.916,59.77,16.96,4.01,0,,,,,,,,,,
20160714:1256,666.15,1199.07,58.68,17.83,3.78,0,,,,,,,,,,
20160714:1356,532.83,959.094,53.73,18.05,3.84,0,,,,,,,,,,
20160714:1456,503.03,905.454,46.3,18.27,3.9,0,,,,,,,,,,
20160714:1556,228.34,411.012,37.61,18.48,3.96,0,,,,,,,,,,
20160714:1656,297.21,534.978,28.41,18.28,3.51,0,,,,,,,,,,
20160714:1756,139.09,250.362,19.18,18.08,3.07,0,,,,,,,,,,
20160714:1856,60.34,108.612,10.31,17.88,2.62,0,,,,,,,,,,
20160714:1956,5.51,9.918,2.11,16.75,2.63,0,,,,,,,,,,
20160714:2056,0,0,0,15.62,2.63,0,,,,,,,,,,
20160714:2156,0,0,0,14.5,2.63,0,,,,,,,,,,
20160714:2256,0,0,0,13.78,2.71,0,,,,,,,,,,
20160714:2356,0,0,0,13.06,2.78,0,,,,,,,,,,
20160715:0056,0,0,0,12.33,2.86,0,,,,,,,,,,
20160715:0156,0,0,0,11.55,2.52,0,,,,,,,,,,
20160715:0256,0,0,0,10.76,2.18,0,,,,,,,,,,
20160715:0356,0,0,0,9.98,1.85,0,,,,,,,,,,
20160715:0456,29.6,53.28,5.91,10.51,2.32,0,,,,,,,,,,
20160715:0556,100.31,180.558,14.49,11.04,2.79,0,,,,,,,,,,
20160715:0656,229.44,412.992,23.58,11.58,3.26,0,,,,,,,,,,
20160715:0756,364.22,655.596,32.84,12.64,3.7,0,,,,,,,,,,
20160715:0856,387.62,697.716,41.86,13.69,4.14,0,,,,,,,,,,
20160715:0956,364.31,655.758,50.04,14.75,4.58,0,,,,,,,,,,
20160715:1056,251.81,453.258,56.42,15.43,5.03,0,,,,,,,,,,
20160715:1156,238.04,428.472,59.61,16.1,5.49,0,,,,,,,,,,
20160715:1256,275.98,496.764,58.54,16.78,5.94,0,,,,,,,,,,
20160715:1356,188.88,339.984,53.6,17,6.26,0,,,,,,,,,,
20160715:1456,193.43,348.174,46.19,17.22,6.58,0,,,,,,,,,,
20160715:1556,121.93,219.474,37.51,17.44,6.9,0,,,,,,,,,,
20160715:1656,199.29,358.722,28.31,17.56,6.66,0,,,,,,,,,,
20160715:1756,49.35,88.83,19.09,17.67,6.42,0,,,,,,,,,,
20160715:1856,23.46,42.228,10.2,17.78,6.18,0,,,,,,,,,,
20160715:1956,8.81,15.858,1.99,17.36,5.79,0,,,,,,,,,,
20160715:2056,0,0,0,16.94,5.4,0,,,,,,,,,,
20160715:2156,0,0,0,16.53,5.01,0,,,,,,,,,,
20160715:2256,0,0,0,16.11,4.97,0,,,,,,,,,,
20160715:2356,0,0,0,15.69,4.94,0,,,,,,,,,,
20160716:0056,0,0,0,15.27,4.91,0,,,,,,,,,,
20160716:0156,0,0,0,15.11,4.98,0,,,,,,,,,,
20160716:0256,0,0,0,14.94,5.05,0,,,,,,,,,,
20160716:0356,0,0,0,14.77,5.12,0,,,,,,,,,,
20160716:0456,27.36,49.248,5.76,15.09,5.29,0,,,,,,,,,,
20160716:0556,64.83,116.694,14.35,15.41,5.46,0,,,,,,,,,,
20160716:0656,197.97,356.346,23.45,15.74,5.63,0,,,,,,,,,,
20160716:0756,293.45,528.21,32.71,16.69,5.83,0,,,,,,,,,,
20160716:0856,331.28,596.304,41.72,17.65,6.03,0,,,,,,,,,,
20160716:0956,400.46,720.828,49.89,18.61,6.23,0,,,,,,,,,,
