,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160604:0856,171.91,309.438,43.64,15.04,2.69,0,,,,,,,,,,
20160604:0956,243.97,439.146,51.72,16.07,2.95,0,,,,,,,,,,
20160604:1056,268.1,482.58,57.86,17.14,2.93,0,,,,,,,,,,
20160604:1156,298.53,537.354,60.6,18.21,2.91,0,,,,,,,,,,
20160604:1256,300.11,540.198,58.96,19.28,2.9,0,,,,,,,,,,
20160604:1356,311.61,560.898,53.55,19.72,2.87,0,,,,,,,,,,
20160604:1456,217.34,391.212,45.85,20.17,2.85,0,,,,,,,,,,
20160604:1556,230.97,415.746,37.04,20.61,2.83,0,,,,,,,,,,
20160604:1656,130.59,235.062,27.8,19.97,2.82,0,,,,,,,,,,
20160604:1756,94.73,170.514,18.61,19.33,2.81,0,,,,,,,,,,
20160604:1856,44.51,80.118,9.82,18.69,2.8,0,,,,,,,,,,
20160604:1956,0.76,1.368,1.77,17.68,2.55,0,,,,,,,,,,
20160604:2056,0,0,0,16.67,2.3,0,,,,,,,,,,
20160604:2156,0,0,0,15.65,2.06,0,,,,,,,,,,
20160604:2256,0,0,0,15.18,2.33,0,,,,,,,,,,
20160604:2356,0,0,0,14.7,2.6,0,,,,,,,,,,
20160605:0056,0,0,0,14.23,2.87,0,,,,,,,,,,
20160605:0156,0,0,0,13.71,2.89,0,,,,,,,,,,
20160605:0256,0,0,0,13.2,2.91,0,,,,,,,,,,
20160605:0356,0,0,0,12.68,2.94,0,,,,,,,,,,
20160605:0456,37.05,66.69,7.72,12.54,3.14,0,,,,,,,,,,
20160605:0556,91,163.8,16.35,12.39,3.35,0,,,,,,,,,,
20160605:0656,135.1,243.18,25.46,12.25,3.56,0,,,,,,,,,,
20160605:0756,195.21,351.378,34.72,13.46,3.45,0,,,,,,,,,,
20160605:0856,256.67,462.006,43.71,14.68,3.34,0,,,,,,,,,,
20160605:0956,383.97,691.146,51.8,15.89,3.23,0,,,,,,,,,,
20160605:1056,995.18,1791.324,57.95,17.64,3.42,0,,,,,,,,,,
20160605:1156,1026.8,1848.24,60.71,19.4,3.61,0,,,,,,,,,,
20160605:1256,988.27,1778.886,59.08,21.15,3.81,0,,,,,,,,,,
20160605:1356,881.69,1587.042,53.67,21.44,3.82,0,,,,,,,,,,
20160605:1456,720.85,1297.53,45.97,21.72,3.83,0,,,,,,,,,,
20160605:1556,520.28,936.504,37.15,22.01,3.83,0,,,,,,,,,,
