,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160404:0956,387.95,698.31,36.35,8.12,4.74,0,,,,,,,,,,
20160404:1056,143.31,257.958,41.5,8.51,4.88,0,,,,,,,,,,
20160404:1156,309.67,557.406,43.83,8.91,5.02,0,,,,,,,,,,
20160404:1256,74.72,134.496,42.9,9.3,5.16,0,,,,,,,,,,
20160404:1356,502.19,903.942,38.89,9.69,4.89,0,,,,,,,,,,
20160404:1456,162.84,293.112,32.51,10.08,4.63,0,,,,,,,,,,
20160404:1556,148.06,266.508,24.56,10.46,4.36,0,,,,,,,,,,
20160404:1656,200.57,361.026,15.72,9.92,3.86,0,,,,,,,,,,
20160404:1756,38.72,69.696,6.5,9.38,3.36,0,,,,,,,,,,
20160404:1856,0,0,0,8.83,2.86,0,,,,,,,,,,
20160404:1956,0,0,0,8.07,2.64,0,,,,,,,,,,
20160404:2056,0,0,0,7.31,2.42,0,,,,,,,,,,
20160404:2156,0,0,0,6.55,2.21,0,,,,,,,,,,
20160404:2256,0,0,0,6.07,2.07,0,,,,,,,,,,
20160404:2356,0,0,0,5.58,1.93,0,,,,,,,,,,
20160405:0056,0,0,0,5.1,1.79,0,,,,,,,,,,
20160405:0156,0,0,0,4.93,2.06,0,,,,,,,,,,
20160405:0256,0,0,0,4.76,2.32,0,,,,,,,,,,
20160405:0356,0,0,0,4.59,2.58,0,,,,,,,,,,
20160405:0456,0,0,0,4.5,2.65,0,,,,,,,,,,
20160405:0556,1.46,2.628,2.81,4.41,2.72,0,,,,,,,,,,
20160405:0656,191.35,344.43,12.07,4.32,2.79,0,,,,,,,,,,
20160405:0756,257.8,464.04,21.14,5.58,3.4,0,,,,,,,,,,
20160405:0856,699.57,1259.226,29.56,6.85,4.01,0,,,,,,,,,,
20160405:0956,867.2,1560.96,36.73,8.11,4.62,0,,,,,,,,,,
20160405:1056,474.98,854.964,41.88,8.93,4.8,0,,,,,,,,,,
20160405:1156,910.25,1638.45,44.22,9.75,4.97,0,,,,,,,,,,
20160405:1256,892.91,1607.238,43.26,10.57,5.14,0,,,,,,,,,,
20160405:1356,896.47,1613.646,39.22,11.13,5.41,0,,,,,,,,,,
20160405:1456,695.81,1252.458,32.8,11.69,5.67,0,,,,,,,,,,
20160405:1556,449.36,808.848,24.83,12.24,5.93,0,,,,,,,,,,
20160405:1656,231.63,416.934,15.98,11.44,5.14,0,,,,,,,,,,
20160405:1756,41.74,75.132,6.75,10.64,4.34,0,,,,,,,,,,
20160405:1856,0,0,0,9.84,3.54,0,,,,,,,,,,
20160405:1956,0,0,0,8.47,3.4,0,,,,,,,,,,
20160405:2056,0,0,0,7.1,3.26,0,,,,,,,,,,
20160405:2156,0,0,0,5.73,3.12,0,,,,,,,,,,
20160405:2256,0,0,0,5.28,3.36,0,,,,,,,,,,
20160405:2356,0,0,0,4.82,3.6,0,,,,,,,,,,
20160406:0056,0,0,0,4.37,3.83,0,,,,,,,,,,
20160406:0156,0,0,0,4.69,4.56,0,,,,,,,,,,
20160406:0256,0,0,0,5.01,5.28,0,,,,,,,,,,
20160406:0356,0,0,0,5.34,6,0,,,,,,,,,,
20160406:0456,0,0,0,5.84,6.46,0,,,,,,,,,,
20160406:0556,8.78,15.804,3.16,6.35,6.91,0,,,,,,,,,,
20160406:0656,55.39,99.702,12.42,6.86,7.37,0,,,,,,,,,,
20160406:0756,400.8,721.44,21.49,7.09,7.54,0,,,,,,,,,,
20160406:0856,657.02,1182.636,29.92,7.33,7.71,0,,,,,,,,,,
20160406:0956,870.33,1566.594,37.1,7.56,7.89,0,,,,,,,,,,
20160406:1056,999.98,1799.964,42.27,8.02,8.35,0,,,,,,,,,,
20160406:1156,207.06,372.708,44.6,8.48,8.81,0,,,,,,,,,,
20160406:1256,516.05,928.89,43.62,8.94,9.27,0,,,,,,,,,,
20160406:1356,489.22,880.596,39.54,9.07,9.66,0,,,,,,,,,,
20160406:1456,636.55,1145.79,33.09,9.2,10.04,0,,,,,,,,,,
20160406:1556,478.48,861.264,25.1,9.33,10.43,0,,,,,,,,,,
20160406:1656,235.9,424.62,16.23,8.57,9.85,0,,,,,,,,,,
20160406:1756,42.27,76.086,7,7.8,9.28,0,,,,,,,,,,
20160406:1856,0,0,0,7.04,8.7,0,,,,,,,,,,
20160406:1956,0,0,0,6.24,8.22,0,,,,,,,,,,
20160406:2056,0,0,0,5.43,7.74,0,,,,,,,,,,
20160406:2156,0,0,0,4.62,7.26,0,,,,,,,,,,
20160406:2256,0,0,0,4.38,7.09,0,,,,,,,,,,
