,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160104:1356,35.06,63.108,11.97,7.18,5.81,0,,,,,,,,,,
20160104:1456,3.32,5.976,7.13,7.1,5.24,0,,,,,,,,,,
20160104:1556,1.91,3.438,0.68,7.02,4.66,0,,,,,,,,,,
20160104:1656,0,0,0,6.79,4.69,0,,,,,,,,,,
20160104:1756,0,0,0,6.55,4.71,0,,,,,,,,,,
20160104:1856,0,0,0,6.32,4.73,0,,,,,,,,,,
20160104:1956,0,0,0,6.11,4.66,0,,,,,,,,,,
20160104:2056,0,0,0,5.9,4.59,0,,,,,,,,,,
20160104:2156,0,0,0,5.7,4.52,0,,,,,,,,,,
20160104:2256,0,0,0,5.7,4.49,0,,,,,,,,,,
20160104:2356,0,0,0,5.69,4.46,0,,,,,,,,,,
20160105:0056,0,0,0,5.69,4.43,0,,,,,,,,,,
20160105:0156,0,0,0,5.86,4.42,0,,,,,,,,,,
20160105:0256,0,0,0,6.03,4.42,0,,,,,,,,,,
20160105:0356,0,0,0,6.19,4.41,0,,,,,,,,,,
20160105:0456,0,0,0,6.07,4.13,0,,,,,,,,,,
20160105:0556,0,0,0,5.94,3.84,0,,,,,,,,,,
20160105:0656,0,0,0,5.81,3.56,0,,,,,,,,,,
20160105:0756,0,0,0,5.71,3.26,0,,,,,,,,,,
20160105:0856,138.35,249.03,4.29,5.6,2.95,0,,,,,,,,,,
20160105:0956,97.65,175.77,9.96,5.5,2.65,0,,,,,,,,,,
20160105:1056,98.01,176.418,13.81,6.04,2.78,0,,,,,,,,,,
20160105:1156,105.76,190.368,15.52,6.59,2.91,0,,,,,,,,,,
20160105:1256,119.87,215.766,14.93,7.13,3.03,0,,,,,,,,,,
20160105:1356,87.31,157.158,12.1,6.89,2.51,0,,,,,,,,,,
20160105:1456,3.37,6.066,7.27,6.65,2,0,,,,,,,,,,
20160105:1556,2.64,4.752,0.83,6.4,1.48,0,,,,,,,,,,
20160105:1656,0,0,0,5.32,1.59,0,,,,,,,,,,
20160105:1756,0,0,0,4.24,1.71,0,,,,,,,,,,
20160105:1856,0,0,0,3.16,1.82,0,,,,,,,,,,
20160105:1956,0,0,0,2.46,1.88,0,,,,,,,,,,
20160105:2056,0,0,0,1.76,1.93,0,,,,,,,,,,
20160105:2156,0,0,0,1.06,1.99,0,,,,,,,,,,
20160105:2256,0,0,0,0.82,1.86,0,,,,,,,,,,
20160105:2356,0,0,0,0.58,1.73,0,,,,,,,,,,
20160106:0056,0,0,0,0.34,1.6,0,,,,,,,,,,
20160106:0156,0,0,0,0.46,1.71,0,,,,,,,,,,
20160106:0256,0,0,0,0.58,1.82,0,,,,,,,,,,
20160106:0356,0,0,0,0.69,1.93,0,,,,,,,,,,
20160106:0456,0,0,0,0.53,1.99,0,,,,,,,,,,
20160106:0556,0,0,0,0.37,2.05,0,,,,,,,,,,
20160106:0656,0,0,0,0.21,2.11,0,,,,,,,,,,
20160106:0756,0,0,0,0.23,2.29,0,,,,,,,,,,
20160106:0856,139.49,251.082,4.34,0.26,2.46,0,,,,,,,,,,
20160106:0956,50.21,90.378,10.03,0.28,2.63,0,,,,,,,,,,
20160106:1056,157.28,283.104,13.9,1.4,2.5,0,,,,,,,,,,
20160106:1156,141.22,254.196,15.63,2.52,2.36,0,,,,,,,,,,
20160106:1256,70.32,126.576,15.06,3.64,2.22,0,,,,,,,,,,
20160106:1356,113.78,204.804,12.24,3.95,2.01,0,,,,,,,,,,
20160106:1456,251.03,451.854,7.42,4.26,1.81,0,,,,,,,,,,
20160106:1556,3.46,6.228,0.98,4.56,1.6,0,,,,,,,,,,
20160106:1656,0,0,0,4.38,2,0,,,,,,,,,,
20160106:1756,0,0,0,4.2,2.4,0,,,,,,,,,,
20160106:1856,0,0,0,4.02,2.8,0,,,,,,,,,,
20160106:1956,0,0,0,4.07,3.45,0,,,,,,,,,,
20160106:2056,0,0,0,4.13,4.11,0,,,,,,,,,,
20160106:2156,0,0,0,4.19,4.76,0,,,,,,,,,,
20160106:2256,0,0,0,4.52,5.66,0,,,,,,,,,,
20160106:2356,0,0,0,4.86,6.56,0,,,,,,,,,,
20160107:0056,0,0,0,5.19,7.46,0,,,,,,,,,,
20160107:0156,0,0,0,5.44,8.12,0,,,,,,,,,,
20160107:0256,0,0,0,5.69,8.79,0,,,,,,,,,,
20160107:0356,0,0,0,5.94,9.45,0,,,,,,,,,,
20160107:0456,0,0,0,6.17,8.56,0,,,,,,,,,,
20160107:0556,0,0,0,6.4,7.67,0,,,,,,,,,,
20160107:0656,0,0,0,6.63,6.79,0,,,,,,,,,,
20160107:0756,0,0,0,6.86,6.81,0,,,,,,,,,,
20160107:0856,72.02,129.636,4.41,7.1,6.84,0,,,,,,,,,,
20160107:0956,114.52,206.136,10.11,7.33,6.87,0,,,,,,,,,,
20160107:1056,126.3,227.34,14,6.91,8.09,0,,,,,,,,,,
20160107:1156,490.95,883.71,15.75,6.5,9.31,0,,,,,,,,,,
20160107:1256,177.69,319.842,15.19,6.08,10.54,0,,,,,,,,,,
20160107:1356,459.85,827.73,12.38,5.56,9.93,0,,,,,,,,,,
20160107:1456,268.28,482.904,7.57,5.05,9.32,0,,,,,,,,,,
20160107:1556,4.68,8.424,1.13,4.53,8.72,0,,,,,,,,,,
20160107:1656,0,0,0,4.06,8.24,0,,,,,,,,,,
20160107:1756,0,0,0,3.6,7.76,0,,,,,,,,,,
20160107:1856,0,0,0,3.13,7.28,0,,,,,,,,,,
20160107:1956,0,0,0,2.88,6.74,0,,,,,,,,,,
20160107:2056,0,0,0,2.63,6.21,0,,,,,,,,,,
20160107:2156,0,0,0,2.39,5.67,0,,,,,,,,,,
20160107:2256,0,0,0,2.21,5.1,0,,,,,,,,,,
20160107:2356,0,0,0,2.04,4.53,0,,,,,,,,,,
20160108:0056,0,0,0,1.86,3.96,0,,,,,,,,,,
20160108:0156,0,0,0,2.16,4.03,0,,,,,,,,,,
20160108:0256,0,0,0,2.45,4.11,0,,,,,,,,,,
20160108:0356,0,0,0,2.74,4.18,0,,,,,,,,,,
20160108:0456,0,0,0,2.71,4.11,0,,,,,,,,,,
20160108:0556,0,0,0,2.69,4.05,0,,,,,,,,,,
20160108:0656,0,0,0,2.66,3.99,0,,,,,,,,,,
20160108:0756,0,0,0,2.96,4.31,0,,,,,,,,,,
20160108:0856,150.48,270.864,4.48,3.26,4.63,0,,,,,,,,,,
20160108:0956,392.96,707.328,10.2,3.56,4.95,0,,,,,,,,,,
20160108:1056,347.95,626.31,14.11,4.55,5.36,0,,,,,,,,,,
20160108:1156,588.55,1059.39,15.88,5.54,5.77,0,,,,,,,,,,
20160108:1256,122.96,221.328,15.33,6.53,6.18,0,,,,,,,,,,
20160108:1356,74.56,134.208,12.53,6.83,5.71,0,,,,,,,,,,
20160108:1456,89.99,161.982,7.73,7.13,5.23,0,,,,,,,,,,
20160108:1556,2.82,5.076,1.29,7.42,4.76,0,,,,,,,,,,
20160108:1656,0,0,0,6.64,4.33,0,,,,,,,,,,
20160108:1756,0,0,0,5.85,3.9,0,,,,,,,,,,
20160108:1856,0,0,0,5.07,3.48,0,,,,,,,,,,
20160108:1956,0,0,0,4.81,3.43,0,,,,,,,,,,
20160108:2056,0,0,0,4.56,3.39,0,,,,,,,,,,
20160108:2156,0,0,0,4.31,3.35,0,,,,,,,,,,
20160108:2256,0,0,0,4.28,3.45,0,,,,,,,,,,
20160108:2356,0,0,0,4.25,3.55,0,,,,,,,,,,
20160109:0056,0,0,0,4.22,3.66,0,,,,,,,,,,
20160109:0156,0,0,0,4.9,4.14,0,,,,,,,,,,
20160109:0256,0,0,0,5.58,4.63,0,,,,,,,,,,
20160109:0356,0,0,0,6.26,5.12,0,,,,,,,,,,
20160109:0456,0,0,0,6.12,5.05,0,,,,,,,,,,
20160109:0556,0,0,0,5.99,4.99,0,,,,,,,,,,
20160109:0656,0,0,0,5.85,4.92,0,,,,,,,,,,
20160109:0756,0,0,0,5.93,5.39,0,,,,,,,,,,
20160109:0856,14.79,26.622,4.56,6.01,5.85,0,,,,,,,,,,
20160109:0956,51.77,93.186,10.3,6.09,6.32,0,,,,,,,,,,
20160109:1056,103.21,185.778,14.23,6.58,6.93,0,,,,,,,,,,
20160109:1156,454.46,818.028,16.01,7.08,7.55,0,,,,,,,,,,
20160109:1256,143.73,258.714,15.48,7.57,8.17,0,,,,,,,,,,
20160109:1356,103.74,186.732,12.69,7.56,8.05,0,,,,,,,,,,
20160109:1456,76.72,138.096,7.9,7.56,7.93,0,,,,,,,,,,
20160109:1556,0.96,1.728,1.46,7.55,7.81,0,,,,,,,,,,
20160109:1656,0,0,0,7.53,8.4,0,,,,,,,,,,
20160109:1756,0,0,0,7.52,9,0,,,,,,,,,,
20160109:1856,0,0,0,7.5,9.6,0,,,,,,,,,,
20160109:1956,0,0,0,6.93,9.18,0,,,,,,,,,,
20160109:2056,0,0,0,6.36,8.76,0,,,,,,,,,,
20160109:2156,0,0,0,5.8,8.34,0,,,,,,,,,,
20160109:2256,0,0,0,5.41,8.81,0,,,,,,,,,,
20160109:2356,0,0,0,5.03,9.27,0,,,,,,,,,,
20160110:0056,0,0,0,4.64,9.74,0,,,,,,,,,,
20160110:0156,0,0,0,4.49,9.2,0,,,,,,,,,,
20160110:0256,0,0,0,4.34,8.66,0,,,,,,,,,,
20160110:0356,0,0,0,4.19,8.12,0,,,,,,,,,,
20160110:0456,0,0,0,4.13,7.81,0,,,,,,,,,,
20160110:0556,0,0,0,4.07,7.5,0,,,,,,,,,,
20160110:0656,0,0,0,4.01,7.19,0,,,,,,,,,,
20160110:0756,0,0,0,3.89,6.75,0,,,,,,,,,,
20160110:0856,159.55,287.19,4.64,3.77,6.31,0,,,,,,,,,,
20160110:0956,125.57,226.026,10.4,3.65,5.88,0,,,,,,,,,,
20160110:1056,89.49,161.082,14.35,4.29,5.87,0,,,,,,,,,,
20160110:1156,135.32,243.576,16.15,4.94,5.86,0,,,,,,,,,,
20160110:1256,488.41,879.138,15.64,5.58,5.85,0,,,,,,,,,,
20160110:1356,171.75,309.15,12.86,5.7,5.74,0,,,,,,,,,,
20160110:1456,105.59,190.062,8.07,5.83,5.63,0,,,,,,,,,,
20160110:1556,7.23,13.014,1.63,5.95,5.52,0,,,,,,,,,,
20160110:1656,0,0,0,5.27,5.34,0,,,,,,,,,,
20160110:1756,0,0,0,4.58,5.17,0,,,,,,,,,,
20160110:1856,0,0,0,3.9,4.99,0,,,,,,,,,,
20160110:1956,0,0,0,3.57,4.69,0,,,,,,,,,,
20160110:2056,0,0,0,3.25,4.39,0,,,,,,,,,,
20160110:2156,0,0,0,2.93,4.08,0,,,,,,,,,,
20160110:2256,0,0,0,3.12,4.13,0,,,,,,,,,,
20160110:2356,0,0,0,3.32,4.18,0,,,,,,,,,,
20160111:0056,0,0,0,3.52,4.23,0,,,,,,,,,,
20160111:0156,0,0,0,3.5,4.04,0,,,,,,,,,,
20160111:0256,0,0,0,3.48,3.84,0,,,,,,,,,,
20160111:0356,0,0,0,3.46,3.64,0,,,,,,,,,,
20160111:0456,0,0,0,3.42,3.25,0,,,,,,,,,,
20160111:0556,0,0,0,3.38,2.86,0,,,,,,,,,,
20160111:0656,0,0,0,3.34,2.47,0,,,,,,,,,,
20160111:0756,0,0,0,3.05,2.56,0,,,,,,,,,,
20160111:0856,155.12,279.216,4.73,2.77,2.64,0,,,,,,,,,,
20160111:0956,70.2,126.36,10.51,2.48,2.73,0,,,,,,,,,,
20160111:1056,235.53,423.954,14.48,3.27,3.42,0,,,,,,,,,,
20160111:1156,132.15,237.87,16.3,4.06,4.11,0,,,,,,,,,,
20160111:1256,61.44,110.592,15.8,4.85,4.8,0,,,,,,,,,,
20160111:1356,6.59,11.862,13.03,4.73,4.34,0,,,,,,,,,,
20160111:1456,140.55,252.99,8.24,4.62,3.89,0,,,,,,,,,,
20160111:1556,9.87,17.766,1.81,4.5,3.43,0,,,,,,,,,,
20160111:1656,0,0,0,3.97,3.46,0,,,,,,,,,,
20160111:1756,0,0,0,3.43,3.49,0,,,,,,,,,,
20160111:1856,0,0,0,2.9,3.52,0,,,,,,,,,,
20160111:1956,0,0,0,2.58,3.74,0,,,,,,,,,,
20160111:2056,0,0,0,2.26,3.97,0,,,,,,,,,,
20160111:2156,0,0,0,1.95,4.19,0,,,,,,,,,,
20160111:2256,0,0,0,2.19,4.79,0,,,,,,,,,,
20160111:2356,0,0,0,2.44,5.39,0,,,,,,,,,,
20160112:0056,0,0,0,2.69,5.99,0,,,,,,,,,,
20160112:0156,0,0,0,2.89,6.36,0,,,,,,,,,,
20160112:0256,0,0,0,3.09,6.73,0,,,,,,,,,,
20160112:0356,0,0,0,3.29,7.1,0,,,,,,,,,,
20160112:0456,0,0,0,3.35,7.3,0,,,,,,,,,,
20160112:0556,0,0,0,3.4,7.5,0,,,,,,,,,,
20160112:0656,0,0,0,3.45,7.7,0,,,,,,,,,,
20160112:0756,0,0,0,3.47,7.86,0,,,,,,,,,,
20160112:0856,167.16,300.888,4.83,3.49,8.02,0,,,,,,,,,,
20160112:0956,245.99,442.782,10.63,3.51,8.18,0,,,,,,,,,,
20160112:1056,65.13,117.234,14.62,4.03,8.88,0,,,,,,,,,,
20160112:1156,94.31,169.758,16.45,4.56,9.58,0,,,,,,,,,,
20160112:1256,8.78,15.804,15.97,5.08,10.28,0,,,,,,,,,,
20160112:1356,55.12,99.216,13.21,4.94,10.12,0,,,,,,,,,,
20160112:1456,256.24,461.232,8.42,4.8,9.96,0,,,,,,,,,,
20160112:1556,10.41,18.738,1.99,4.66,9.81,0,,,,,,,,,,
20160112:1656,0,0,0,4.4,9.61,0,,,,,,,,,,
20160112:1756,0,0,0,4.14,9.41,0,,,,,,,,,,
20160112:1856,0,0,0,3.88,9.21,0,,,,,,,,,,
20160112:1956,0,0,0,3.76,9.21,0,,,,,,,,,,
20160112:2056,0,0,0,3.65,9.21,0,,,,,,,,,,
20160112:2156,0,0,0,3.54,9.21,0,,,,,,,,,,
20160112:2256,0,0,0,3.48,9.04,0,,,,,,,,,,
20160112:2356,0,0,0,3.43,8.86,0,,,,,,,,,,
20160113:0056,0,0,0,3.37,8.69,0,,,,,,,,,,
20160113:0156,0,0,0,2.92,8,0,,,,,,,,,,
20160113:0256,0,0,0,2.47,7.3,0,,,,,,,,,,
20160113:0356,0,0,0,2.02,6.61,0,,,,,,,,,,
20160113:0456,0,0,0,1.72,6.17,0,,,,,,,,,,
20160113:0556,0,0,0,1.41,5.74,0,,,,,,,,,,
20160113:0656,0,0,0,1.11,5.31,0,,,,,,,,,,
20160113:0756,0,0,0,0.85,4.8,0,,,,,,,,,,
20160113:0856,29.3,52.74,4.94,0.6,4.29,0,,,,,,,,,,
20160113:0956,53.67,96.606,10.75,0.34,3.78,0,,,,,,,,,,
20160113:1056,329.29,592.722,14.76,1.55,4.02,0,,,,,,,,,,
20160113:1156,537.33,967.194,16.62,2.75,4.26,0,,,,,,,,,,
20160113:1256,509.98,917.964,16.14,3.96,4.5,0,,,,,,,,,,
20160113:1356,234.24,421.632,13.39,4.02,4.64,0,,,,,,,,,,
20160113:1456,130.1,234.18,8.61,4.08,4.78,0,,,,,,,,,,
20160113:1556,12.19,21.942,2.18,4.14,4.92,0,,,,,,,,,,
20160113:1656,0,0,0,3.78,5.03,0,,,,,,,,,,
20160113:1756,0,0,0,3.43,5.14,0,,,,,,,,,,
20160113:1856,0,0,0,3.07,5.26,0,,,,,,,,,,
20160113:1956,0,0,0,3.11,5.54,0,,,,,,,,,,
20160113:2056,0,0,0,3.16,5.83,0,,,,,,,,,,
20160113:2156,0,0,0,3.21,6.12,0,,,,,,,,,,
20160113:2256,0,0,0,3.23,6.06,0,,,,,,,,,,
20160113:2356,0,0,0,3.26,6,0,,,,,,,,,,
20160114:0056,0,0,0,3.29,5.94,0,,,,,,,,,,
20160114:0156,0,0,0,3.06,5.86,0,,,,,,,,,,
20160114:0256,0,0,0,2.82,5.77,0,,,,,,,,,,
20160114:0356,0,0,0,2.58,5.68,0,,,,,,,,,,
20160114:0456,0,0,0,2.19,5.71,0,,,,,,,,,,
20160114:0556,0,0,0,1.81,5.74,0,,,,,,,,,,
20160114:0656,0,0,0,1.42,5.77,0,,,,,,,,,,
20160114:0756,0,0,0,1.33,5.87,0,,,,,,,,,,
20160114:0856,115.94,208.692,5.05,1.23,5.97,0,,,,,,,,,,
20160114:0956,57.9,104.22,10.89,1.14,6.07,0,,,,,,,,,,
20160114:1056,80.24,144.432,14.91,1.79,7.06,0,,,,,,,,,,
20160114:1156,71.52,128.736,16.79,2.44,8.05,0,,,,,,,,,,
20160114:1256,363.56,654.408,16.33,3.09,9.03,0,,,,,,,,,,
20160114:1356,286.54,515.772,13.58,3.04,9,0,,,,,,,,,,
20160114:1456,325.03,585.054,8.8,2.99,8.97,0,,,,,,,,,,
20160114:1556,66.01,118.818,2.37,2.94,8.94,0,,,,,,,,,,
20160114:1656,0,0,0,2.44,8.6,0,,,,,,,,,,
20160114:1756,0,0,0,1.95,8.27,0,,,,,,,,,,
20160114:1856,0,0,0,1.45,7.93,0,,,,,,,,,,
20160114:1956,0,0,0,1.33,7.71,0,,,,,,,,,,
20160114:2056,0,0,0,1.21,7.49,0,,,,,,,,,,
20160114:2156,0,0,0,1.1,7.27,0,,,,,,,,,,
20160114:2256,0,0,0,0.96,7.04,0,,,,,,,,,,
20160114:2356,0,0,0,0.82,6.81,0,,,,,,,,,,
20160115:0056,0,0,0,0.68,6.58,0,,,,,,,,,,
20160115:0156,0,0,0,0.45,6.48,0,,,,,,,,,,
20160115:0256,0,0,0,0.22,6.39,0,,,,,,,,,,
20160115:0356,0,0,0,-0.02,6.29,0,,,,,,,,,,
20160115:0456,0,0,0,-0.06,6.24,0,,,,,,,,,,
20160115:0556,0,0,0,-0.11,6.2,0,,,,,,,,,,
20160115:0656,0,0,0,-0.15,6.15,0,,,,,,,,,,
20160115:0756,0,0,0,-0.14,6.17,0,,,,,,,,,,
20160115:0856,190.74,343.332,5.17,-0.14,6.2,0,,,,,,,,,,
20160115:0956,158.84,285.912,11.02,-0.13,6.22,0,,,,,,,,,,
20160115:1056,484.57,872.226,15.07,0.84,6.78,0,,,,,,,,,,
20160115:1156,642.05,1155.69,16.96,1.81,7.34,0,,,,,,,,,,
20160115:1256,616.35,1109.43,16.52,2.78,7.9,0,,,,,,,,,,
20160115:1356,328.95,592.11,13.78,2.91,7.3,0,,,,,,,,,,
20160115:1456,319.41,574.938,9,3.05,6.69,0,,,,,,,,,,
20160115:1556,65.62,118.116,2.57,3.18,6.08,0,,,,,,,,,,
20160115:1656,0,0,0,2.38,5.58,0,,,,,,,,,,
20160115:1756,0,0,0,1.57,5.07,0,,,,,,,,,,
20160115:1856,0,0,0,0.77,4.57,0,,,,,,,,,,
20160115:1956,0,0,0,0.51,4.53,0,,,,,,,,,,
20160115:2056,0,0,0,0.26,4.49,0,,,,,,,,,,
20160115:2156,0,0,0,0.01,4.46,0,,,,,,,,,,
20160115:2256,0,0,0,-0.05,4.47,0,,,,,,,,,,
20160115:2356,0,0,0,-0.11,4.49,0,,,,,,,,,,
20160116:0056,0,0,0,-0.17,4.51,0,,,,,,,,,,
20160116:0156,0,0,0,-0.48,4.28,0,,,,,,,,,,
20160116:0256,0,0,0,-0.8,4.05,0,,,,,,,,,,
20160116:0356,0,0,0,-1.12,3.82,0,,,,,,,,,,
20160116:0456,0,0,0,-1.49,3.72,0,,,,,,,,,,
20160116:0556,0,0,0,-1.87,3.62,0,,,,,,,,,,
20160116:0656,0,0,0,-2.24,3.52,0,,,,,,,,,,
20160116:0756,0,0,0,-2.42,3.19,0,,,,,,,,,,
20160116:0856,189.15,340.47,5.3,-2.59,2.86,0,,,,,,,,,,
20160116:0956,431.55,776.79,11.17,-2.77,2.54,0,,,,,,,,,,
20160116:1056,478.03,860.454,15.23,-1.42,2.52,0,,,,,,,,,,
20160116:1156,139.08,250.344,17.14,-0.07,2.5,0,,,,,,,,,,
20160116:1256,395.53,711.954,16.71,1.28,2.48,0,,,,,,,,,,
20160116:1356,409.88,737.784,13.98,1.55,2.4,0,,,,,,,,,,
