,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161204:1356,141.64,254.952,11.48,4,5.68,0,,,,,,,,,,
20161204:1456,56.41,101.538,6.21,3.89,5.38,0,,,,,,,,,,
20161204:1556,0,0,0,3.78,5.09,0,,,,,,,,,,
20161204:1656,0,0,0,2.74,4.79,0,,,,,,,,,,
20161204:1756,0,0,0,1.7,4.49,0,,,,,,,,,,
20161204:1856,0,0,0,0.66,4.19,0,,,,,,,,,,
20161204:1956,0,0,0,0.23,3.86,0,,,,,,,,,,
20161204:2056,0,0,0,-0.2,3.53,0,,,,,,,,,,
20161204:2156,0,0,0,-0.62,3.2,0,,,,,,,,,,
20161204:2256,0,0,0,-0.69,2.97,0,,,,,,,,,,
20161204:2356,0,0,0,-0.76,2.73,0,,,,,,,,,,
20161205:0056,0,0,0,-0.83,2.5,0,,,,,,,,,,
20161205:0156,0,0,0,-0.87,2.47,0,,,,,,,,,,
20161205:0256,0,0,0,-0.91,2.45,0,,,,,,,,,,
20161205:0356,0,0,0,-0.95,2.43,0,,,,,,,,,,
20161205:0456,0,0,0,-1.2,2.36,0,,,,,,,,,,
20161205:0556,0,0,0,-1.44,2.3,0,,,,,,,,,,
20161205:0656,0,0,0,-1.69,2.23,0,,,,,,,,,,
20161205:0756,0,0,0,-1.39,2.34,0,,,,,,,,,,
20161205:0856,216.5,389.7,6,-1.1,2.44,0,,,,,,,,,,
20161205:0956,308.23,554.814,11.29,-0.8,2.54,0,,,,,,,,,,
20161205:1056,186.82,336.276,14.68,0.83,2.57,0,,,,,,,,,,
20161205:1156,124.22,223.596,15.86,2.46,2.59,0,,,,,,,,,,
20161205:1256,122.01,219.618,14.72,4.1,2.62,0,,,,,,,,,,
20161205:1356,170.07,306.126,11.39,4.09,2.29,0,,,,,,,,,,
20161205:1456,206.11,370.998,6.13,4.09,1.97,0,,,,,,,,,,
20161205:1556,0,0,0,4.09,1.64,0,,,,,,,,,,
20161205:1656,0,0,0,3.21,1.77,0,,,,,,,,,,
20161205:1756,0,0,0,2.33,1.9,0,,,,,,,,,,
20161205:1856,0,0,0,1.46,2.03,0,,,,,,,,,,
20161205:1956,0,0,0,1.62,2.11,0,,,,,,,,,,
20161205:2056,0,0,0,1.78,2.19,0,,,,,,,,,,
20161205:2156,0,0,0,1.95,2.28,0,,,,,,,,,,
20161205:2256,0,0,0,2.29,2.26,0,,,,,,,,,,
20161205:2356,0,0,0,2.64,2.25,0,,,,,,,,,,
20161206:0056,0,0,0,2.99,2.23,0,,,,,,,,,,
20161206:0156,0,0,0,2.88,2.11,0,,,,,,,,,,
20161206:0256,0,0,0,2.77,1.99,0,,,,,,,,,,
20161206:0356,0,0,0,2.66,1.86,0,,,,,,,,,,
20161206:0456,0,0,0,2.82,2,0,,,,,,,,,,
20161206:0556,0,0,0,2.99,2.14,0,,,,,,,,,,
20161206:0656,0,0,0,3.15,2.28,0,,,,,,,,,,
20161206:0756,0,0,0,3.8,2.54,0,,,,,,,,,,
20161206:0856,190.19,342.342,5.85,4.43,2.81,0,,,,,,,,,,
20161206:0956,41.28,74.304,11.15,5.07,3.08,0,,,,,,,,,,
20161206:1056,40.43,72.774,14.54,6.04,3.28,0,,,,,,,,,,
20161206:1156,62.89,113.202,15.73,7,3.49,0,,,,,,,,,,
20161206:1256,48.94,88.092,14.62,7.97,3.7,0,,,,,,,,,,
20161206:1356,65.53,117.954,11.3,7.92,3.47,0,,,,,,,,,,
20161206:1456,27.79,50.022,6.06,7.87,3.25,0,,,,,,,,,,
20161206:1556,0,0,0,7.83,3.02,0,,,,,,,,,,
20161206:1656,0,0,0,7.87,3.21,0,,,,,,,,,,
20161206:1756,0,0,0,7.91,3.41,0,,,,,,,,,,
20161206:1856,0,0,0,7.96,3.6,0,,,,,,,,,,
20161206:1956,0,0,0,8.06,3.78,0,,,,,,,,,,
20161206:2056,0,0,0,8.16,3.97,0,,,,,,,,,,
20161206:2156,0,0,0,8.27,4.15,0,,,,,,,,,,
20161206:2256,0,0,0,8.56,4.3,0,,,,,,,,,,
20161206:2356,0,0,0,8.86,4.46,0,,,,,,,,,,
20161207:0056,0,0,0,9.16,4.61,0,,,,,,,,,,
20161207:0156,0,0,0,9.08,4.88,0,,,,,,,,,,
20161207:0256,0,0,0,8.99,5.16,0,,,,,,,,,,
20161207:0356,0,0,0,8.91,5.43,0,,,,,,,,,,
20161207:0456,0,0,0,9,5.57,0,,,,,,,,,,
20161207:0556,0,0,0,9.1,5.71,0,,,,,,,,,,
20161207:0656,0,0,0,9.19,5.85,0,,,,,,,,,,
20161207:0756,0,0,0,9.39,6.01,0,,,,,,,,,,
20161207:0856,55.44,99.792,5.7,9.58,6.18,0,,,,,,,,,,
20161207:0956,101.46,182.628,11,9.77,6.34,0,,,,,,,,,,
20161207:1056,30.79,55.422,14.41,10.43,6.51,0,,,,,,,,,,
20161207:1156,53.94,97.092,15.62,11.09,6.67,0,,,,,,,,,,
20161207:1256,72.29,130.122,14.52,11.75,6.83,0,,,,,,,,,,
20161207:1356,230.07,414.126,11.21,11.63,6.81,0,,,,,,,,,,
20161207:1456,102.55,184.59,6,11.51,6.8,0,,,,,,,,,,
20161207:1556,0,0,0,11.4,6.79,0,,,,,,,,,,
20161207:1656,0,0,0,11.02,6.79,0,,,,,,,,,,
20161207:1756,0,0,0,10.65,6.8,0,,,,,,,,,,
20161207:1856,0,0,0,10.28,6.8,0,,,,,,,,,,
20161207:1956,0,0,0,10.32,6.7,0,,,,,,,,,,
20161207:2056,0,0,0,10.36,6.61,0,,,,,,,,,,
20161207:2156,0,0,0,10.4,6.51,0,,,,,,,,,,
20161207:2256,0,0,0,10.67,6.3,0,,,,,,,,,,
20161207:2356,0,0,0,10.93,6.09,0,,,,,,,,,,
20161208:0056,0,0,0,11.2,5.88,0,,,,,,,,,,
20161208:0156,0,0,0,11.17,5.97,0,,,,,,,,,,
20161208:0256,0,0,0,11.13,6.06,0,,,,,,,,,,
20161208:0356,0,0,0,11.1,6.15,0,,,,,,,,,,
20161208:0456,0,0,0,10.99,6.33,0,,,,,,,,,,
20161208:0556,0,0,0,10.89,6.5,0,,,,,,,,,,
20161208:0656,0,0,0,10.78,6.68,0,,,,,,,,,,
20161208:0756,0,0,0,10.88,7.07,0,,,,,,,,,,
20161208:0856,99.29,178.722,5.56,10.97,7.47,0,,,,,,,,,,
20161208:0956,5,9,10.87,11.06,7.86,0,,,,,,,,,,
20161208:1056,38.43,69.174,14.28,11.55,7.44,0,,,,,,,,,,
20161208:1156,82.9,149.22,15.51,12.05,7.02,0,,,,,,,,,,
20161208:1256,104.87,188.766,14.42,12.55,6.59,0,,,,,,,,,,
20161208:1356,42.36,76.248,11.14,12.34,6.03,0,,,,,,,,,,
20161208:1456,175.85,316.53,5.94,12.13,5.46,0,,,,,,,,,,
20161208:1556,0,0,0,11.92,4.9,0,,,,,,,,,,
20161208:1656,0,0,0,11.4,4.34,0,,,,,,,,,,
20161208:1756,0,0,0,10.89,3.77,0,,,,,,,,,,
20161208:1856,0,0,0,10.38,3.21,0,,,,,,,,,,
20161208:1956,0,0,0,10.09,2.89,0,,,,,,,,,,
20161208:2056,0,0,0,9.8,2.57,0,,,,,,,,,,
