,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161004:1056,410.27,738.486,32.62,13.84,6.69,0,,,,,,,,,,
20161004:1156,894.41,1609.938,33.94,14.7,7.17,0,,,,,,,,,,
20161004:1256,818.38,1473.084,32.39,15.57,7.64,0,,,,,,,,,,
20161004:1356,705.97,1270.746,28.2,15.76,7.47,0,,,,,,,,,,
20161004:1456,515.47,927.846,21.91,15.95,7.29,0,,,,,,,,,,
20161004:1556,288.84,519.912,14.14,16.14,7.12,0,,,,,,,,,,
20161004:1656,64.64,116.352,5.45,15.08,6.64,0,,,,,,,,,,
20161004:1756,0,0,0,14.01,6.16,0,,,,,,,,,,
20161004:1856,0,0,0,12.95,5.68,0,,,,,,,,,,
20161004:1956,0,0,0,12.48,5.76,0,,,,,,,,,,
20161004:2056,0,0,0,12.01,5.84,0,,,,,,,,,,
20161004:2156,0,0,0,11.54,5.92,0,,,,,,,,,,
20161004:2256,0,0,0,11.46,5.86,0,,,,,,,,,,
20161004:2356,0,0,0,11.39,5.8,0,,,,,,,,,,
20161005:0056,0,0,0,11.31,5.74,0,,,,,,,,,,
20161005:0156,0,0,0,11.38,5.79,0,,,,,,,,,,
20161005:0256,0,0,0,11.46,5.85,0,,,,,,,,,,
20161005:0356,0,0,0,11.53,5.9,0,,,,,,,,,,
20161005:0456,0,0,0,11.28,5.99,0,,,,,,,,,,
20161005:0556,0,0,0,11.03,6.08,0,,,,,,,,,,
20161005:0656,110.96,199.728,5.91,10.77,6.17,0,,,,,,,,,,
20161005:0756,367.59,661.662,14.53,11.32,6.84,0,,,,,,,,,,
20161005:0856,514.67,926.406,22.17,11.86,7.52,0,,,,,,,,,,
20161005:0956,771.17,1388.106,28.28,12.4,8.19,0,,,,,,,,,,
20161005:1056,880.07,1584.126,32.25,13.23,8.3,0,,,,,,,,,,
20161005:1156,905.18,1629.324,33.56,14.06,8.4,0,,,,,,,,,,
20161005:1256,848.33,1526.994,32,14.9,8.51,0,,,,,,,,,,
20161005:1356,718.04,1292.472,27.81,14.65,8.5,0,,,,,,,,,,
20161005:1456,523.75,942.75,21.53,14.41,8.48,0,,,,,,,,,,
20161005:1556,292.41,526.338,13.78,14.16,8.47,0,,,,,,,,,,
20161005:1656,65.42,117.756,5.1,13.01,7.77,0,,,,,,,,,,
20161005:1756,0,0,0,11.85,7.07,0,,,,,,,,,,
20161005:1856,0,0,0,10.7,6.37,0,,,,,,,,,,
20161005:1956,0,0,0,10.17,6.33,0,,,,,,,,,,
20161005:2056,0,0,0,9.64,6.29,0,,,,,,,,,,
20161005:2156,0,0,0,9.12,6.25,0,,,,,,,,,,
20161005:2256,0,0,0,9.06,5.95,0,,,,,,,,,,
20161005:2356,0,0,0,9,5.65,0,,,,,,,,,,
20161006:0056,0,0,0,8.94,5.35,0,,,,,,,,,,
20161006:0156,0,0,0,8.69,5.11,0,,,,,,,,,,
20161006:0256,0,0,0,8.44,4.86,0,,,,,,,,,,
20161006:0356,0,0,0,8.19,4.62,0,,,,,,,,,,
20161006:0456,0,0,0,8.02,4.45,0,,,,,,,,,,
20161006:0556,0,0,0,7.84,4.27,0,,,,,,,,,,
20161006:0656,23.55,42.39,5.64,7.66,4.1,0,,,,,,,,,,
20161006:0756,123.93,223.074,14.25,8.63,4.82,0,,,,,,,,,,
20161006:0856,160.61,289.098,21.87,9.6,5.54,0,,,,,,,,,,
20161006:0956,774.55,1394.19,27.95,10.56,6.26,0,,,,,,,,,,
20161006:1056,403.49,726.282,31.89,11.38,6.46,0,,,,,,,,,,
20161006:1156,356.86,642.348,33.17,12.2,6.67,0,,,,,,,,,,
20161006:1256,822.8,1481.04,31.61,13.03,6.87,0,,,,,,,,,,
20161006:1356,197.3,355.14,27.42,13.1,6.78,0,,,,,,,,,,
20161006:1456,117.75,211.95,21.16,13.17,6.69,0,,,,,,,,,,
20161006:1556,60.12,108.216,13.42,13.24,6.61,0,,,,,,,,,,
20161006:1656,55.78,100.404,4.74,12.49,5.96,0,,,,,,,,,,
20161006:1756,0,0,0,11.74,5.32,0,,,,,,,,,,
20161006:1856,0,0,0,10.99,4.68,0,,,,,,,,,,
20161006:1956,0,0,0,10.44,4.54,0,,,,,,,,,,
20161006:2056,0,0,0,9.89,4.4,0,,,,,,,,,,
20161006:2156,0,0,0,9.35,4.26,0,,,,,,,,,,
20161006:2256,0,0,0,9.32,3.89,0,,,,,,,,,,
20161006:2356,0,0,0,9.29,3.53,0,,,,,,,,,,
20161007:0056,0,0,0,9.26,3.16,0,,,,,,,,,,
20161007:0156,0,0,0,9.25,3.3,0,,,,,,,,,,
20161007:0256,0,0,0,9.24,3.44,0,,,,,,,,,,
20161007:0356,0,0,0,9.23,3.59,0,,,,,,,,,,
20161007:0456,0,0,0,9.25,3.51,0,,,,,,,,,,
20161007:0556,0,0,0,9.27,3.44,0,,,,,,,,,,
20161007:0656,20.13,36.234,5.38,9.28,3.37,0,,,,,,,,,,
20161007:0756,45.3,81.54,13.97,9.9,3.69,0,,,,,,,,,,
20161007:0856,78.36,141.048,21.56,10.51,4.02,0,,,,,,,,,,
20161007:0956,114.62,206.316,27.61,11.12,4.34,0,,,,,,,,,,
20161007:1056,136.69,246.042,31.52,12.05,4.54,0,,,,,,,,,,
20161007:1156,167.43,301.374,32.79,12.98,4.73,0,,,,,,,,,,
20161007:1256,119.52,215.136,31.22,13.92,4.92,0,,,,,,,,,,
20161007:1356,103.92,187.056,27.04,14.15,4.75,0,,,,,,,,,,
20161007:1456,104.64,188.352,20.79,14.39,4.58,0,,,,,,,,,,
20161007:1556,22.33,40.194,13.06,14.62,4.41,0,,,,,,,,,,
20161007:1656,47.13,84.834,4.39,13.62,3.66,0,,,,,,,,,,
20161007:1756,0,0,0,12.62,2.91,0,,,,,,,,,,
20161007:1856,0,0,0,11.62,2.17,0,,,,,,,,,,
