,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161104:1256,44.93,80.874,21.33,8.45,2.65,0,,,,,,,,,,
20161104:1356,48.3,86.94,17.45,8.26,2.63,0,,,,,,,,,,
20161104:1456,65.17,117.306,11.62,8.08,2.62,0,,,,,,,,,,
20161104:1556,22.25,40.05,4.3,7.89,2.61,0,,,,,,,,,,
20161104:1656,0,0,0,7.05,2.52,0,,,,,,,,,,
20161104:1756,0,0,0,6.2,2.43,0,,,,,,,,,,
20161104:1856,0,0,0,5.35,2.34,0,,,,,,,,,,
20161104:1956,0,0,0,4.85,2.48,0,,,,,,,,,,
20161104:2056,0,0,0,4.35,2.61,0,,,,,,,,,,
20161104:2156,0,0,0,3.85,2.74,0,,,,,,,,,,
20161104:2256,0,0,0,3.44,2.78,0,,,,,,,,,,
20161104:2356,0,0,0,3.04,2.82,0,,,,,,,,,,
20161105:0056,0,0,0,2.64,2.86,0,,,,,,,,,,
20161105:0156,0,0,0,2.52,2.93,0,,,,,,,,,,
20161105:0256,0,0,0,2.39,3.01,0,,,,,,,,,,
20161105:0356,0,0,0,2.27,3.09,0,,,,,,,,,,
20161105:0456,0,0,0,2.3,3.39,0,,,,,,,,,,
20161105:0556,0,0,0,2.34,3.7,0,,,,,,,,,,
20161105:0656,0,0,0,2.37,4,0,,,,,,,,,,
20161105:0756,170.71,307.278,5.83,3.03,4.76,0,,,,,,,,,,
20161105:0856,88.01,158.418,12.83,3.69,5.53,0,,,,,,,,,,
20161105:0956,519.04,934.272,18.24,4.35,6.29,0,,,,,,,,,,
20161105:1056,638.89,1150.002,21.6,4.92,6.66,0,,,,,,,,,,
20161105:1156,289.65,521.37,22.57,5.48,7.03,0,,,,,,,,,,
20161105:1256,104.11,187.398,21.03,6.05,7.39,0,,,,,,,,,,
20161105:1356,59.44,106.992,17.16,6.3,7.33,0,,,,,,,,,,
20161105:1456,218.1,392.58,11.35,6.55,7.26,0,,,,,,,,,,
20161105:1556,31.19,56.142,4.05,6.8,7.2,0,,,,,,,,,,
20161105:1656,0,0,0,5.9,6.63,0,,,,,,,,,,
20161105:1756,0,0,0,5,6.05,0,,,,,,,,,,
20161105:1856,0,0,0,4.1,5.48,0,,,,,,,,,,
20161105:1956,0,0,0,3.61,5.4,0,,,,,,,,,,
20161105:2056,0,0,0,3.11,5.33,0,,,,,,,,,,
20161105:2156,0,0,0,2.62,5.26,0,,,,,,,,,,
20161105:2256,0,0,0,2.48,5.19,0,,,,,,,,,,
20161105:2356,0,0,0,2.35,5.12,0,,,,,,,,,,
20161106:0056,0,0,0,2.22,5.05,0,,,,,,,,,,
20161106:0156,0,0,0,1.87,5,0,,,,,,,,,,
20161106:0256,0,0,0,1.52,4.96,0,,,,,,,,,,
20161106:0356,0,0,0,1.17,4.91,0,,,,,,,,,,
20161106:0456,0,0,0,1.14,4.97,0,,,,,,,,,,
20161106:0556,0,0,0,1.12,5.03,0,,,,,,,,,,
20161106:0656,0,0,0,1.1,5.09,0,,,,,,,,,,
20161106:0756,167.67,301.806,5.56,1.72,5.51,0,,,,,,,,,,
20161106:0856,426.24,767.232,12.55,2.34,5.93,0,,,,,,,,,,
20161106:0956,610.45,1098.81,17.94,2.96,6.34,0,,,,,,,,,,
20161106:1056,710.9,1279.62,21.3,4.16,6.98,0,,,,,,,,,,
20161106:1156,80.64,145.152,22.27,5.35,7.62,0,,,,,,,,,,
20161106:1256,131.21,236.178,20.74,6.55,8.26,0,,,,,,,,,,
20161106:1356,72.14,129.852,16.88,6.29,7.47,0,,,,,,,,,,
20161106:1456,49.77,89.586,11.09,6.03,6.68,0,,,,,,,,,,
20161106:1556,1.64,2.952,3.81,5.78,5.89,0,,,,,,,,,,
20161106:1656,0,0,0,5.22,6.23,0,,,,,,,,,,
20161106:1756,0,0,0,4.67,6.57,0,,,,,,,,,,
20161106:1856,0,0,0,4.12,6.91,0,,,,,,,,,,
20161106:1956,0,0,0,3.97,7.15,0,,,,,,,,,,
20161106:2056,0,0,0,3.82,7.4,0,,,,,,,,,,
20161106:2156,0,0,0,3.67,7.64,0,,,,,,,,,,
20161106:2256,0,0,0,3.85,7.92,0,,,,,,,,,,
20161106:2356,0,0,0,4.03,8.19,0,,,,,,,,,,
20161107:0056,0,0,0,4.22,8.47,0,,,,,,,,,,
20161107:0156,0,0,0,4.1,8.43,0,,,,,,,,,,
20161107:0256,0,0,0,3.98,8.39,0,,,,,,,,,,
20161107:0356,0,0,0,3.86,8.34,0,,,,,,,,,,
20161107:0456,0,0,0,3.8,8.28,0,,,,,,,,,,
20161107:0556,0,0,0,3.74,8.22,0,,,,,,,,,,
20161107:0656,0,0,0,3.68,8.15,0,,,,,,,,,,
20161107:0756,153.89,277.002,5.3,3.81,8.06,0,,,,,,,,,,
20161107:0856,412.31,742.158,12.27,3.94,7.98,0,,,,,,,,,,
20161107:0956,595.73,1072.314,17.65,4.07,7.89,0,,,,,,,,,,
20161107:1056,703.24,1265.832,21,4.71,7.86,0,,,,,,,,,,
20161107:1156,724.81,1304.658,21.97,5.36,7.83,0,,,,,,,,,,
20161107:1256,662.26,1192.068,20.45,6,7.79,0,,,,,,,,,,
20161107:1356,351.23,632.214,16.61,6.08,7,0,,,,,,,,,,
20161107:1456,318.33,572.994,10.83,6.16,6.21,0,,,,,,,,,,
20161107:1556,68.11,122.598,3.57,6.24,5.42,0,,,,,,,,,,
20161107:1656,0,0,0,5.1,4.75,0,,,,,,,,,,
20161107:1756,0,0,0,3.95,4.08,0,,,,,,,,,,
20161107:1856,0,0,0,2.8,3.41,0,,,,,,,,,,
20161107:1956,0,0,0,2.28,3.38,0,,,,,,,,,,
20161107:2056,0,0,0,1.75,3.35,0,,,,,,,,,,
20161107:2156,0,0,0,1.23,3.32,0,,,,,,,,,,
20161107:2256,0,0,0,0.98,3.15,0,,,,,,,,,,
20161107:2356,0,0,0,0.73,2.97,0,,,,,,,,,,
20161108:0056,0,0,0,0.48,2.8,0,,,,,,,,,,
20161108:0156,0,0,0,0.07,2.78,0,,,,,,,,,,
20161108:0256,0,0,0,-0.34,2.75,0,,,,,,,,,,
20161108:0356,0,0,0,-0.74,2.73,0,,,,,,,,,,
20161108:0456,0,0,0,-0.86,2.59,0,,,,,,,,,,
20161108:0556,0,0,0,-0.98,2.45,0,,,,,,,,,,
20161108:0656,0,0,0,-1.1,2.3,0,,,,,,,,,,
20161108:0756,150.73,271.314,5.03,-0.48,2.37,0,,,,,,,,,,
20161108:0856,180.04,324.072,11.99,0.14,2.43,0,,,,,,,,,,
20161108:0956,104.72,188.496,17.37,0.76,2.5,0,,,,,,,,,,
20161108:1056,108.74,195.732,20.71,1.99,2.33,0,,,,,,,,,,
20161108:1156,118.6,213.48,21.67,3.23,2.16,0,,,,,,,,,,
20161108:1256,165.93,298.674,20.16,4.46,1.99,0,,,,,,,,,,
20161108:1356,98.42,177.156,16.34,4.58,2.28,0,,,,,,,,,,
20161108:1456,39.64,71.352,10.58,4.71,2.57,0,,,,,,,,,,
20161108:1556,21.44,38.592,3.33,4.84,2.87,0,,,,,,,,,,
20161108:1656,0,0,0,4.39,2.97,0,,,,,,,,,,
20161108:1756,0,0,0,3.95,3.08,0,,,,,,,,,,
20161108:1856,0,0,0,3.51,3.19,0,,,,,,,,,,
20161108:1956,0,0,0,3.52,3.89,0,,,,,,,,,,
20161108:2056,0,0,0,3.54,4.59,0,,,,,,,,,,
20161108:2156,0,0,0,3.55,5.3,0,,,,,,,,,,
20161108:2256,0,0,0,4.05,5.89,0,,,,,,,,,,
20161108:2356,0,0,0,4.55,6.48,0,,,,,,,,,,
20161109:0056,0,0,0,5.05,7.08,0,,,,,,,,,,
20161109:0156,0,0,0,4.84,6.4,0,,,,,,,,,,
20161109:0256,0,0,0,4.63,5.71,0,,,,,,,,,,
20161109:0356,0,0,0,4.42,5.03,0,,,,,,,,,,
20161109:0456,0,0,0,4.62,3.95,0,,,,,,,,,,
20161109:0556,0,0,0,4.83,2.87,0,,,,,,,,,,
20161109:0656,0,0,0,5.03,1.79,0,,,,,,,,,,
20161109:0756,130.92,235.656,4.78,5.04,3.17,0,,,,,,,,,,
20161109:0856,69.55,125.19,11.72,5.06,4.55,0,,,,,,,,,,
20161109:0956,121.42,218.556,17.08,5.07,5.93,0,,,,,,,,,,
20161109:1056,184.19,331.542,20.42,5.37,6.55,0,,,,,,,,,,
20161109:1156,71.81,129.258,21.39,5.67,7.16,0,,,,,,,,,,
20161109:1256,47.75,85.95,19.88,5.97,7.78,0,,,,,,,,,,
20161109:1356,8.5,15.3,16.08,6.4,7.39,0,,,,,,,,,,
20161109:1456,296.09,532.962,10.34,6.83,7.01,0,,,,,,,,,,
20161109:1556,133.38,240.084,3.1,7.26,6.62,0,,,,,,,,,,
20161109:1656,0,0,0,6.58,5.86,0,,,,,,,,,,
20161109:1756,0,0,0,5.89,5.09,0,,,,,,,,,,
20161109:1856,0,0,0,5.2,4.33,0,,,,,,,,,,
20161109:1956,0,0,0,4.88,4.26,0,,,,,,,,,,
20161109:2056,0,0,0,4.56,4.18,0,,,,,,,,,,
20161109:2156,0,0,0,4.24,4.11,0,,,,,,,,,,
20161109:2256,0,0,0,4.24,4.13,0,,,,,,,,,,
20161109:2356,0,0,0,4.24,4.16,0,,,,,,,,,,
20161110:0056,0,0,0,4.25,4.18,0,,,,,,,,,,
20161110:0156,0,0,0,4.05,3.99,0,,,,,,,,,,
20161110:0256,0,0,0,3.85,3.79,0,,,,,,,,,,
20161110:0356,0,0,0,3.66,3.6,0,,,,,,,,,,
20161110:0456,0,0,0,4.02,3.85,0,,,,,,,,,,
20161110:0556,0,0,0,4.39,4.1,0,,,,,,,,,,
20161110:0656,0,0,0,4.75,4.34,0,,,,,,,,,,
20161110:0756,86.9,156.42,4.52,5.17,4.56,0,,,,,,,,,,
20161110:0856,284.53,512.154,11.45,5.6,4.78,0,,,,,,,,,,
20161110:0956,116.25,209.25,16.8,6.02,4.99,0,,,,,,,,,,
20161110:1056,521.33,938.394,20.13,6.77,5.66,0,,,,,,,,,,
20161110:1156,568.17,1022.706,21.1,7.51,6.32,0,,,,,,,,,,
20161110:1256,381.95,687.51,19.61,8.26,6.98,0,,,,,,,,,,
20161110:1356,249.74,449.532,15.82,8.11,6.91,0,,,,,,,,,,
20161110:1456,188.24,338.832,10.1,7.96,6.85,0,,,,,,,,,,
20161110:1556,46.98,84.564,2.88,7.82,6.79,0,,,,,,,,,,
20161110:1656,0,0,0,7.08,6.52,0,,,,,,,,,,
20161110:1756,0,0,0,6.34,6.26,0,,,,,,,,,,
20161110:1856,0,0,0,5.6,6,0,,,,,,,,,,
20161110:1956,0,0,0,5.17,5.89,0,,,,,,,,,,
20161110:2056,0,0,0,4.74,5.79,0,,,,,,,,,,
20161110:2156,0,0,0,4.31,5.68,0,,,,,,,,,,
20161110:2256,0,0,0,4.1,5.42,0,,,,,,,,,,
20161110:2356,0,0,0,3.89,5.15,0,,,,,,,,,,
20161111:0056,0,0,0,3.68,4.88,0,,,,,,,,,,
20161111:0156,0,0,0,3.62,4.58,0,,,,,,,,,,
20161111:0256,0,0,0,3.56,4.28,0,,,,,,,,,,
20161111:0356,0,0,0,3.51,3.97,0,,,,,,,,,,
20161111:0456,0,0,0,3.21,3.4,0,,,,,,,,,,
20161111:0556,0,0,0,2.92,2.82,0,,,,,,,,,,
20161111:0656,0,0,0,2.63,2.25,0,,,,,,,,,,
20161111:0756,122.06,219.708,4.26,2.79,2.18,0,,,,,,,,,,
20161111:0856,300.53,540.954,11.19,2.95,2.11,0,,,,,,,,,,
20161111:0956,574.84,1034.712,16.53,3.11,2.04,0,,,,,,,,,,
20161111:1056,678.08,1220.544,19.85,4.49,1.76,0,,,,,,,,,,
20161111:1156,700.56,1261.008,20.82,5.86,1.47,0,,,,,,,,,,
20161111:1256,580.85,1045.53,19.34,7.24,1.19,0,,,,,,,,,,
20161111:1356,417.89,752.202,15.57,7.24,1.79,0,,,,,,,,,,
20161111:1456,239.18,430.524,9.86,7.24,2.4,0,,,,,,,,,,
20161111:1556,96.44,173.592,2.66,7.24,3.01,0,,,,,,,,,,
20161111:1656,0,0,0,6.37,3.17,0,,,,,,,,,,
20161111:1756,0,0,0,5.49,3.34,0,,,,,,,,,,
20161111:1856,0,0,0,4.61,3.5,0,,,,,,,,,,
20161111:1956,0,0,0,4.74,4,0,,,,,,,,,,
20161111:2056,0,0,0,4.86,4.51,0,,,,,,,,,,
20161111:2156,0,0,0,4.99,5.01,0,,,,,,,,,,
20161111:2256,0,0,0,5.5,5.49,0,,,,,,,,,,
20161111:2356,0,0,0,6.01,5.98,0,,,,,,,,,,
20161112:0056,0,0,0,6.53,6.47,0,,,,,,,,,,
20161112:0156,0,0,0,7.09,6.89,0,,,,,,,,,,
20161112:0256,0,0,0,7.65,7.31,0,,,,,,,,,,
20161112:0356,0,0,0,8.22,7.72,0,,,,,,,,,,
20161112:0456,0,0,0,7.91,7.88,0,,,,,,,,,,
20161112:0556,0,0,0,7.61,8.03,0,,,,,,,,,,
20161112:0656,0,0,0,7.3,8.18,0,,,,,,,,,,
20161112:0756,8.5,15.3,4.01,7.24,8.02,0,,,,,,,,,,
20161112:0856,9.32,16.776,10.92,7.18,7.87,0,,,,,,,,,,
20161112:0956,38.66,69.588,16.25,7.12,7.71,0,,,,,,,,,,
20161112:1056,51.89,93.402,19.57,7.35,6.91,0,,,,,,,,,,
20161112:1156,86.65,155.97,20.55,7.57,6.1,0,,,,,,,,,,
20161112:1256,71.72,129.096,19.08,7.8,5.3,0,,,,,,,,,,
20161112:1356,46.89,84.402,15.32,8.48,4.19,0,,,,,,,,,,
20161112:1456,55.48,99.864,9.63,9.17,3.09,0,,,,,,,,,,
20161112:1556,30.14,54.252,2.45,9.85,1.99,0,,,,,,,,,,
20161112:1656,0,0,0,9.31,2.61,0,,,,,,,,,,
20161112:1756,0,0,0,8.76,3.23,0,,,,,,,,,,
20161112:1856,0,0,0,8.21,3.85,0,,,,,,,,,,
20161112:1956,0,0,0,7.8,4.16,0,,,,,,,,,,
20161112:2056,0,0,0,7.38,4.47,0,,,,,,,,,,
20161112:2156,0,0,0,6.97,4.79,0,,,,,,,,,,
20161112:2256,0,0,0,6.69,4.58,0,,,,,,,,,,
20161112:2356,0,0,0,6.41,4.37,0,,,,,,,,,,
20161113:0056,0,0,0,6.13,4.17,0,,,,,,,,,,
20161113:0156,0,0,0,5.89,4.17,0,,,,,,,,,,
20161113:0256,0,0,0,5.66,4.17,0,,,,,,,,,,
20161113:0356,0,0,0,5.43,4.17,0,,,,,,,,,,
20161113:0456,0,0,0,5.24,4.2,0,,,,,,,,,,
20161113:0556,0,0,0,5.06,4.23,0,,,,,,,,,,
20161113:0656,0,0,0,4.87,4.26,0,,,,,,,,,,
20161113:0756,52.14,93.852,3.76,5.1,4.32,0,,,,,,,,,,
20161113:0856,281.71,507.078,10.66,5.34,4.37,0,,,,,,,,,,
20161113:0956,544.85,980.73,15.98,5.57,4.43,0,,,,,,,,,,
20161113:1056,578.2,1040.76,19.3,6.4,4.59,0,,,,,,,,,,
