"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
20160104:1556,2.04,0.68,7.02,4.66,0,,,20160104:2356,0
20160104:1656,0,0,6.79,4.69,0,,,20160105:0056,0
20160104:1756,0,0,6.55,4.71,0,,,20160105:0156,0
20160104:1856,0,0,6.32,4.73,0,,,20160105:0256,0
20160104:1956,0,0,6.11,4.66,0,,,20160105:0356,0
20160104:2056,0,0,5.9,4.59,0,,,20160105:0456,0
20160104:2156,0,0,5.7,4.52,0,,,20160105:0556,0
20160104:2256,0,0,5.7,4.49,0,,,20160105:0656,0
20160104:2356,0,0,5.69,4.46,0,,,20160105:0756,0
20160105:0056,0,0,5.69,4.43,0,,,20160105:0856,98.65
20160105:0156,0,0,5.86,4.42,0,,,20160105:0956,90.73
20160105:0256,0,0,6.03,4.42,0,,,20160105:1056,98.57
20160105:0356,0,0,6.19,4.41,0,,,20160105:1156,107.7
20160105:0456,0,0,6.07,4.13,0,,,20160105:1256,118.67
20160105:0556,0,0,5.94,3.84,0,,,20160105:1356,87.16
20160105:0656,0,0,5.81,3.56,0,,,20160105:1456,3.59
20160105:0756,0,0,5.71,3.26,0,,,20160105:1556,2.82
20160105:0856,98.65,4.29,5.6,2.95,0,,,20160105:1656,0
20160105:0956,90.73,9.96,5.5,2.65,0,,,20160105:1756,0
20160105:1056,98.57,13.81,6.04,2.78,0,,,20160105:1856,0
20160105:1156,107.7,15.52,6.59,2.91,0,,,20160105:1956,0
20160105:1256,118.67,14.93,7.13,3.03,0,,,20160105:2056,0
20160105:1356,87.16,12.1,6.89,2.51,0,,,20160105:2156,0
20160105:1456,3.59,7.27,6.65,2,0,,,20160105:2256,0
20160105:1556,2.82,0.83,6.4,1.48,0,,,20160105:2356,0
20160105:1656,0,0,5.32,1.59,0,,,20160106:0056,0
20160105:1756,0,0,4.24,1.71,0,,,20160106:0156,0
20160105:1856,0,0,3.16,1.82,0,,,20160106:0256,0
20160105:1956,0,0,2.46,1.88,0,,,20160106:0356,0
20160105:2056,0,0,1.76,1.93,0,,,20160106:0456,0
20160105:2156,0,0,1.06,1.99,0,,,20160106:0556,0
20160105:2256,0,0,0.82,1.86,0,,,20160106:0656,0
20160105:2356,0,0,0.58,1.73,0,,,20160106:0756,0
20160106:0056,0,0,0.34,1.6,0,,,20160106:0856,99.58
20160106:0156,0,0,0.46,1.71,0,,,20160106:0956,52.36
20160106:0256,0,0,0.58,1.82,0,,,20160106:1056,145.62
20160106:0356,0,0,0.69,1.93,0,,,20160106:1156,137.39
20160106:0456,0,0,0.53,1.99,0,,,20160106:1256,74.65
20160106:0556,0,0,0.37,2.05,0,,,20160106:1356,108.85
20160106:0656,0,0,0.21,2.11,0,,,20160106:1456,187.84
20160106:0756,0,0,0.23,2.29,0,,,20160106:1556,3.69
20160106:0856,99.58,4.34,0.26,2.46,0,,,20160106:1656,0
20160106:0956,52.36,10.03,0.28,2.63,0,,,20160106:1756,0
20160106:1056,145.62,13.9,1.4,2.5,0,,,20160106:1856,0
20160106:1156,137.39,15.63,2.52,2.36,0,,,20160106:1956,0
20160106:1256,74.65,15.06,3.64,2.22,0,,,20160106:2056,0
20160106:1356,108.85,12.24,3.95,2.01,0,,,20160106:2156,0
20160106:1456,187.84,7.42,4.26,1.81,0,,,20160106:2256,0
20160106:1556,3.69,0.98,4.56,1.6,0,,,20160106:2356,0
20160106:1656,0,0,4.38,2,0,,,20160107:0056,0
20160106:1756,0,0,4.2,2.4,0,,,20160107:0156,0
20160106:1856,0,0,4.02,2.8,0,,,20160107:0256,0
20160106:1956,0,0,4.07,3.45,0,,,20160107:0356,0
20160106:2056,0,0,4.13,4.11,0,,,20160107:0456,0
20160106:2156,0,0,4.19,4.76,0,,,20160107:0556,0
20160106:2256,0,0,4.52,5.66,0,,,20160107:0656,0
20160106:2356,0,0,4.86,6.56,0,,,20160107:0756,0
20160107:0056,0,0,5.19,7.46,0,,,20160107:0856,56.72
20160107:0156,0,0,5.44,8.12,0,,,20160107:0956,103.35
20160107:0256,0,0,5.69,8.79,0,,,20160107:1056,122.04
20160107:0356,0,0,5.94,9.45,0,,,20160107:1156,386.68
20160107:0456,0,0,6.17,8.56,0,,,20160107:1256,164.7
20160107:0556,0,0,6.4,7.67,0,,,20160107:1356,351.08
20160107:0656,0,0,6.63,6.79,0,,,20160107:1456,200.25
20160107:0756,0,0,6.86,6.81,0,,,20160107:1556,5
20160107:0856,56.72,4.41,7.1,6.84,0,,,20160107:1656,0
20160107:0956,103.35,10.11,7.33,6.87,0,,,20160107:1756,0
20160107:1056,122.04,14,6.91,8.09,0,,,20160107:1856,0
20160107:1156,386.68,15.75,6.5,9.31,0,,,20160107:1956,0
20160107:1256,164.7,15.19,6.08,10.54,0,,,20160107:2056,0
20160107:1356,351.08,12.38,5.56,9.93,0,,,20160107:2156,0
20160107:1456,200.25,7.57,5.05,9.32,0,,,20160107:2256,0
20160107:1556,5,1.13,4.53,8.72,0,,,20160107:2356,0
20160107:1656,0,0,4.06,8.24,0,,,20160108:0056,0
20160107:1756,0,0,3.6,7.76,0,,,20160108:0156,0
20160107:1856,0,0,3.13,7.28,0,,,20160108:0256,0
20160107:1956,0,0,2.88,6.74,0,,,20160108:0356,0
20160107:2056,0,0,2.63,6.21,0,,,20160108:0456,0
20160107:2156,0,0,2.39,5.67,0,,,20160108:0556,0
20160107:2256,0,0,2.21,5.1,0,,,20160108:0656,0
20160107:2356,0,0,2.04,4.53,0,,,20160108:0756,0
20160108:0056,0,0,1.86,3.96,0,,,20160108:0856,107.09
20160108:0156,0,0,2.16,4.03,0,,,20160108:0956,293.31
20160108:0256,0,0,2.45,4.11,0,,,20160108:1056,281.31
20160108:0356,0,0,2.74,4.18,0,,,20160108:1156,453.74
20160108:0456,0,0,2.71,4.11,0,,,20160108:1256,122.09
20160108:0556,0,0,2.69,4.05,0,,,20160108:1356,76.82
20160108:0656,0,0,2.66,3.99,0,,,20160108:1456,79.88
20160108:0756,0,0,2.96,4.31,0,,,20160108:1556,3.01
20160108:0856,107.09,4.48,3.26,4.63,0,,,20160108:1656,0
20160108:0956,293.31,10.2,3.56,4.95,0,,,20160108:1756,0
20160108:1056,281.31,14.11,4.55,5.36,0,,,20160108:1856,0
20160108:1156,453.74,15.88,5.54,5.77,0,,,20160108:1956,0
20160108:1256,122.09,15.33,6.53,6.18,0,,,20160108:2056,0
20160108:1356,76.82,12.53,6.83,5.71,0,,,20160108:2156,0
20160108:1456,79.88,7.73,7.13,5.23,0,,,20160108:2256,0
20160108:1556,3.01,1.29,7.42,4.76,0,,,20160108:2356,0
20160108:1656,0,0,6.64,4.33,0,,,20160109:0056,0
20160108:1756,0,0,5.85,3.9,0,,,20160109:0156,0
20160108:1856,0,0,5.07,3.48,0,,,20160109:0256,0
20160108:1956,0,0,4.81,3.43,0,,,20160109:0356,0
20160108:2056,0,0,4.56,3.39,0,,,20160109:0456,0
20160108:2156,0,0,4.31,3.35,0,,,20160109:0556,0
20160108:2256,0,0,4.28,3.45,0,,,20160109:0656,0
20160108:2356,0,0,4.25,3.55,0,,,20160109:0756,0
20160109:0056,0,0,4.22,3.66,0,,,20160109:0856,15.63
20160109:0156,0,0,4.9,4.14,0,,,20160109:0956,53.98
20160109:0256,0,0,5.58,4.63,0,,,20160109:1056,103.54
20160109:0356,0,0,6.26,5.12,0,,,20160109:1156,362.65
20160109:0456,0,0,6.12,5.05,0,,,20160109:1256,138.93
20160109:0556,0,0,5.99,4.99,0,,,20160109:1356,101.46
20160109:0656,0,0,5.85,4.92,0,,,20160109:1456,70.45
20160109:0756,0,0,5.93,5.39,0,,,20160109:1556,1.02
20160109:0856,15.63,4.56,6.01,5.85,0,,,20160109:1656,0
20160109:0956,53.98,10.3,6.09,6.32,0,,,20160109:1756,0
20160109:1056,103.54,14.23,6.58,6.93,0,,,20160109:1856,0
20160109:1156,362.65,16.01,7.08,7.55,0,,,20160109:1956,0
20160109:1256,138.93,15.48,7.57,8.17,0,,,20160109:2056,0
20160109:1356,101.46,12.69,7.56,8.05,0,,,20160109:2156,0
20160109:1456,70.45,7.9,7.56,7.93,0,,,20160109:2256,0
20160109:1556,1.02,1.46,7.55,7.81,0,,,20160109:2356,0
20160109:1656,0,0,7.53,8.4,0,,,20160110:0056,0
20160109:1756,0,0,7.52,9,0,,,20160110:0156,0
20160109:1856,0,0,7.5,9.6,0,,,20160110:0256,0
20160109:1956,0,0,6.93,9.18,0,,,20160110:0356,0
20160109:2056,0,0,6.36,8.76,0,,,20160110:0456,0
20160109:2156,0,0,5.8,8.34,0,,,20160110:0556,0
20160109:2256,0,0,5.41,8.81,0,,,20160110:0656,0
20160109:2356,0,0,5.03,9.27,0,,,20160110:0756,0
20160110:0056,0,0,4.64,9.74,0,,,20160110:0856,113.46
20160110:0156,0,0,4.49,9.2,0,,,20160110:0956,112.9
20160110:0256,0,0,4.34,8.66,0,,,20160110:1056,92.26
20160110:0356,0,0,4.19,8.12,0,,,20160110:1156,133.97
20160110:0456,0,0,4.13,7.81,0,,,20160110:1256,385.88
20160110:0556,0,0,4.07,7.5,0,,,20160110:1356,154.28
20160110:0656,0,0,4.01,7.19,0,,,20160110:1456,92.35
20160110:0756,0,0,3.89,6.75,0,,,20160110:1556,7.72
20160110:0856,113.46,4.64,3.77,6.31,0,,,20160110:1656,0
20160110:0956,112.9,10.4,3.65,5.88,0,,,20160110:1756,0
20160110:1056,92.26,14.35,4.29,5.87,0,,,20160110:1856,0
20160110:1156,133.97,16.15,4.94,5.86,0,,,20160110:1956,0
20160110:1256,385.88,15.64,5.58,5.85,0,,,20160110:2056,0
20160110:1356,154.28,12.86,5.7,5.74,0,,,20160110:2156,0
20160110:1456,92.35,8.07,5.83,5.63,0,,,20160110:2256,0
20160110:1556,7.72,1.63,5.95,5.52,0,,,20160110:2356,0
20160110:1656,0,0,5.27,5.34,0,,,20160111:0056,0
20160110:1756,0,0,4.58,5.17,0,,,20160111:0156,0
20160110:1856,0,0,3.9,4.99,0,,,20160111:0256,0
20160110:1956,0,0,3.57,4.69,0,,,20160111:0356,0
20160110:2056,0,0,3.25,4.39,0,,,20160111:0456,0
20160110:2156,0,0,2.93,4.08,0,,,20160111:0556,0
20160110:2256,0,0,3.12,4.13,0,,,20160111:0656,0
20160110:2356,0,0,3.32,4.18,0,,,20160111:0756,0
20160111:0056,0,0,3.52,4.23,0,,,20160111:0856,110.91
20160111:0156,0,0,3.5,4.04,0,,,20160111:0956,70.35
20160111:0256,0,0,3.48,3.84,0,,,20160111:1056,204.58
20160111:0356,0,0,3.46,3.64,0,,,20160111:1156,131.37
20160111:0456,0,0,3.42,3.25,0,,,20160111:1256,65.6
20160111:0556,0,0,3.38,2.86,0,,,20160111:1356,7.04
20160111:0656,0,0,3.34,2.47,0,,,20160111:1456,117.26
20160111:0756,0,0,3.05,2.56,0,,,20160111:1556,10.54
20160111:0856,110.91,4.73,2.77,2.64,0,,,20160111:1656,0
20160111:0956,70.35,10.51,2.48,2.73,0,,,20160111:1756,0
20160111:1056,204.58,14.48,3.27,3.42,0,,,20160111:1856,0
20160111:1156,131.37,16.3,4.06,4.11,0,,,20160111:1956,0
20160111:1256,65.6,15.8,4.85,4.8,0,,,20160111:2056,0
20160111:1356,7.04,13.03,4.73,4.34,0,,,20160111:2156,0
20160111:1456,117.26,8.24,4.62,3.89,0,,,20160111:2256,0
20160111:1556,10.54,1.81,4.5,3.43,0,,,20160111:2356,0
20160111:1656,0,0,3.97,3.46,0,,,20160112:0056,0
20160111:1756,0,0,3.43,3.49,0,,,20160112:0156,0
20160111:1856,0,0,2.9,3.52,0,,,20160112:0256,0
20160111:1956,0,0,2.58,3.74,0,,,20160112:0356,0
20160111:2056,0,0,2.26,3.97,0,,,20160112:0456,0
20160111:2156,0,0,1.95,4.19,0,,,20160112:0556,0
20160111:2256,0,0,2.19,4.79,0,,,20160112:0656,0
20160111:2356,0,0,2.44,5.39,0,,,20160112:0756,0
20160112:0056,0,0,2.69,5.99,0,,,20160112:0856,118.99
20160112:0156,0,0,2.89,6.36,0,,,20160112:0956,197.77
20160112:0256,0,0,3.09,6.73,0,,,20160112:1056,69.28
20160112:0356,0,0,3.29,7.1,0,,,20160112:1156,98.66
20160112:0456,0,0,3.35,7.3,0,,,20160112:1256,9.37
20160112:0556,0,0,3.4,7.5,0,,,20160112:1356,58.72
20160112:0656,0,0,3.45,7.7,0,,,20160112:1456,196.27
20160112:0756,0,0,3.47,7.86,0,,,20160112:1556,11.12
20160112:0856,118.99,4.83,3.49,8.02,0,,,20160112:1656,0
20160112:0956,197.77,10.63,3.51,8.18,0,,,20160112:1756,0
20160112:1056,69.28,14.62,4.03,8.88,0,,,20160112:1856,0
20160112:1156,98.66,16.45,4.56,9.58,0,,,20160112:1956,0
20160112:1256,9.37,15.97,5.08,10.28,0,,,20160112:2056,0
20160112:1356,58.72,13.21,4.94,10.12,0,,,20160112:2156,0
20160112:1456,196.27,8.42,4.8,9.96,0,,,20160112:2256,0
20160112:1556,11.12,1.99,4.66,9.81,0,,,20160112:2356,0
20160112:1656,0,0,4.4,9.61,0,,,20160113:0056,0
20160112:1756,0,0,4.14,9.41,0,,,20160113:0156,0
