"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
20160420:2156,0,0,6.2,4.86,0,,,20160421:0556,4.03
20160420:2256,0,0,5.68,4.7,0,,,20160421:0656,113.6
20160420:2356,0,0,5.15,4.55,0,,,20160421:0756,245.46
20160421:0056,0,0,4.63,4.4,0,,,20160421:0856,292.51
20160421:0156,0,0,4.43,4.31,0,,,20160421:0956,178.69
20160421:0256,0,0,4.23,4.23,0,,,20160421:1056,413.36
20160421:0356,0,0,4.04,4.14,0,,,20160421:1156,765.99
20160421:0456,0,0,4.14,4.4,0,,,20160421:1256,529.04
20160421:0556,4.03,8,4.25,4.66,0,,,20160421:1356,582.8
20160421:0656,113.6,17.25,4.35,4.92,0,,,20160421:1456,581.11
20160421:0756,245.46,26.4,6.22,5.2,0,,,20160421:1556,221.06
20160421:0856,292.51,35,8.09,5.48,0,,,20160421:1656,159.7
20160421:0956,178.69,42.4,9.96,5.75,0,,,20160421:1756,81.11
20160421:1056,413.36,47.74,11.38,5.85,0,,,20160421:1856,8.29
20160421:1156,765.99,50.04,12.8,5.95,0,,,20160421:1956,0
20160421:1256,529.04,48.74,14.22,6.06,0,,,20160421:2056,0
20160421:1356,582.8,44.16,14.55,6.31,0,,,20160421:2156,0
20160421:1456,581.11,37.24,14.88,6.56,0,,,20160421:2256,0
20160421:1556,221.06,28.91,15.21,6.81,0,,,20160421:2356,0
20160421:1656,159.7,19.87,14.18,6.15,0,,,20160422:0056,0
20160421:1756,81.11,10.61,13.15,5.48,0,,,20160422:0156,0
20160421:1856,8.29,1.53,12.11,4.81,0,,,20160422:0256,0
20160421:1956,0,0,10.78,4.86,0,,,20160422:0356,0
20160421:2056,0,0,9.45,4.91,0,,,20160422:0456,0
20160421:2156,0,0,8.12,4.95,0,,,20160422:0556,31.37
20160421:2256,0,0,7.68,5.12,0,,,20160422:0656,77.17
20160421:2356,0,0,7.24,5.28,0,,,20160422:0756,142.96
20160422:0056,0,0,6.8,5.45,0,,,20160422:0856,184.67
20160422:0156,0,0,6.35,5.44,0,,,20160422:0956,226.14
20160422:0256,0,0,5.9,5.44,0,,,20160422:1056,304.91
20160422:0356,0,0,5.45,5.43,0,,,20160422:1156,249.38
20160422:0456,0,0,5.49,5.42,0,,,20160422:1256,283.71
20160422:0556,31.37,8.3,5.53,5.4,0,,,20160422:1356,178.59
20160422:0656,77.17,17.55,5.57,5.38,0,,,20160422:1456,132.46
20160422:0756,142.96,26.7,6.48,5.78,0,,,20160422:1556,111.05
20160422:0856,184.67,35.31,7.39,6.18,0,,,20160422:1656,55.99
20160422:0956,226.14,42.72,8.3,6.58,0,,,20160422:1756,5.44
20160422:1056,304.91,48.08,8.93,6.37,0,,,20160422:1856,1.18
20160422:1156,249.38,50.38,9.57,6.16,0,,,20160422:1956,0
20160422:1256,283.71,49.06,10.2,5.94,0,,,20160422:2056,0
20160422:1356,178.59,44.45,10.12,5.57,0,,,20160422:2156,0
20160422:1456,132.46,37.5,10.04,5.19,0,,,20160422:2256,0
20160422:1556,111.05,29.15,9.96,4.81,0,,,20160422:2356,0
20160422:1656,55.99,20.1,9.32,4.6,0,,,20160423:0056,0
20160422:1756,5.44,10.84,8.67,4.38,0,,,20160423:0156,0
20160422:1856,1.18,1.77,8.02,4.17,0,,,20160423:0256,0
20160422:1956,0,0,7.44,4.15,0,,,20160423:0356,0
20160422:2056,0,0,6.86,4.14,0,,,20160423:0456,0
20160422:2156,0,0,6.27,4.12,0,,,20160423:0556,95.48
20160422:2256,0,0,5.8,3.97,0,,,20160423:0656,300.01
20160422:2356,0,0,5.32,3.81,0,,,20160423:0756,521.5
20160423:0056,0,0,4.85,3.66,0,,,20160423:0856,627.69
20160423:0156,0,0,4.09,3.72,0,,,20160423:0956,626.05
20160423:0256,0,0,3.33,3.79,0,,,20160423:1056,987.16
20160423:0356,0,0,2.57,3.86,0,,,20160423:1156,662.46
20160423:0456,0,0,2.35,3.98,0,,,20160423:1256,517.55
20160423:0556,95.48,8.59,2.13,4.1,0,,,20160423:1356,350.03
20160423:0656,300.01,17.84,1.91,4.22,0,,,20160423:1456,192.75
20160423:0756,521.5,27,3.35,4.72,0,,,20160423:1556,200.72
20160423:0856,627.69,35.61,4.78,5.21,0,,,20160423:1656,162.36
20160423:0956,626.05,43.05,6.22,5.71,0,,,20160423:1756,81.72
20160423:1056,987.16,48.42,7.19,5.76,0,,,20160423:1856,7.63
20160423:1156,662.46,50.72,8.17,5.81,0,,,20160423:1956,0
20160423:1256,517.55,49.38,9.14,5.86,0,,,20160423:2056,0
20160423:1356,350.03,44.74,9.32,5.84,0,,,20160423:2156,0
20160423:1456,192.75,37.76,9.5,5.83,0,,,20160423:2256,0
20160423:1556,200.72,29.39,9.68,5.81,0,,,20160423:2356,0
20160423:1656,162.36,20.33,9.36,5.25,0,,,20160424:0056,0
20160423:1756,81.72,11.06,9.03,4.69,0,,,20160424:0156,0
20160423:1856,7.63,2.01,8.71,4.12,0,,,20160424:0256,0
20160423:1956,0,0,7.7,3.71,0,,,20160424:0356,0
20160423:2056,0,0,6.68,3.31,0,,,20160424:0456,0
20160423:2156,0,0,5.66,2.9,0,,,20160424:0556,45.03
20160423:2256,0,0,5.22,2.88,0,,,20160424:0656,244.93
20160423:2356,0,0,4.77,2.87,0,,,20160424:0756,522.42
20160424:0056,0,0,4.33,2.86,0,,,20160424:0856,723.74
20160424:0156,0,0,4.16,3.09,0,,,20160424:0956,881
20160424:0256,0,0,4,3.33,0,,,20160424:1056,976.82
20160424:0356,0,0,3.84,3.57,0,,,20160424:1156,311.93
20160424:0456,0,0,3.7,3.9,0,,,20160424:1256,341.46
20160424:0556,45.03,8.88,3.57,4.23,0,,,20160424:1356,462.97
20160424:0656,244.93,18.12,3.44,4.57,0,,,20160424:1456,529
20160424:0756,522.42,27.29,4.37,5.21,0,,,20160424:1556,516.78
20160424:0856,723.74,35.91,5.31,5.85,0,,,20160424:1656,185.98
20160424:0956,881,43.36,6.24,6.5,0,,,20160424:1756,104.34
20160424:1056,976.82,48.75,7.15,6.66,0,,,20160424:1856,12.84
20160424:1156,311.93,51.05,8.05,6.83,0,,,20160424:1956,0
20160424:1256,341.46,49.69,8.96,6.99,0,,,20160424:2056,0
20160424:1356,462.97,45.02,9.1,6.69,0,,,20160424:2156,0
20160424:1456,529,38.01,9.23,6.39,0,,,20160424:2256,0
20160424:1556,516.78,29.63,9.36,6.08,0,,,20160424:2356,0
20160424:1656,185.98,20.55,8.95,5.48,0,,,20160425:0056,0
20160424:1756,104.34,11.29,8.53,4.88,0,,,20160425:0156,0
20160424:1856,12.84,2.24,8.11,4.28,0,,,20160425:0256,0
20160424:1956,0,0,7.4,3.83,0,,,20160425:0356,0
20160424:2056,0,0,6.69,3.37,0,,,20160425:0456,0.19
20160424:2156,0,0,5.98,2.92,0,,,20160425:0556,95.04
20160424:2256,0,0,5.81,3.06,0,,,20160425:0656,88.11
20160424:2356,0,0,5.65,3.2,0,,,20160425:0756,215.92
20160425:0056,0,0,5.48,3.34,0,,,20160425:0856,265.12
20160425:0156,0,0,5.36,3.7,0,,,20160425:0956,379.98
20160425:0256,0,0,5.24,4.06,0,,,20160425:1056,327.33
20160425:0356,0,0,5.13,4.41,0,,,20160425:1156,191.7
20160425:0456,0.19,0.24,5.23,4.77,0,,,20160425:1256,561.65
20160425:0556,95.04,9.16,5.34,5.13,0,,,20160425:1356,875.74
20160425:0656,88.11,18.4,5.45,5.49,0,,,20160425:1456,198.44
20160425:0756,215.92,27.57,6.03,6.24,0,,,20160425:1556,523.73
20160425:0856,265.12,36.21,6.61,6.99,0,,,20160425:1656,303.4
20160425:0956,379.98,43.68,7.19,7.74,0,,,20160425:1756,68.56
20160425:1056,327.33,49.08,7.7,7.87,0,,,20160425:1856,10.47
20160425:1156,191.7,51.38,8.21,8,0,,,20160425:1956,0
20160425:1256,561.65,50,8.72,8.12,0,,,20160425:2056,0
20160425:1356,875.74,45.3,8.98,7.99,0,,,20160425:2156,0
20160425:1456,198.44,38.27,9.24,7.85,0,,,20160425:2256,0
20160425:1556,523.73,29.86,9.49,7.71,0,,,20160425:2356,0
20160425:1656,303.4,20.78,8.95,7.43,0,,,20160426:0056,0
20160425:1756,68.56,11.52,8.41,7.15,0,,,20160426:0156,0
20160425:1856,10.47,2.48,7.87,6.87,1,,,20160426:0256,0
20160425:1956,0,0,6.83,6.57,0,,,20160426:0356,0
20160425:2056,0,0,5.79,6.28,0,,,20160426:0456,2.46
20160425:2156,0,0,4.74,5.99,0,,,20160426:0556,106.72
20160425:2256,0,0,4.35,5.84,0,,,20160426:0656,195.91
20160425:2356,0,0,3.95,5.69,0,,,20160426:0756,360.12
20160426:0056,0,0,3.56,5.54,0,,,20160426:0856,672.6
20160426:0156,0,0,3.05,5.44,0,,,20160426:0956,820.99
20160426:0256,0,0,2.54,5.33,0,,,20160426:1056,727.16
20160426:0356,0,0,2.04,5.23,0,,,20160426:1156,984.96
20160426:0456,2.46,0.53,1.98,5.31,0,,,20160426:1256,758.01
20160426:0556,106.72,9.44,1.93,5.39,0,,,20160426:1356,265.19
20160426:0656,195.91,18.68,1.88,5.48,0,,,20160426:1456,537.53
20160426:0756,360.12,27.86,2.9,6.19,0,,,20160426:1556,120.03
20160426:0856,672.6,36.5,3.91,6.91,0,,,20160426:1656,132.79
20160426:0956,820.99,43.98,4.93,7.63,0,,,20160426:1756,99.09
20160426:1056,727.16,49.4,5.62,7.7,0,,,20160426:1856,1.37
20160426:1156,984.96,51.71,6.32,7.77,0,,,20160426:1956,0
20160426:1256,758.01,50.31,7.01,7.83,0,,,20160426:2056,0
20160426:1356,265.19,45.57,7.03,7.86,0,,,20160426:2156,0
20160426:1456,537.53,38.52,7.05,7.89,0,,,20160426:2256,0
20160426:1556,120.03,30.09,7.07,7.92,0,,,20160426:2356,0
20160426:1656,132.79,21,6.6,7.49,0,,,20160427:0056,0
20160426:1756,99.09,11.74,6.13,7.07,0,,,20160427:0156,0
20160426:1856,1.37,2.71,5.66,6.65,0,,,20160427:0256,0
20160426:1956,0,0,4.92,6.01,0,,,20160427:0356,0
20160426:2056,0,0,4.18,5.38,0,,,20160427:0456,4.07
20160426:2156,0,0,3.44,4.74,0,,,20160427:0556,109.61
20160426:2256,0,0,2.97,4.56,0,,,20160427:0656,315.34
20160426:2356,0,0,2.5,4.38,0,,,20160427:0756,535.71
20160427:0056,0,0,2.03,4.19,0,,,20160427:0856,487.39
20160427:0156,0,0,1.8,4.04,0,,,20160427:0956,481.09
20160427:0256,0,0,1.57,3.88,0,,,20160427:1056,806.75
20160427:0356,0,0,1.34,3.72,0,,,20160427:1156,532.95
20160427:0456,4.07,0.81,1.53,3.87,0,,,20160427:1256,991.32
20160427:0556,109.61,9.72,1.73,4.01,0,,,20160427:1356,885.09
20160427:0656,315.34,18.95,1.92,4.15,0,,,20160427:1456,272.29
20160427:0756,535.71,28.13,2.88,3.86,0,,,20160427:1556,239.8
20160427:0856,487.39,36.79,3.84,3.57,0,,,20160427:1656,94.4
20160427:0956,481.09,44.29,4.8,3.28,0,,,20160427:1756,6.31
20160427:1056,806.75,49.72,5.29,3.16,0,,,20160427:1856,17.91
20160427:1156,532.95,52.03,5.77,3.04,0,,,20160427:1956,0
20160427:1256,991.32,50.61,6.26,2.92,0,,,20160427:2056,0
20160427:1356,885.09,45.85,6.55,2.98,0,,,20160427:2156,0
20160427:1456,272.29,38.76,6.83,3.03,0,,,20160427:2256,0
20160427:1556,239.8,30.32,7.11,3.09,0,,,20160427:2356,0
20160427:1656,94.4,21.22,6.39,3.22,0,,,20160428:0056,0
20160427:1756,6.31,11.96,5.66,3.36,0,,,20160428:0156,0
20160427:1856,17.91,2.94,4.93,3.49,0,,,20160428:0256,0
20160427:1956,0,0,3.9,3.13,0,,,20160428:0356,0
20160427:2056,0,0,2.87,2.77,0,,,20160428:0456,5.83
20160427:2156,0,0,1.83,2.41,0,,,20160428:0556,113.82
20160427:2256,0,0,1.26,2.35,0,,,20160428:0656,321.08
20160427:2356,0,0,0.7,2.29,0,,,20160428:0756,528.58
20160428:0056,0,0,0.13,2.22,0,,,20160428:0856,695.76
20160428:0156,0,0,-0.25,2.19,0,,,20160428:0956,878.49
20160428:0256,0,0,-0.63,2.16,0,,,20160428:1056,498.75
20160428:0356,0,0,-1,2.12,0,,,20160428:1156,511.78
20160428:0456,5.83,1.09,-0.78,2.48,0,,,20160428:1256,512
20160428:0556,113.82,9.99,-0.56,2.84,0,,,20160428:1356,428.38
20160428:0656,321.08,19.22,-0.34,3.2,0,,,20160428:1456,250.99
20160428:0756,528.58,28.41,1.84,3.52,0,,,20160428:1556,312.85
20160428:0856,695.76,37.07,4.03,3.83,0,,,20160428:1656,197.29
20160428:0956,878.49,44.59,6.21,4.15,0,,,20160428:1756,70.97
20160428:1056,498.75,50.03,7.1,4.88,0,,,20160428:1856,18.57
20160428:1156,511.78,52.34,7.99,5.61,0,,,20160428:1956,0
20160428:1256,512,50.91,8.88,6.34,0,,,20160428:2056,0
20160428:1356,428.38,46.12,8.88,7.17,0,,,20160428:2156,0
20160428:1456,250.99,39.01,8.88,7.99,0,,,20160428:2256,0
20160428:1556,312.85,30.55,8.87,8.81,0,,,20160428:2356,0
20160428:1656,197.29,21.44,8.31,8.66,0,,,20160429:0056,0
20160428:1756,70.97,12.18,7.75,8.5,0,,,20160429:0156,0
20160428:1856,18.57,3.17,7.19,8.34,0,,,20160429:0256,0
20160428:1956,0,0,6.73,8.23,0,,,20160429:0356,0
20160428:2056,0,0,6.27,8.11,0,,,20160429:0456,5.54
20160428:2156,0,0,5.81,7.99,0,,,20160429:0556,99.43
20160428:2256,0,0,5.25,7.71,0,,,20160429:0656,324.03
20160428:2356,0,0,4.68,7.44,0,,,20160429:0756,542.78
20160429:0056,0,0,4.12,7.17,0,,,20160429:0856,742.91
20160429:0156,0,0,3.58,6.24,0,,,20160429:0956,635.57
20160429:0256,0,0,3.04,5.31,0,,,20160429:1056,997.12
20160429:0356,0,0,2.5,4.37,0,,,20160429:1156,1025.09
20160429:0456,5.54,1.36,2.49,4.79,0,,,20160429:1256,618.53
20160429:0556,99.43,10.26,2.49,5.21,0,,,20160429:1356,899.83
20160429:0656,324.03,19.49,2.48,5.63,0,,,20160429:1456,268.59
20160429:0756,542.78,28.67,3.55,6.5,0,,,20160429:1556,23.31
20160429:0856,742.91,37.35,4.62,7.37,0,,,20160429:1656,316.61
20160429:0956,635.57,44.88,5.69,8.23,0,,,20160429:1756,116.99
20160429:1056,997.12,50.34,6.51,8.34,0,,,20160429:1856,20.9
20160429:1156,1025.09,52.66,7.32,8.44,0,,,20160429:1956,0
20160429:1256,618.53,51.2,8.14,8.54,0,,,20160429:2056,0
20160429:1356,899.83,46.39,8.15,8.31,0,,,20160429:2156,0
20160429:1456,268.59,39.25,8.16,8.08,0,,,20160429:2256,0
20160429:1556,23.31,30.77,8.16,7.85,0,,,20160429:2356,0
20160429:1656,316.61,21.66,7.81,7.2,0,,,20160430:0056,0
20160429:1756,116.99,12.4,7.45,6.56,0,,,20160430:0156,0
20160429:1856,20.9,3.39,7.1,5.92,0,,,20160430:0256,0
20160429:1956,0,0,5.94,5.11,0,,,20160430:0356,0
20160429:2056,0,0,4.78,4.3,0,,,20160430:0456,9.38
20160429:2156,0,0,3.61,3.49,0,,,20160430:0556,119.67
20160429:2256,0,0,3.19,3.42,0,,,20160430:0656,326.2
20160429:2356,0,0,2.78,3.34,0,,,20160430:0756,463.73
20160430:0056,0,0,2.36,3.27,0,,,20160430:0856,663.59
20160430:0156,0,0,1.81,2.95,0,,,20160430:0956,645.4
20160430:0256,0,0,1.26,2.63,0,,,20160430:1056,631.64
20160430:0356,0,0,0.72,2.3,0,,,20160430:1156,1027.16
20160430:0456,9.38,1.63,1.02,2.64,0,,,20160430:1256,435.99
20160430:0556,119.67,10.52,1.32,2.97,0,,,20160430:1356,152.13
20160430:0656,326.2,19.75,1.62,3.31,0,,,20160430:1456,334.37
20160430:0756,463.73,28.94,3.68,3.81,0,,,20160430:1556,504.85
20160430:0856,663.59,37.63,5.74,4.3,0,,,20160430:1656,232.21
20160430:0956,645.4,45.17,7.8,4.8,0,,,20160430:1756,120.17
20160430:1056,631.64,50.65,8.53,4.71,0,,,20160430:1856,22.03
20160430:1156,1027.16,52.97,9.25,4.62,0,,,20160430:1956,0
20160430:1256,435.99,51.5,9.98,4.52,0,,,20160430:2056,0
20160430:1356,152.13,46.65,9.63,4.81,0,,,20160430:2156,0
20160430:1456,334.37,39.49,9.28,5.09,0,,,20160430:2256,0
20160430:1556,504.85,30.99,8.93,5.38,0,,,20160430:2356,0
20160430:1656,232.21,21.87,8.55,4.9,0,,,20160501:0056,0
20160430:1756,120.17,12.62,8.16,4.41,0,,,20160501:0156,0
20160430:1856,22.03,3.62,7.77,3.93,0,,,20160501:0256,0
20160430:1956,0,0,6.47,3.45,0,,,20160501:0356,0
20160430:2056,0,0,5.17,2.97,0,,,20160501:0456,10.99
20160430:2156,0,0,3.87,2.5,0,,,20160501:0556,121.85
20160430:2256,0,0,3,2.54,0,,,20160501:0656,327.6
20160430:2356,0,0,2.14,2.58,0,,,20160501:0756,534.23
20160501:0056,0,0,1.27,2.62,0,,,20160501:0856,684.07
20160501:0156,0,0,0.93,2.5,0,,,20160501:0956,883.14
20160501:0256,0,0,0.59,2.37,0,,,20160501:1056,861.14
20160501:0356,0,0,0.25,2.25,0,,,20160501:1156,860.25
20160501:0456,10.99,1.89,1.05,2.68,0,,,20160501:1256,842.72
20160501:0556,121.85,10.77,1.85,3.11,0,,,20160501:1356,541.85
20160501:0656,327.6,20,2.65,3.54,0,,,20160501:1456,405.9
20160501:0756,534.23,29.19,4.57,3.99,0,,,20160501:1556,268.68
20160501:0856,684.07,37.89,6.48,4.43,0,,,20160501:1656,164.82
20160501:0956,883.14,45.46,8.4,4.87,0,,,20160501:1756,37.44
20160501:1056,861.14,50.95,8.96,5.29,0,,,20160501:1856,22.41
20160501:1156,860.25,53.27,9.53,5.71,0,,,20160501:1956,0
20160501:1256,842.72,51.79,10.09,6.14,0,,,20160501:2056,0
20160501:1356,541.85,46.91,10.92,6.46,0,,,20160501:2156,0
20160501:1456,405.9,39.72,11.74,6.78,0,,,20160501:2256,0
20160501:1556,268.68,31.21,12.56,7.1,0,,,20160501:2356,0
20160501:1656,164.82,22.09,11.96,6.6,0,,,20160502:0056,0
20160501:1756,37.44,12.83,11.36,6.09,0,,,20160502:0156,0
20160501:1856,22.41,3.84,10.77,5.59,0,,,20160502:0256,0
20160501:1956,0,0,10.22,5.44,0,,,20160502:0356,0
20160501:2056,0,0,9.67,5.3,0,,,20160502:0456,11.94
20160501:2156,0,0,9.12,5.16,0,,,20160502:0556,68.11
20160501:2256,0,0,9.1,5.27,0,,,20160502:0656,120.69
20160501:2356,0,0,9.08,5.38,0,,,20160502:0756,218.32
20160502:0056,0,0,9.06,5.49,0,,,20160502:0856,371.97
20160502:0156,0,0,9,5.55,0,,,20160502:0956,581.68
20160502:0256,0,0,8.94,5.61,0,,,20160502:1056,670.92
20160502:0356,0,0,8.89,5.67,0,,,20160502:1156,711.29
20160502:0456,11.94,2.15,9.11,5.81,0,,,20160502:1256,288.06
20160502:0556,68.11,11.03,9.34,5.95,0,,,20160502:1356,172.04
20160502:0656,120.69,20.25,9.57,6.1,0,,,20160502:1456,155.97
20160502:0756,218.32,29.45,9.96,7.01,0,,,20160502:1556,166.47
20160502:0856,371.97,38.16,10.35,7.93,0,,,20160502:1656,326.82
20160502:0956,581.68,45.74,10.74,8.84,0,,,20160502:1756,123.42
20160502:1056,670.92,51.25,10.91,9.16,0,,,20160502:1856,24.59
20160502:1156,711.29,53.57,11.08,9.48,0,,,20160502:1956,0
20160502:1256,288.06,52.07,11.25,9.79,0,,,20160502:2056,0
20160502:1356,172.04,47.17,11.28,9.15,0,,,20160502:2156,0
20160502:1456,155.97,39.96,11.31,8.51,0,,,20160502:2256,0
20160502:1556,166.47,31.43,11.33,7.86,0,,,20160502:2356,0
20160502:1656,326.82,22.3,10.72,7.47,0,,,20160503:0056,0
20160502:1756,123.42,13.05,10.11,7.08,0,,,20160503:0156,0
20160502:1856,24.59,4.06,9.51,6.69,0,,,20160503:0256,0
20160502:1956,0,0,8.72,6.19,0,,,20160503:0356,0
20160502:2056,0,0,7.93,5.69,0,,,20160503:0456,14.4
20160502:2156,0,0,7.15,5.19,0,,,20160503:0556,129.11
20160502:2256,0,0,6.59,4.85,0,,,20160503:0656,336.64
20160502:2356,0,0,6.03,4.51,0,,,20160503:0756,472.48
20160503:0056,0,0,5.47,4.17,0,,,20160503:0856,743.62
20160503:0156,0,0,4.94,3.88,0,,,20160503:0956,905.64
20160503:0256,0,0,4.41,3.6,0,,,20160503:1056,994.33
20160503:0356,0,0,3.88,3.31,0,,,20160503:1156,1030.44
20160503:0456,14.4,2.41,4.14,3.57,0,,,20160503:1256,299.13
20160503:0556,129.11,11.27,4.39,3.83,0,,,20160503:1356,316.55
20160503:0656,336.64,20.49,4.64,4.08,0,,,20160503:1456,165.29
20160503:0756,472.48,29.7,6.36,4.54,0,,,20160503:1556,246.21
20160503:0856,743.62,38.42,8.08,4.99,0,,,20160503:1656,127.6
20160503:0956,905.64,46.01,9.81,5.45,0,,,20160503:1756,124.93
20160503:1056,994.33,51.54,10.64,5.71,0,,,20160503:1856,23.6
20160503:1156,1030.44,53.87,11.46,5.97,0,,,20160503:1956,0
20160503:1256,299.13,52.35,12.29,6.23,0,,,20160503:2056,0
20160503:1356,316.55,47.42,12.4,6.26,0,,,20160503:2156,0
20160503:1456,165.29,40.19,12.51,6.29,0,,,20160503:2256,0
20160503:1556,246.21,31.65,12.61,6.32,0,,,20160503:2356,0
20160503:1656,127.6,22.51,12.18,5.37,0,,,20160504:0056,0
20160503:1756,124.93,13.26,11.74,4.43,0,,,20160504:0156,0
20160503:1856,23.6,4.28,11.31,3.49,0,,,20160504:0256,0
20160503:1956,0,0,9.48,3.26,0,,,20160504:0356,0
20160503:2056,0,0,7.66,3.04,0,,,20160504:0456,15.78
20160503:2156,0,0,5.84,2.81,0,,,20160504:0556,129.73
20160503:2256,0,0,5.28,2.64,0,,,20160504:0656,334.17
20160503:2356,0,0,4.71,2.46,0,,,20160504:0756,551.91
20160504:0056,0,0,4.15,2.29,0,,,20160504:0856,748.12
20160504:0156,0,0,3.55,2.22,0,,,20160504:0956,902.93
20160504:0256,0,0,2.95,2.14,0,,,20160504:1056,999.19
20160504:0356,0,0,2.35,2.07,0,,,20160504:1156,1032.14
20160504:0456,15.78,2.66,2.87,2.27,0,,,20160504:1256,996.94
20160504:0556,129.73,11.51,3.4,2.46,0,,,20160504:1356,893.09
20160504:0656,334.17,20.73,3.92,2.66,0,,,20160504:1456,738.24
20160504:0756,551.91,29.94,6.39,3.22,0,,,20160504:1556,543.46
20160504:0856,748.12,38.67,8.86,3.78,0,,,20160504:1656,329.53
20160504:0956,902.93,46.28,11.33,4.34,0,,,20160504:1756,128.3
20160504:1056,999.19,51.82,12.23,4.59,0,,,20160504:1856,26.82
20160504:1156,1032.14,54.16,13.14,4.83,0,,,20160504:1956,0
20160504:1256,996.94,52.63,14.04,5.08,0,,,20160504:2056,0
20160504:1356,893.09,47.68,14.35,5.03,0,,,20160504:2156,0
20160504:1456,738.24,40.42,14.65,4.97,0,,,20160504:2256,0
20160504:1556,543.46,31.86,14.95,4.92,0,,,20160504:2356,0
20160504:1656,329.53,22.72,14.37,4.58,0,,,20160505:0056,0
20160504:1756,128.3,13.47,13.79,4.23,0,,,20160505:0156,0
20160504:1856,26.82,4.5,13.2,3.89,0,,,20160505:0256,0
20160504:1956,0,0,11.52,3.46,0,,,20160505:0356,0
20160504:2056,0,0,9.84,3.03,0,,,20160505:0456,17.15
20160504:2156,0,0,8.16,2.61,0,,,20160505:0556,131.31
20160504:2256,0,0,7.51,2.53,0,,,20160505:0656,333.97
20160504:2356,0,0,6.85,2.46,0,,,20160505:0756,542.95
20160505:0056,0,0,6.2,2.39,0,,,20160505:0856,696.26
20160505:0156,0,0,5.55,2.37,0,,,20160505:0956,894.98
20160505:0256,0,0,4.9,2.36,0,,,20160505:1056,994.38
20160505:0356,0,0,4.26,2.34,0,,,20160505:1156,1027.03
20160505:0456,17.15,2.9,4.67,2.44,0,,,20160505:1256,992.03
20160505:0556,131.31,11.75,5.09,2.54,0,,,20160505:1356,893.23
20160505:0656,333.97,20.97,5.51,2.63,0,,,20160505:1456,651.53
20160505:0756,542.95,30.18,8.07,2.65,0,,,20160505:1556,451.07
20160505:0856,696.26,38.92,10.62,2.67,0,,,20160505:1656,293.77
20160505:0956,894.98,46.54,13.18,2.69,0,,,20160505:1756,127.11
20160505:1056,994.38,52.11,14.44,3.15,0,,,20160505:1856,29.19
20160505:1156,1027.03,54.45,15.7,3.62,0,,,20160505:1956,0
20160505:1256,992.03,52.9,16.96,4.08,0,,,20160505:2056,0
20160505:1356,893.23,47.92,17.28,4.26,0,,,20160505:2156,0
20160505:1456,651.53,40.64,17.59,4.44,0,,,20160505:2256,0
20160505:1556,451.07,32.07,17.9,4.62,0,,,20160505:2356,0
20160505:1656,293.77,22.92,17.17,4.05,0,,,20160506:0056,0
20160505:1756,127.11,13.67,16.44,3.48,0,,,20160506:0156,0
20160505:1856,29.19,4.72,15.72,2.91,0,,,20160506:0256,0
20160505:1956,0,0,13.95,2.79,0,,,20160506:0356,0
20160505:2056,0,0,12.18,2.67,0,,,20160506:0456,18.05
20160505:2156,0,0,10.41,2.55,0,,,20160506:0556,38.12
20160505:2256,0,0,9.91,2.56,0,,,20160506:0656,197.54
20160505:2356,0,0,9.42,2.57,0,,,20160506:0756,279.42
20160506:0056,0,0,8.92,2.58,0,,,20160506:0856,646.56
20160506:0156,0,0,8,2.44,0,,,20160506:0956,892.78
20160506:0256,0,0,7.07,2.29,0,,,20160506:1056,958.07
20160506:0356,0,0,6.14,2.15,0,,,20160506:1156,1006.81
20160506:0456,18.05,3.14,6.49,2.46,0,,,20160506:1256,984.12
20160506:0556,38.12,11.98,6.84,2.76,0,,,20160506:1356,783.58
20160506:0656,197.54,21.2,7.19,3.06,0,,,20160506:1456,527.5
20160506:0756,279.42,30.41,9.41,3.14,0,,,20160506:1556,290.72
20160506:0856,646.56,39.16,11.63,3.22,0,,,20160506:1656,154.47
20160506:0956,892.78,46.8,13.86,3.3,0,,,20160506:1756,118.15
20160506:1056,958.07,52.38,15.43,3.26,0,,,20160506:1856,29.9
20160506:1156,1006.81,54.73,17.01,3.22,0,,,20160506:1956,0
20160506:1256,984.12,53.17,18.58,3.19,0,,,20160506:2056,0
20160506:1356,783.58,48.17,18.71,3.37,0,,,20160506:2156,0
20160506:1456,527.5,40.86,18.84,3.56,0,,,20160506:2256,0
20160506:1556,290.72,32.28,18.96,3.75,0,,,20160506:2356,0
20160506:1656,154.47,23.12,18.34,3.12,0,,,20160507:0056,0
20160506:1756,118.15,13.88,17.71,2.48,0,,,20160507:0156,0
20160506:1856,29.9,4.93,17.08,1.85,0,,,20160507:0256,0
20160506:1956,0,0,15.42,2.11,0,,,20160507:0356,0
20160506:2056,0,0,13.75,2.37,0,,,20160507:0456,19.47
20160506:2156,0,0,12.09,2.63,0,,,20160507:0556,83.19
20160506:2256,0,0,11.74,2.54,0,,,20160507:0656,97.51
20160506:2356,0,0,11.4,2.44,0,,,20160507:0756,385.74
20160507:0056,0,0,11.05,2.34,0,,,20160507:0856,221.93
20160507:0156,0,0,10.58,2.29,0,,,20160507:0956,746.95
20160507:0256,0,0,10.1,2.23,0,,,20160507:1056,754.15
20160507:0356,0,0,9.62,2.18,0,,,20160507:1156,656.08
20160507:0456,19.47,3.37,9.92,2.29,0,,,20160507:1256,610.66
