"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
20081015:1156,103.38,29.76,13.15,6.66,0,,,,,,
20081015:1256,129.43,28.16,13.03,6.72,0,,,,,,
20081015:1356,161.77,24.04,12.79,6.47,0,,,,,,
20081015:1456,78.49,17.9,12.56,6.22,0,,,,,,
20081015:1556,80.41,10.27,12.32,5.97,0,,,,,,
20081015:1656,0.68,1.69,11.81,5.78,0,,,,,,
20081015:1756,0,-7.43,11.29,5.6,0,,,,,,
20081015:1856,0,0,10.78,5.41,0,,,,,,
20081015:1956,0,0,10.39,5.13,0,,,,,,
20081015:2056,0,0,10,4.85,0,,,,,,
20081015:2156,0,0,9.62,4.57,0,,,,,,
20081015:2256,0,0,9.34,4.52,0,,,,,,
20081015:2356,0,0,9.05,4.48,0,,,,,,
20081016:0056,0,0,8.77,4.44,0,,,,,,
20081016:0156,0,0,8.57,4.58,0,,,,,,
20081016:0256,0,0,8.38,4.73,0,,,,,,
20081016:0356,0,0,8.18,4.87,0,,,,,,
20081016:0456,0,0,7.83,4.87,0,,,,,,
20081016:0556,0,-6.07,7.48,4.87,0,,,,,,
20081016:0656,84.2,2.97,7.12,4.87,0,,,,,,
20081016:0756,250.83,11.41,7.68,5.63,0,,,,,,
20081016:0856,447.14,18.79,8.23,6.4,0,,,,,,
20081016:0956,598.77,24.59,8.79,7.16,0,,,,,,
20081016:1056,497.79,28.27,9.49,7.34,0,,,,,,
20081016:1156,375.57,29.39,10.18,7.52,0,,,,,,
20081016:1256,262.42,27.78,10.88,7.7,0,,,,,,
20081016:1356,203.05,23.68,11.05,7.29,0,,,,,,
20081016:1456,213.89,17.55,11.23,6.89,0,,,,,,
20081016:1556,66.29,9.94,11.4,6.48,0,,,,,,
20081016:1656,4.42,1.36,10.48,5.68,0,,,,,,
20081016:1756,0,-7.75,9.56,4.87,0,,,,,,
20081016:1856,0,0,8.64,4.07,0,,,,,,
20081016:1956,0,0,7.97,3.91,0,,,,,,
20081016:2056,0,0,7.31,3.76,0,,,,,,
20081016:2156,0,0,6.65,3.6,0,,,,,,
20081016:2256,0,0,6.42,3.48,0,,,,,,
20081016:2356,0,0,6.18,3.35,0,,,,,,
20081017:0056,0,0,5.95,3.23,0,,,,,,
20081017:0156,0,0,5.6,3.09,0,,,,,,
20081017:0256,0,0,5.25,2.94,0,,,,,,
20081017:0356,0,0,4.9,2.8,0,,,,,,
20081017:0456,0,0,4.75,2.66,0,,,,,,
20081017:0556,0,-6.33,4.6,2.51,0,,,,,,
20081017:0656,28.65,2.71,4.44,2.37,0,,,,,,
20081017:0756,235.43,11.12,5.59,2.57,0,,,,,,
20081017:0856,427.85,18.48,6.73,2.76,0,,,,,,
20081017:0956,576.63,24.26,7.87,2.95,0,,,,,,
20081017:1056,664.42,27.92,9.04,3.01,0,,,,,,
20081017:1156,567.63,29.02,10.21,3.06,0,,,,,,
20081017:1256,268.54,27.41,11.39,3.12,0,,,,,,
20081017:1356,244.86,23.32,11.5,3.08,0,,,,,,
20081017:1456,237.39,17.2,11.62,3.04,0,,,,,,
20081017:1556,128.85,9.61,11.74,3.01,0,,,,,,
20081017:1656,0.34,1.04,10.9,2.56,0,,,,,,
20081017:1756,0,-8.07,10.05,2.11,0,,,,,,
20081017:1856,0,0,9.21,1.67,0,,,,,,
20081017:1956,0,0,8.71,1.8,0,,,,,,
20081017:2056,0,0,8.22,1.93,0,,,,,,
20081017:2156,0,0,7.73,2.06,0,,,,,,
20081017:2256,0,0,7.59,2.24,0,,,,,,
20081017:2356,0,0,7.46,2.43,0,,,,,,
20081018:0056,0,0,7.32,2.62,0,,,,,,
20081018:0156,0,0,7.1,2.7,0,,,,,,
20081018:0256,0,0,6.89,2.78,0,,,,,,
20081018:0356,0,0,6.67,2.86,0,,,,,,
20081018:0456,0,0,6.5,3.02,0,,,,,,
20081018:0556,0,-6.59,6.33,3.18,0,,,,,,
20081018:0656,23.7,2.44,6.15,3.34,0,,,,,,
20081018:0756,232.92,10.84,7.19,3.78,0,,,,,,
20081018:0856,246.24,18.17,8.22,4.23,0,,,,,,
20081018:0956,491.63,23.93,9.25,4.68,0,,,,,,
20081018:1056,562.06,27.57,10.41,5.11,0,,,,,,
20081018:1156,390.35,28.65,11.56,5.55,0,,,,,,
20081018:1256,167.81,27.05,12.72,5.99,0,,,,,,
20081018:1356,402.07,22.96,12.76,5.87,0,,,,,,
20081018:1456,299.41,16.86,12.8,5.76,0,,,,,,
20081018:1556,51.28,9.28,12.84,5.64,0,,,,,,
20081018:1656,69.29,0.72,12.12,5.17,0,,,,,,
20081018:1756,0,-8.38,11.41,4.7,0,,,,,,
20081018:1856,0,0,10.69,4.23,0,,,,,,
20081018:1956,0,0,10.13,4.21,0,,,,,,
20081018:2056,0,0,9.57,4.18,0,,,,,,
20081018:2156,0,0,9.02,4.15,0,,,,,,
20081018:2256,0,0,8.87,4.17,0,,,,,,
20081018:2356,0,0,8.71,4.2,0,,,,,,
20081019:0056,0,0,8.56,4.22,0,,,,,,
20081019:0156,0,0,8.46,4.22,0,,,,,,
20081019:0256,0,0,8.37,4.21,0,,,,,,
20081019:0356,0,0,8.27,4.21,0,,,,,,
20081019:0456,0,0,8.3,4.29,0,,,,,,
20081019:0556,0,-6.85,8.32,4.37,0,,,,,,
20081019:0656,5.92,2.17,8.34,4.46,0,,,,,,
20081019:0756,56.55,10.55,9.02,5.13,0,,,,,,
20081019:0856,34.33,17.87,9.7,5.8,0,,,,,,
20081019:0956,80.41,23.6,10.38,6.47,0,,,,,,
20081019:1056,105.66,27.21,11.23,7.22,0,,,,,,
20081019:1156,135.73,28.29,12.08,7.97,0,,,,,,
20081019:1256,159.63,26.68,12.94,8.72,0,,,,,,
20081019:1356,263.12,22.6,12.85,8.63,0,,,,,,
20081019:1456,134.9,16.52,12.76,8.54,0,,,,,,
20081019:1556,32.93,8.95,12.67,8.46,0,,,,,,
20081019:1656,48.22,0.41,12.4,8.22,0,,,,,,
20081019:1756,0,-8.69,12.12,7.98,0,,,,,,
20081019:1856,0,0,11.85,7.74,0,,,,,,
20081019:1956,0,0,11.75,7.71,0,,,,,,
20081019:2056,0,0,11.65,7.68,0,,,,,,
20081019:2156,0,0,11.55,7.66,0,,,,,,
20081019:2256,0,0,11.51,7.69,0,,,,,,
20081019:2356,0,0,11.48,7.72,0,,,,,,
20081020:0056,0,0,11.44,7.75,0,,,,,,
20081020:0156,0,0,11.46,8.28,0,,,,,,
20081020:0256,0,0,11.47,8.81,0,,,,,,
20081020:0356,0,0,11.49,9.34,0,,,,,,
20081020:0456,0,0,11.6,9.44,0,,,,,,
20081020:0556,0,0,11.7,9.54,0,,,,,,
20081020:0656,4.13,1.9,11.8,9.64,0,,,,,,
20081020:0756,16.36,10.27,12.23,9.57,0,,,,,,
20081020:0856,28.45,17.56,12.66,9.5,0,,,,,,
20081020:0956,81.62,23.27,13.09,9.43,0,,,,,,
20081020:1056,180.59,26.86,13.48,9.58,0,,,,,,
20081020:1156,116.93,27.93,13.87,9.73,0,,,,,,
20081020:1256,37.1,26.32,14.27,9.88,0,,,,,,
20081020:1356,27.09,22.25,13.53,9,0,,,,,,
20081020:1456,62.83,16.18,12.79,8.12,0,,,,,,
20081020:1556,3.88,8.63,12.05,7.24,0,,,,,,
20081020:1656,28.48,0.1,10.82,6.59,0,,,,,,
20081020:1756,0,-9,9.59,5.94,0,,,,,,
20081020:1856,0,0,8.36,5.3,0,,,,,,
20081020:1956,0,0,8.14,5.37,0,,,,,,
20081020:2056,0,0,7.92,5.45,0,,,,,,
20081020:2156,0,0,7.7,5.53,0,,,,,,
20081020:2256,0,0,7.88,5.76,0,,,,,,
20081020:2356,0,0,8.06,5.98,0,,,,,,
20081021:0056,0,0,8.24,6.21,0,,,,,,
20081021:0156,0,0,8.01,6.14,0,,,,,,
20081021:0256,0,0,7.79,6.07,0,,,,,,
20081021:0356,0,0,7.56,6,0,,,,,,
20081021:0456,0,0,7.15,5.96,0,,,,,,
20081021:0556,0,0,6.73,5.93,0,,,,,,
20081021:0656,7.14,1.63,6.31,5.89,0,,,,,,
20081021:0756,230.76,9.99,6.78,6,0,,,,,,
20081021:0856,430.24,17.25,7.24,6.12,0,,,,,,
20081021:0956,583.39,22.94,7.7,6.23,0,,,,,,
20081021:1056,671.22,26.52,8.62,6.33,0,,,,,,
20081021:1156,692.48,27.57,9.54,6.43,0,,,,,,
20081021:1256,228.65,25.96,10.47,6.52,0,,,,,,
20081021:1356,434.62,21.91,10.58,6.2,0,,,,,,
20081021:1456,357.17,15.85,10.69,5.88,0,,,,,,
20081021:1556,157.32,8.31,10.8,5.56,0,,,,,,
20081021:1656,0,-0.21,9.49,4.59,0,,,,,,
20081021:1756,0,0,8.17,3.63,0,,,,,,
20081021:1856,0,0,6.86,2.66,0,,,,,,
20081021:1956,0,0,6.31,2.79,0,,,,,,
20081021:2056,0,0,5.76,2.92,0,,,,,,
20081021:2156,0,0,5.22,3.05,0,,,,,,
20081021:2256,0,0,5.1,3.1,0,,,,,,
20081021:2356,0,0,4.97,3.16,0,,,,,,
20081022:0056,0,0,4.85,3.21,0,,,,,,
20081022:0156,0,0,4.71,3.4,0,,,,,,
20081022:0256,0,0,4.57,3.58,0,,,,,,
20081022:0356,0,0,4.43,3.77,0,,,,,,
20081022:0456,0,0,4.48,3.77,0,,,,,,
20081022:0556,0,0,4.53,3.77,0,,,,,,
20081022:0656,5.07,1.37,4.57,3.78,0,,,,,,
20081022:0756,215.71,9.7,5.65,4.29,0,,,,,,
20081022:0856,411.49,16.95,6.72,4.79,0,,,,,,
20081022:0956,561.9,22.61,7.8,5.3,0,,,,,,
20081022:1056,653.52,26.17,8.92,5.55,0,,,,,,
20081022:1156,408.64,27.21,10.04,5.8,0,,,,,,
20081022:1256,624.79,25.61,11.16,6.06,0,,,,,,
20081022:1356,401.65,21.56,11.26,5.43,0,,,,,,
20081022:1456,345.82,15.52,11.36,4.8,0,,,,,,
20081022:1556,147.97,8,11.46,4.17,0,,,,,,
20081022:1656,0,-0.52,9.91,3.58,0,,,,,,
20081022:1756,0,0,8.36,3,0,,,,,,
20081022:1856,0,0,6.81,2.41,0,,,,,,
20081022:1956,0,0,6.41,2.53,0,,,,,,
20081022:2056,0,0,6.02,2.65,0,,,,,,
20081022:2156,0,0,5.63,2.77,0,,,,,,
20081022:2256,0,0,6.08,3.2,0,,,,,,
20081022:2356,0,0,6.54,3.63,0,,,,,,
20081023:0056,0,0,6.99,4.06,0,,,,,,
20081023:0156,0,0,7.49,4.54,0,,,,,,
20081023:0256,0,0,8,5.03,0,,,,,,
20081023:0356,0,0,8.5,5.52,0,,,,,,
20081023:0456,0,0,8.69,5.85,0,,,,,,
20081023:0556,0,0,8.87,6.19,0,,,,,,
20081023:0656,40.94,1.1,9.05,6.52,0,,,,,,
20081023:0756,34.99,9.42,9.57,7.03,0,,,,,,
20081023:0856,145.09,16.65,10.09,7.54,0,,,,,,
20081023:0956,357.96,22.29,10.61,8.04,0,,,,,,
20081023:1056,214.49,25.83,11.27,8.84,0,,,,,,
20081023:1156,104.59,26.86,11.93,9.63,0,,,,,,
20081023:1256,53.27,25.26,12.6,10.43,0,,,,,,
20081023:1356,72.88,21.22,12.54,10.46,0,,,,,,
20081023:1456,70.79,15.19,12.49,10.49,0,,,,,,
20081023:1556,4.66,7.68,12.44,10.52,0,,,,,,
20081023:1656,0,-0.81,11.79,10.34,0,,,,,,
20081023:1756,0,0,11.14,10.15,0,,,,,,
20081023:1856,0,0,10.49,9.96,0,,,,,,
20081023:1956,0,0,10.42,9.88,0,,,,,,
20081023:2056,0,0,10.35,9.79,0,,,,,,
20081023:2156,0,0,10.29,9.71,0,,,,,,
20081023:2256,0,0,10.61,9.39,0,,,,,,
20081023:2356,0,0,10.92,9.08,0,,,,,,
20081024:0056,0,0,11.24,8.76,0,,,,,,
20081024:0156,0,0,11.33,8.07,0,,,,,,
20081024:0256,0,0,11.42,7.39,0,,,,,,
20081024:0356,0,0,11.51,6.7,0,,,,,,
20081024:0456,0,0,11.06,5.85,0,,,,,,
20081024:0556,0,0,10.6,4.99,0,,,,,,
20081024:0656,1.52,0.83,10.14,4.14,0,,,,,,
20081024:0756,4.32,9.14,9.7,4.18,0,,,,,,
20081024:0856,219.13,16.34,9.26,4.23,0,,,,,,
20081024:0956,154.62,21.96,8.81,4.28,0,,,,,,
20081024:1056,439.57,25.48,9.31,4.53,0,,,,,,
20081024:1156,485.47,26.51,9.81,4.79,0,,,,,,
20081024:1256,594.63,24.91,10.31,5.05,0,,,,,,
20081024:1356,511.79,20.88,10.78,4.78,0,,,,,,
20081024:1456,341.7,14.87,11.26,4.51,0,,,,,,
20081024:1556,140.75,7.38,11.74,4.23,0,,,,,,
20081024:1656,0,-1.11,10.28,3.69,0,,,,,,
20081024:1756,0,0,8.82,3.14,0,,,,,,
20081024:1856,0,0,7.36,2.59,0,,,,,,
20081024:1956,0,0,6.63,2.54,0,,,,,,
20081024:2056,0,0,5.9,2.48,0,,,,,,
20081024:2156,0,0,5.17,2.43,0,,,,,,
20081024:2256,0,0,4.93,2.4,0,,,,,,
20081024:2356,0,0,4.7,2.36,0,,,,,,
20081025:0056,0,0,4.46,2.33,0,,,,,,
20081025:0156,0,0,4.23,2.43,0,,,,,,
20081025:0256,0,0,4,2.52,0,,,,,,
20081025:0356,0,0,3.77,2.62,0,,,,,,
20081025:0456,0,0,3.94,3.02,0,,,,,,
20081025:0556,0,0,4.11,3.42,0,,,,,,
20081025:0656,41.7,0.57,4.27,3.82,0,,,,,,
20081025:0756,77.67,8.85,5.4,4.63,0,,,,,,
20081025:0856,205.67,16.04,6.53,5.43,0,,,,,,
20081025:0956,398.64,21.64,7.65,6.23,0,,,,,,
20081025:1056,135.87,25.14,8.93,6.75,0,,,,,,
20081025:1156,140.98,26.16,10.21,7.27,0,,,,,,
20081025:1256,115.98,24.56,11.49,7.79,0,,,,,,
20081025:1356,31.42,20.55,11.83,8.03,0,,,,,,
20081025:1456,47.88,14.55,12.18,8.26,0,,,,,,
20081025:1556,26.05,7.08,12.52,8.5,0,,,,,,
20081025:1656,0,-1.4,12.12,8.53,0,,,,,,
20081025:1756,0,0,11.73,8.57,0,,,,,,
20081025:1856,0,0,11.33,8.61,0,,,,,,
20081025:1956,0,0,11.2,8.7,0,,,,,,
20081025:2056,0,0,11.08,8.79,0,,,,,,
20081025:2156,0,0,10.96,8.88,0,,,,,,
20081025:2256,0,0,11.26,9,0,,,,,,
20081025:2356,0,0,11.55,9.11,0,,,,,,
20081026:0056,0,0,11.85,9.23,0,,,,,,
20081026:0156,0,0,12.13,9.15,0,,,,,,
20081026:0256,0,0,12.41,9.07,0,,,,,,
20081026:0356,0,0,12.69,8.99,0,,,,,,
20081026:0456,0,0,12.73,8.97,0,,,,,,
20081026:0556,0,0,12.77,8.95,0,,,,,,
20081026:0656,26.53,0.3,12.81,8.92,0,,,,,,
20081026:0756,3.93,8.57,12.49,8.26,0,,,,,,
20081026:0856,8.4,15.74,12.17,7.59,0,,,,,,
20081026:0956,47,21.32,11.85,6.92,0,,,,,,
20081026:1056,112.16,24.81,11.64,6.64,0,,,,,,
20081026:1156,63.17,25.82,11.43,6.35,0,,,,,,
20081026:1256,152.54,24.22,11.22,6.07,0,,,,,,
20081026:1356,90.75,20.22,11.54,5.82,0,,,,,,
20081026:1456,27.68,14.24,11.86,5.57,0,,,,,,
20081026:1556,121.6,6.78,12.18,5.32,0,,,,,,
20081026:1656,0,-1.69,11.33,5.26,0,,,,,,
20081026:1756,0,0,10.49,5.2,0,,,,,,
20081026:1856,0,0,9.64,5.14,0,,,,,,
20081026:1956,0,0,8.91,4.91,0,,,,,,
20081026:2056,0,0,8.18,4.68,0,,,,,,
20081026:2156,0,0,7.46,4.44,0,,,,,,
20081026:2256,0,0,7.31,4.37,0,,,,,,
20081026:2356,0,0,7.17,4.3,0,,,,,,
20081027:0056,0,0,7.02,4.23,0,,,,,,
20081027:0156,0,0,6.56,4.17,0,,,,,,
20081027:0256,0,0,6.09,4.11,0,,,,,,
20081027:0356,0,0,5.63,4.06,0,,,,,,
20081027:0456,0,0,5.27,3.84,0,,,,,,
20081027:0556,0,0,4.91,3.63,0,,,,,,
20081027:0656,45.96,0.03,4.54,3.42,0,,,,,,
20081027:0756,191.03,8.29,5.01,3.71,0,,,,,,
20081027:0856,389.63,15.44,5.48,4.01,0,,,,,,
20081027:0956,541.22,21,5.95,4.3,0,,,,,,
20081027:1056,632.13,24.47,6.71,4.4,0,,,,,,
20081027:1156,652.64,25.48,7.47,4.5,0,,,,,,
20081027:1256,509.07,23.88,8.24,4.59,0,,,,,,
20081027:1356,286.61,19.89,7.91,4.59,0,,,,,,
20081027:1456,240.6,13.93,7.59,4.59,0,,,,,,
20081027:1556,119.62,6.48,7.26,4.59,0,,,,,,
20081027:1656,0,-1.97,6.34,4.16,0,,,,,,
20081027:1756,0,0,5.41,3.72,0,,,,,,
20081027:1856,0,0,4.49,3.28,0,,,,,,
20081027:1956,0,0,3.93,3.32,0,,,,,,
20081027:2056,0,0,3.38,3.36,0,,,,,,
20081027:2156,0,0,2.83,3.39,0,,,,,,
20081027:2256,0,0,2.76,3.35,0,,,,,,
20081027:2356,0,0,2.7,3.31,0,,,,,,
20081028:0056,0,0,2.63,3.27,0,,,,,,
20081028:0156,0,0,2.34,3.17,0,,,,,,
20081028:0256,0,0,2.06,3.07,0,,,,,,
20081028:0356,0,0,1.77,2.97,0,,,,,,
20081028:0456,0,0,1.83,2.94,0,,,,,,
20081028:0556,0,0,1.89,2.92,0,,,,,,
20081028:0656,0,-0.23,1.95,2.9,0,,,,,,
20081028:0756,184.48,8.01,2.65,3.07,0,,,,,,
20081028:0856,383,15.14,3.35,3.25,0,,,,,,
20081028:0956,534.47,20.68,4.05,3.42,0,,,,,,
20081028:1056,623.73,24.14,4.58,3.8,0,,,,,,
20081028:1156,644.08,25.14,5.1,4.17,0,,,,,,
20081028:1256,199.74,23.55,5.63,4.55,0,,,,,,
20081028:1356,45.3,19.57,5.6,3.82,0,,,,,,
20081028:1456,7.09,13.62,5.58,3.09,0,,,,,,
20081028:1556,16.27,6.19,5.56,2.36,0,,,,,,
20081028:1656,0,-2.25,4.57,2.69,0,,,,,,
20081028:1756,0,0,3.58,3.01,0,,,,,,
20081028:1856,0,0,2.59,3.34,0,,,,,,
20081028:1956,0,0,2.06,4.15,0,,,,,,
20081028:2056,0,0,1.53,4.97,0,,,,,,
20081028:2156,0,0,1.01,5.78,0,,,,,,
20081028:2256,0,0,0.62,5.52,0,,,,,,
20081028:2356,0,0,0.23,5.26,0,,,,,,
20081029:0056,0,0,-0.16,5.01,0,,,,,,
20081029:0156,0,0,-0.4,4.69,0,,,,,,
20081029:0256,0,0,-0.64,4.37,0,,,,,,
20081029:0356,0,0,-0.88,4.06,0,,,,,,
20081029:0456,0,0,-1.39,3.65,0,,,,,,
20081029:0556,0,0,-1.91,3.25,0,,,,,,
20081029:0656,0,-0.49,-2.43,2.84,0,,,,,,
20081029:0756,326.28,7.74,-1.68,2.94,0,,,,,,
20081029:0856,394.18,14.85,-0.94,3.03,0,,,,,,
20081029:0956,549.08,20.37,-0.19,3.13,0,,,,,,
20081029:1056,641.21,23.81,1.38,2.85,0,,,,,,
20081029:1156,661.86,24.8,2.95,2.57,0,,,,,,
20081029:1256,610.08,23.22,4.52,2.29,0,,,,,,
20081029:1356,121.12,19.26,4.67,2.46,0,,,,,,
20081029:1456,92.17,13.32,4.83,2.63,0,,,,,,
20081029:1556,312.07,5.91,4.98,2.8,0,,,,,,
20081029:1656,0,-2.52,4.19,2.77,0,,,,,,
20081029:1756,0,0,3.39,2.74,0,,,,,,
20081029:1856,0,0,2.6,2.7,0,,,,,,
20081029:1956,0,0,2.24,3.01,0,,,,,,
20081029:2056,0,0,1.89,3.32,0,,,,,,
20081029:2156,0,0,1.54,3.63,0,,,,,,
20081029:2256,0,0,1.65,3.99,0,,,,,,
20081029:2356,0,0,1.76,4.35,0,,,,,,
20081030:0056,0,0,1.87,4.72,0,,,,,,
20081030:0156,0,0,2.12,4.66,0,,,,,,
20081030:0256,0,0,2.36,4.61,0,,,,,,
20081030:0356,0,0,2.61,4.55,0,,,,,,
20081030:0456,0,0,2.68,4.6,0,,,,,,
20081030:0556,0,0,2.75,4.65,0,,,,,,
20081030:0656,0,-0.76,2.81,4.7,0,,,,,,
20081030:0756,159.83,7.46,3.02,5.02,0,,,,,,
20081030:0856,33.07,14.55,3.22,5.34,0,,,,,,
20081030:0956,37.44,20.06,3.43,5.66,0,,,,,,
20081030:1056,157.95,23.49,3.98,5.94,0,,,,,,
20081030:1156,290.47,24.47,4.53,6.23,0,,,,,,
20081030:1256,389.9,22.9,5.08,6.51,0,,,,,,
20081030:1356,396.62,18.94,5.25,6.39,0,,,,,,
20081030:1456,225.07,13.03,5.43,6.26,0,,,,,,
20081030:1556,142.67,5.63,5.61,6.14,0,,,,,,
20081030:1656,0,-2.79,4.96,5.99,0,,,,,,
20081030:1756,0,0,4.3,5.83,0,,,,,,
20081030:1856,0,0,3.65,5.68,0,,,,,,
20081030:1956,0,0,3.47,5.75,0,,,,,,
20081030:2056,0,0,3.29,5.82,0,,,,,,
20081030:2156,0,0,3.11,5.89,0,,,,,,
20081030:2256,0,0,3.12,5.89,0,,,,,,
20081030:2356,0,0,3.13,5.89,0,,,,,,
20081031:0056,0,0,3.14,5.89,0,,,,,,
20081031:0156,0,0,2.74,5.77,0,,,,,,
20081031:0256,0,0,2.34,5.65,0,,,,,,
20081031:0356,0,0,1.94,5.53,0,,,,,,
20081031:0456,0,0,1.71,5.5,0,,,,,,
20081031:0556,0,0,1.48,5.47,0,,,,,,
20081031:0656,0,-1.02,1.25,5.43,0,,,,,,
20081031:0756,269.2,7.18,1.78,5.63,0,,,,,,
20081031:0856,371.71,14.26,2.3,5.82,0,,,,,,
20081031:0956,524.58,19.75,2.82,6.01,0,,,,,,
20081031:1056,611.6,23.16,3.87,6.1,0,,,,,,
20081031:1156,212.69,24.15,4.91,6.18,0,,,,,,
20081031:1256,304.52,22.57,5.96,6.26,0,,,,,,
20081031:1356,234.08,18.63,6.07,5.88,0,,,,,,
20081031:1456,235.68,12.73,6.19,5.5,0,,,,,,
20081031:1556,229.25,5.35,6.31,5.12,0,,,,,,
20081031:1656,0,-3.05,5.31,4.63,0,,,,,,
20081031:1756,0,0,4.32,4.14,0,,,,,,
20081031:1856,0,0,3.32,3.66,0,,,,,,
20081031:1956,0,0,2.68,3.55,0,,,,,,
20081031:2056,0,0,2.05,3.44,0,,,,,,
20081031:2156,0,0,1.42,3.34,0,,,,,,
20081031:2256,0,0,1.28,3.5,0,,,,,,
20081031:2356,0,0,1.14,3.66,0,,,,,,
20081101:0056,0,0,1,3.82,0,,,,,,
20081101:0156,0,0,0.93,4.06,0,,,,,,
20081101:0256,0,0,0.86,4.3,0,,,,,,
20081101:0356,0,0,0.79,4.54,0,,,,,,
20081101:0456,0,0,1.14,4.95,0,,,,,,
20081101:0556,0,0,1.49,5.37,0,,,,,,
20081101:0656,0,-1.28,1.84,5.78,0,,,,,,
20081101:0756,34.01,6.91,2.77,6.19,0,,,,,,
20081101:0856,158.65,13.97,3.7,6.6,0,,,,,,
20081101:0956,72.45,19.44,4.63,7.01,0,,,,,,
20081101:1056,19.47,22.84,5.83,7.8,0,,,,,,
20081101:1156,71.28,23.82,7.02,8.59,0,,,,,,
20081101:1256,14.08,22.26,8.22,9.38,0,,,,,,
20081101:1356,10.59,18.33,7.84,9.27,0,,,,,,
20081101:1456,6.17,12.45,7.46,9.16,0,,,,,,
20081101:1556,32.43,5.08,7.07,9.05,0,,,,,,
20081101:1656,0,-3.31,6.84,8.94,0,,,,,,
20081101:1756,0,0,6.61,8.83,0,,,,,,
20081101:1856,0,0,6.38,8.72,0,,,,,,
20081101:1956,0,0,6.37,8.34,0,,,,,,
20081101:2056,0,0,6.36,7.97,0,,,,,,
20081101:2156,0,0,6.35,7.6,0,,,,,,
20081101:2256,0,0,6.51,6.84,0,,,,,,
20081101:2356,0,0,6.68,6.07,0,,,,,,
20081102:0056,0,0,6.85,5.31,0,,,,,,
20081102:0156,0,0,6.81,5.18,0,,,,,,
20081102:0256,0,0,6.77,5.05,0,,,,,,
20081102:0356,0,0,6.73,4.92,0,,,,,,
20081102:0456,0,0,6.63,4.94,0,,,,,,
20081102:0556,0,0,6.53,4.95,0,,,,,,
20081102:0656,0,-1.54,6.43,4.97,0,,,,,,
20081102:0756,42.63,6.64,6.71,4.87,0,,,,,,
20081102:0856,50.4,13.68,6.98,4.77,0,,,,,,
20081102:0956,78.18,19.13,7.26,4.68,0,,,,,,
20081102:1056,67.01,22.53,7.68,4.48,0,,,,,,
20081102:1156,70.02,23.5,8.1,4.28,0,,,,,,
20081102:1256,80.22,21.94,8.52,4.08,0,,,,,,
20081102:1356,47.78,18.03,8.47,4.08,0,,,,,,
20081102:1456,36.76,12.16,8.42,4.07,0,,,,,,
20081102:1556,41.13,4.82,8.36,4.07,0,,,,,,
20081102:1656,0,-3.56,8.03,3.83,0,,,,,,
20081102:1756,0,0,7.7,3.6,0,,,,,,
20081102:1856,0,0,7.36,3.37,0,,,,,,
20081102:1956,0,0,7.22,3.37,0,,,,,,
20081102:2056,0,0,7.07,3.37,0,,,,,,
20081102:2156,0,0,6.93,3.37,0,,,,,,
20081102:2256,0,0,6.98,3.6,0,,,,,,
20081102:2356,0,0,7.03,3.83,0,,,,,,
20081103:0056,0,0,7.09,4.06,0,,,,,,
20081103:0156,0,0,7.03,4.44,0,,,,,,
20081103:0256,0,0,6.96,4.83,0,,,,,,
20081103:0356,0,0,6.9,5.21,0,,,,,,
20081103:0456,0,0,6.82,5.62,0,,,,,,
20081103:0556,0,0,6.75,6.03,0,,,,,,
20081103:0656,0,-1.8,6.68,6.44,0,,,,,,
20081103:0756,77.71,6.36,6.98,6.71,0,,,,,,
20081103:0856,93.31,13.39,7.28,6.98,0,,,,,,
20081103:0956,138.73,18.83,7.58,7.26,0,,,,,,
20081103:1056,195.21,22.21,8.18,7.74,0,,,,,,
20081103:1156,139.34,23.19,8.78,8.22,0,,,,,,
20081103:1256,85.61,21.63,9.38,8.7,0,,,,,,
20081103:1356,66.52,17.74,9.48,8.09,0,,,,,,
20081103:1456,58.44,11.89,9.58,7.47,0,,,,,,
20081103:1556,73.08,4.56,9.68,6.86,0,,,,,,
20081103:1656,0,-3.81,9.32,6.49,0,,,,,,
20081103:1756,0,0,8.97,6.12,0,,,,,,
20081103:1856,0,0,8.62,5.75,0,,,,,,
20081103:1956,0,0,8.47,5.36,0,,,,,,
20081103:2056,0,0,8.32,4.97,0,,,,,,
20081103:2156,0,0,8.18,4.58,0,,,,,,
20081103:2256,0,0,8.22,4.27,0,,,,,,
20081103:2356,0,0,8.27,3.95,0,,,,,,
20081104:0056,0,0,8.32,3.64,0,,,,,,
20081104:0156,0,0,8.24,3.43,0,,,,,,
20081104:0256,0,0,8.16,3.22,0,,,,,,
20081104:0356,0,0,8.09,3.01,0,,,,,,
20081104:0456,0,0,7.99,2.89,0,,,,,,
20081104:0556,0,0,7.9,2.78,0,,,,,,
20081104:0656,0,-2.05,7.8,2.66,0,,,,,,
20081104:0756,54.28,6.09,8.03,2.63,0,,,,,,
20081104:0856,108.68,13.11,8.25,2.61,0,,,,,,
20081104:0956,69.29,18.53,8.48,2.58,0,,,,,,
20081104:1056,84.64,21.91,9.21,2.79,0,,,,,,
20081104:1156,100.37,22.88,9.95,3,0,,,,,,
20081104:1256,88.23,21.33,10.68,3.21,0,,,,,,
20081104:1356,61.33,17.45,10.8,3.1,0,,,,,,
