"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20150330:1556,72.72,23.19,7.77,6.86,0,,,20150330:2356,0
20150330:1656,7.19,14.43,7.45,6.78,0,,,20150331:0056,0
20150330:1756,12.42,5.23,7.12,6.7,0,,,20150331:0156,0
20150330:1856,0,0,6.8,6.62,0,,,20150331:0256,0
20150330:1956,0,0,7.58,7.49,0,,,20150331:0356,0
20150330:2056,0,0,8.35,8.35,0,,,20150331:0456,0
20150330:2156,0,0,9.13,9.21,0,,,20150331:0556,4.805
20150330:2256,0,0,9.27,10.12,0,,,20150331:0656,131.075
20150330:2356,0,0,9.41,11.03,0,,,20150331:0756,431.56
20150331:0056,0,0,9.56,11.93,0,,,20150331:0856,665.8
20150331:0156,0,0,9.03,11.45,0,,,20150331:0956,491.225
20150331:0256,0,0,8.51,10.97,0,,,20150331:1056,789.87
20150331:0356,0,0,7.98,10.48,0,,,20150331:1156,858.245
20150331:0456,0,0,7.57,10.39,0,,,20150331:1256,753.265
20150331:0556,3.98,1.06,7.15,10.29,0,,,20150331:1356,446.295
20150331:0656,71.8,10.33,6.74,10.19,0,,,20150331:1456,383.795
20150331:0756,426.89,19.36,7.11,10.31,0,,,20150331:1556,382.835
20150331:0856,660.77,27.72,7.48,10.42,0,,,20150331:1656,172.715
20150331:0956,639.24,34.82,7.85,10.54,0,,,20150331:1756,29.595
20150331:1056,935.27,39.93,8.27,10.7,0,,,20150331:1856,0
20150331:1156,942.12,42.28,8.69,10.86,0,,,20150331:1956,0
20150331:1256,513.71,41.44,9.11,11.02,0,,,20150331:2056,0
20150331:1356,394.37,37.56,8.84,10.96,0,,,20150331:2156,0
20150331:1456,262.2,31.31,8.57,10.9,0,,,20150331:2256,0
20150331:1556,469.32,23.47,8.3,10.84,0,,,20150331:2356,0
20150331:1656,133.86,14.69,7.62,9.97,0,,,20150401:0056,0
20150331:1756,30.65,5.48,6.94,9.09,0,,,20150401:0156,0
20150331:1856,0,0,6.26,8.22,0,,,20150401:0256,0
20150331:1956,0,0,5.51,8.14,0,,,20150401:0356,0
20150331:2056,0,0,4.77,8.06,0,,,20150401:0456,0
20150331:2156,0,0,4.02,7.99,0,,,20150401:0556,7.135
20150331:2256,0,0,3.81,7.86,0,,,20150401:0656,116.55
20150331:2356,0,0,3.6,7.74,0,,,20150401:0756,398.365
20150401:0056,0,0,3.39,7.61,0,,,20150401:0856,608.085
20150401:0156,0,0,3.27,7.34,0,,,20150401:0956,609.235
20150401:0256,0,0,3.14,7.06,0,,,20150401:1056,373.53
20150401:0356,0,0,3.02,6.79,0,,,20150401:1156,342.15
20150401:0456,0,0,2.94,6.36,0,,,20150401:1256,361.915
20150401:0556,6.27,1.42,2.87,5.93,0,,,20150401:1356,199.68
20150401:0656,172.67,10.68,2.79,5.5,0,,,20150401:1456,372.685
20150401:0756,442.32,19.72,3.83,6.04,0,,,20150401:1556,204.29
20150401:0856,648.97,28.09,4.87,6.58,0,,,20150401:1656,57.27
20150401:0956,434.94,35.21,5.91,7.12,0,,,20150401:1756,29.855
20150401:1056,255.12,40.32,6.51,7.31,0,,,20150401:1856,0
20150401:1156,326.14,42.67,7.12,7.51,0,,,20150401:1956,0
20150401:1256,375.56,41.8,7.72,7.71,0,,,20150401:2056,0
20150401:1356,170.71,37.89,7.78,7.75,0,,,20150401:2156,0
20150401:1456,176.08,31.61,7.83,7.79,0,,,20150401:2256,0
20150401:1556,168.72,23.75,7.88,7.83,0,,,20150401:2356,0
20150401:1656,94.62,14.95,7.58,7.15,0,,,20150402:0056,0
20150401:1756,30.95,5.74,7.28,6.47,0,,,20150402:0156,0
20150401:1856,0,0,6.97,5.79,0,,,20150402:0256,0
20150401:1956,0,0,6.8,5.62,0,,,20150402:0356,0
20150401:2056,0,0,6.63,5.45,0,,,20150402:0456,0
20150401:2156,0,0,6.46,5.28,0,,,20150402:0556,3.98
20150401:2256,0,0,6.95,6.19,0,,,20150402:0656,27.97
20150401:2356,0,0,7.44,7.1,0,,,20150402:0756,173.215
20150402:0056,0,0,7.93,8.01,0,,,20150402:0856,170.135
20150402:0156,0,0,7.8,7.33,0,,,20150402:0956,527.475
20150402:0256,0,0,7.67,6.65,0,,,20150402:1056,681.04
20150402:0356,0,0,7.55,5.97,0,,,20150402:1156,742.695
20150402:0456,0,0,7.07,5.26,0,,,20150402:1256,739.445
20150402:0556,2.79,1.77,6.59,4.56,0,,,20150402:1356,629.79
20150402:0656,20.42,11.03,6.11,3.85,0,,,20150402:1456,519.925
20150402:0756,231.74,20.08,5.8,3.56,0,,,20150402:1556,112.38
20150402:0856,195.44,28.46,5.49,3.28,0,,,20150402:1656,51.34
20150402:0956,361.55,35.59,5.18,2.99,0,,,20150402:1756,27.315
20150402:1056,350.2,40.72,5.93,2.1,0,,,20150402:1856,0
20150402:1156,428.71,43.06,6.68,1.2,0,,,20150402:1956,0
20150402:1256,459.56,42.17,7.43,0.3,0,,,20150402:2056,0
20150402:1356,369.92,38.23,7.52,0.64,0,,,20150402:2156,0
20150402:1456,346.78,31.91,7.61,0.98,0,,,20150402:2256,0
20150402:1556,149.9,24.02,7.7,1.32,0,,,20150402:2356,0
20150402:1656,94.54,15.21,7.46,1.3,0,,,20150403:0056,0
20150402:1756,33.38,5.99,7.22,1.27,0,,,20150403:0156,0
20150402:1856,0,0,6.98,1.24,0,,,20150403:0256,0
20150402:1956,0,0,6.57,1.73,0,,,20150403:0356,0
20150402:2056,0,0,6.16,2.23,0,,,20150403:0456,0
20150402:2156,0,0,5.74,2.72,0,,,20150403:0556,11.415
20150402:2256,0,0,5.89,3.08,0,,,20150403:0656,45.16
20150402:2356,0,0,6.04,3.43,0,,,20150403:0756,281.68
20150403:0056,0,0,6.19,3.79,0,,,20150403:0856,400.565
20150403:0156,0,0,6.42,3.64,0,,,20150403:0956,414.715
20150403:0256,0,0,6.66,3.49,0,,,20150403:1056,423.59
20150403:0356,0,0,6.9,3.34,0,,,20150403:1156,423.545
20150403:0456,0,0,6.96,3.05,0,,,20150403:1256,210.89
20150403:0556,10.23,2.12,7.03,2.77,0,,,20150403:1356,268.87
20150403:0656,5.41,11.38,7.1,2.48,0,,,20150403:1456,161.91
20150403:0756,113.71,20.44,7.13,2.71,0,,,20150403:1556,93.35
20150403:0856,133.39,28.83,7.16,2.93,0,,,20150403:1656,48.34
20150403:0956,221.02,35.97,7.19,3.16,0,,,20150403:1756,35.315
20150403:1056,264.9,41.11,7.68,2.57,0,,,20150403:1856,0
20150403:1156,183.83,43.45,8.18,1.97,0,,,20150403:1956,0
20150403:1256,223.96,42.54,8.67,1.38,0,,,20150403:2056,0
20150403:1356,165.99,38.56,9.28,1.34,0,,,20150403:2156,0
20150403:1456,121.43,32.21,9.9,1.3,0,,,20150403:2256,0
20150403:1556,84.46,24.29,10.51,1.26,0,,,20150403:2356,0
20150403:1656,8.14,15.47,10,1.61,0,,,20150404:0056,0
20150403:1756,38.3,6.25,9.48,1.97,0,,,20150404:0156,0
20150403:1856,0,0,8.96,2.33,0,,,20150404:0256,0
20150403:1956,0,0,8.54,2.8,0,,,20150404:0356,0
20150403:2056,0,0,8.12,3.28,0,,,20150404:0456,0
20150403:2156,0,0,7.7,3.75,0,,,20150404:0556,8.775
20150403:2256,0,0,7.48,4.22,0,,,20150404:0656,43.325
20150403:2356,0,0,7.26,4.69,0,,,20150404:0756,206.53
20150404:0056,0,0,7.04,5.16,0,,,20150404:0856,236.855
20150404:0156,0,0,6.58,5.13,0,,,20150404:0956,292.4
20150404:0256,0,0,6.13,5.09,0,,,20150404:1056,141.99
20150404:0356,0,0,5.68,5.06,0,,,20150404:1156,260.995
20150404:0456,0,0,5.74,4.85,0,,,20150404:1256,113.605
20150404:0556,1.14,2.47,5.8,4.63,0,,,20150404:1356,371.56
20150404:0656,38.2,11.73,5.86,4.41,0,,,20150404:1456,152.43
20150404:0756,93.38,20.79,6.3,5.18,0,,,20150404:1556,135.78
20150404:0856,362.83,29.2,6.75,5.95,0,,,20150404:1656,135.24
20150404:0956,196.85,36.35,7.19,6.72,0,,,20150404:1756,38.825
20150404:1056,140.67,41.5,8.1,6.33,0,,,20150404:1856,0
20150404:1156,212.32,43.83,9.01,5.94,0,,,20150404:1956,0
20150404:1256,152.49,42.9,9.92,5.56,0,,,20150404:2056,0
20150404:1356,240.93,38.89,9.94,5.1,0,,,20150404:2156,0
20150404:1456,142.02,32.51,9.96,4.65,0,,,20150404:2256,0
20150404:1556,123.5,24.56,9.97,4.19,0,,,20150404:2356,0
20150404:1656,69.91,15.72,9.52,3.4,0,,,20150405:0056,0
20150404:1756,38.93,6.5,9.06,2.61,0,,,20150405:0156,0
20150404:1856,0,0,8.61,1.82,0,,,20150405:0256,0
20150404:1956,0,0,7.01,1.61,0,,,20150405:0356,0
20150404:2056,0,0,5.41,1.41,0,,,20150405:0456,0
20150404:2156,0,0,3.81,1.2,0,,,20150405:0556,4.765
20150404:2256,0,0,3.9,1.47,0,,,20150405:0656,126.96
20150404:2356,0,0,3.99,1.73,0,,,20150405:0756,308.985
20150405:0056,0,0,4.08,2,0,,,20150405:0856,514.225
20150405:0156,0,0,4.29,1.91,0,,,20150405:0956,612.805
20150405:0256,0,0,4.5,1.82,0,,,20150405:1056,343.54
20150405:0356,0,0,4.72,1.72,0,,,20150405:1156,711.85
20150405:0456,0,0,4.97,1.78,0,,,20150405:1256,604.85
20150405:0556,8.07,2.81,5.23,1.83,0,,,20150405:1356,490.12
20150405:0656,62.57,12.07,5.48,1.89,0,,,20150405:1456,412.375
20150405:0756,360.17,21.14,6.35,1.87,0,,,20150405:1556,283.015
20150405:0856,328.88,29.56,7.23,1.84,0,,,20150405:1656,211.185
20150405:0956,358.41,36.73,8.1,1.82,0,,,20150405:1756,41.02
20150405:1056,212.1,41.88,9.14,2.44,0,,,20150405:1856,0
20150405:1156,513.45,44.22,10.18,3.05,0,,,20150405:1956,0
20150405:1256,316.79,43.26,11.22,3.67,0,,,20150405:2056,0
20150405:1356,83.77,39.22,11.48,3.65,0,,,20150405:2156,0
20150405:1456,128.94,32.8,11.73,3.63,0,,,20150405:2256,0
20150405:1556,116.67,24.83,11.98,3.61,0,,,20150405:2356,0
20150405:1656,190.74,15.98,11.48,3.04,0,,,20150406:0056,0
20150405:1756,40.3,6.75,10.97,2.46,0,,,20150406:0156,0
20150405:1856,0,0,10.46,1.89,0,,,20150406:0256,0
20150405:1956,0,0,8.63,2,0,,,20150406:0356,0
20150405:2056,0,0,6.8,2.11,0,,,20150406:0456,0
20150405:2156,0,0,4.97,2.22,0,,,20150406:0556,14.53
20150405:2256,0,0,4.38,1.86,0,,,20150406:0656,136.975
20150405:2356,0,0,3.8,1.49,0,,,20150406:0756,432.275
20150406:0056,0,0,3.21,1.13,0,,,20150406:0856,675.795
20150406:0156,0,0,2.78,1.5,0,,,20150406:0956,874.99
20150406:0256,0,0,2.35,1.88,0,,,20150406:1056,999
20150406:0356,0,0,1.92,2.25,0,,,20150406:1156,623.915
20150406:0456,0,0,2.22,2.26,0,,,20150406:1256,759.46
20150406:0556,20.28,3.16,2.53,2.28,0,,,20150406:1356,584.68
20150406:0656,218.56,12.42,2.83,2.29,0,,,20150406:1456,669.31
20150406:0756,463.75,21.49,4.72,2.41,0,,,20150406:1556,478.785
20150406:0856,694.57,29.92,6.62,2.54,0,,,20150406:1656,239.505
20150406:0956,879.65,37.1,8.51,2.66,0,,,20150406:1756,41.975
20150406:1056,998.02,42.27,10.06,2.93,0,,,20150406:1856,0
20150406:1156,1040.77,44.6,11.62,3.2,0,,,20150406:1956,0
20150406:1256,1002.87,43.62,13.17,3.46,0,,,20150406:2056,0
20150406:1356,680.14,39.54,13.89,3.88,0,,,20150406:2156,0
20150406:1456,702.07,33.09,14.61,4.29,0,,,20150406:2256,0
20150406:1556,479.09,25.1,15.33,4.7,0,,,20150406:2356,0
20150406:1656,243.11,16.23,14.34,4.05,0,,,20150407:0056,0
20150406:1756,41.68,7,13.35,3.39,0,,,20150407:0156,0
20150406:1856,0,0,12.36,2.73,0,,,20150407:0256,0
20150406:1956,0,0,10.53,2.56,0,,,20150407:0356,0
20150406:2056,0,0,8.71,2.38,0,,,20150407:0456,0
20150406:2156,0,0,6.88,2.21,0,,,20150407:0556,23.925
20150406:2256,0,0,5.9,2.12,0,,,20150407:0656,123.37
20150406:2356,0,0,4.93,2.03,0,,,20150407:0756,347.205
20150407:0056,0,0,3.95,1.94,0,,,20150407:0856,254.19
20150407:0156,0,0,3.65,2.09,0,,,20150407:0956,297.575
20150407:0256,0,0,3.36,2.23,0,,,20150407:1056,385.895
20150407:0356,0,0,3.07,2.37,0,,,20150407:1156,349.61
20150407:0456,0,0,2.86,2.27,0,,,20150407:1256,662.315
20150407:0556,23.01,3.5,2.66,2.17,0,,,20150407:1356,764.98
20150407:0656,174.39,12.76,2.45,2.07,0,,,20150407:1456,546.645
20150407:0756,386.53,21.84,4.4,1.78,0,,,20150407:1556,272.04
20150407:0856,339,30.28,6.36,1.49,0,,,20150407:1656,173.415
20150407:0956,328.96,37.48,8.31,1.2,0,,,20150407:1756,29.53
20150407:1056,381.38,42.65,9.93,1.27,0,,,20150407:1856,0
20150407:1156,470.18,44.98,11.56,1.34,0,,,20150407:1956,0
20150407:1256,1008.3,43.98,13.18,1.41,0,,,20150407:2056,0
20150407:1356,886.88,39.87,14.02,1.41,0,,,20150407:2156,0
20150407:1456,707.88,33.39,14.85,1.41,0,,,20150407:2256,0
20150407:1556,483.82,25.37,15.68,1.41,0,,,20150407:2356,0
20150407:1656,242.81,16.48,15.04,1.37,0,,,20150408:0056,0
20150407:1756,42.6,7.25,14.4,1.33,0,,,20150408:0156,0
20150407:1856,0,0,13.75,1.3,0,,,20150408:0256,0
20150407:1956,0,0,12.9,1.62,0,,,20150408:0356,0
20150407:2056,0,0,12.05,1.95,0,,,20150408:0456,0
20150407:2156,0,0,11.19,2.28,0,,,20150408:0556,26.1
20150407:2256,0,0,10.36,2.39,0,,,20150408:0656,154.045
20150407:2356,0,0,9.52,2.5,0,,,20150408:0756,397.705
20150408:0056,0,0,8.69,2.61,0,,,20150408:0856,510.1
20150408:0156,0,0,7.37,2.48,0,,,20150408:0956,536
20150408:0256,0,0,6.05,2.35,0,,,20150408:1056,633.335
20150408:0356,0,0,4.73,2.22,0,,,20150408:1156,649.775
20150408:0456,0,0,4.33,2.18,0,,,20150408:1256,663.89
20150408:0556,25.28,3.84,3.93,2.14,0,,,20150408:1356,631.145
20150408:0656,134.71,13.1,3.53,2.1,0,,,20150408:1456,487.405
20150408:0756,471.44,22.19,5.94,1.86,0,,,20150408:1556,262.835
20150408:0856,700.87,30.64,8.34,1.62,0,,,20150408:1656,193.7
20150408:0956,884.58,37.85,10.75,1.38,0,,,20150408:1756,46.1
20150408:1056,999.15,43.03,11.85,1.15,0,,,20150408:1856,0
20150408:1156,1040.86,45.36,12.94,0.93,0,,,20150408:1956,0
20150408:1256,1002.45,44.34,14.04,0.7,0,,,20150408:2056,0
20150408:1356,882.28,40.19,14.52,0.75,0,,,20150408:2156,0
20150408:1456,704.19,33.67,14.99,0.8,0,,,20150408:2256,0
20150408:1556,380.3,25.63,15.46,0.86,0,,,20150408:2356,0
20150408:1656,173.63,16.74,14.7,1.03,0,,,20150409:0056,0
20150408:1756,47.19,7.49,13.94,1.2,0,,,20150409:0156,0
20150408:1856,0,0,13.17,1.38,0,,,20150409:0256,0
20150408:1956,0,0,11.73,1.62,0,,,20150409:0356,0
20150408:2056,0,0,10.29,1.86,0,,,20150409:0456,0
20150408:2156,0,0,8.85,2.1,0,,,20150409:0556,27.53
20150408:2256,0,0,7.97,2.12,0,,,20150409:0656,234.21
20150408:2356,0,0,7.1,2.14,0,,,20150409:0756,480.57
20150409:0056,0,0,6.22,2.17,0,,,20150409:0856,710.12
20150409:0156,0,0,5.53,2.11,0,,,20150409:0956,893.61
20150409:0256,0,0,4.85,2.06,0,,,20150409:1056,808.825
20150409:0356,0,0,4.17,2,0,,,20150409:1156,593.745
20150409:0456,0,0,3.92,1.77,0,,,20150409:1256,540.565
20150409:0556,27.49,4.18,3.67,1.53,0,,,20150409:1356,533.065
20150409:0656,228.56,13.44,3.42,1.3,0,,,20150409:1456,626.81
20150409:0756,473.29,22.53,5.42,1.28,0,,,20150409:1556,348.91
20150409:0856,701.41,30.99,7.42,1.27,0,,,20150409:1656,169.595
20150409:0956,883.98,38.22,9.42,1.26,0,,,20150409:1756,45.685
20150409:1056,1003.66,43.41,10.83,1.43,0,,,20150409:1856,0
20150409:1156,1044.91,45.73,12.23,1.6,0,,,20150409:1956,0
20150409:1256,857.1,44.69,13.64,1.78,0,,,20150409:2056,0
20150409:1356,820.38,40.51,14.14,1.61,0,,,20150409:2156,0
20150409:1456,712.69,33.96,14.64,1.44,0,,,20150409:2256,0
20150409:1556,488.32,25.9,15.14,1.27,0,,,20150409:2356,0
20150409:1656,248.9,16.99,14.5,1.28,0,,,20150410:0056,0
20150409:1756,45.13,7.74,13.85,1.29,0,,,20150410:0156,0
20150409:1856,0,0,13.21,1.3,0,,,20150410:0256,0
20150409:1956,0,0,11.39,1.62,0,,,20150410:0356,0
20150409:2056,0,0,9.56,1.94,0,,,20150410:0456,0
20150409:2156,0,0,7.73,2.26,0,,,20150410:0556,30.165
20150409:2256,0,0,7.1,2.34,0,,,20150410:0656,224.64
20150409:2356,0,0,6.46,2.43,0,,,20150410:0756,357.195
20150410:0056,0,0,5.83,2.51,0,,,20150410:0856,709.275
20150410:0156,0,0,5.17,2.52,0,,,20150410:0956,805.135
20150410:0256,0,0,4.51,2.54,0,,,20150410:1056,654.33
20150410:0356,0,0,3.86,2.55,0,,,20150410:1156,443.8
20150410:0456,0,0,3.75,2.33,0,,,20150410:1256,669.395
20150410:0556,28.12,4.51,3.65,2.1,0,,,20150410:1356,826.2
20150410:0656,204.38,13.77,3.55,1.88,0,,,20150410:1456,408.275
20150410:0756,304.16,22.87,6.08,2.39,0,,,20150410:1556,332.315
20150410:0856,708.22,31.34,8.6,2.91,0,,,20150410:1656,202.605
20150410:0956,837.68,38.58,11.13,3.42,0,,,20150410:1756,36.05
20150410:1056,581,43.79,12.99,3.59,0,,,20150410:1856,0
20150410:1156,416.04,46.11,14.84,3.75,0,,,20150410:1956,0
20150410:1256,991.98,45.04,16.7,3.92,0,,,20150410:2056,0
20150410:1356,830.36,40.82,16.98,4.32,0,,,20150410:2156,0
20150410:1456,504.47,34.25,17.26,4.73,0,,,20150410:2256,0
20150410:1556,356.44,26.16,17.54,5.13,0,,,20150410:2356,0
20150410:1656,156.79,17.23,16.38,4.7,0,,,20150411:0056,0
20150410:1756,45.86,7.99,15.21,4.28,0,,,20150411:0156,0
20150410:1856,0,0,14.04,3.85,0,,,20150411:0256,0
20150410:1956,0,0,12.65,4,0,,,20150411:0356,0
20150410:2056,0,0,11.26,4.15,0,,,20150411:0456,0
20150410:2156,0,0,9.86,4.3,0,,,20150411:0556,10.985
20150410:2256,0,0,9.54,4.37,0,,,20150411:0656,13.92
20150410:2356,0,0,9.21,4.43,0,,,20150411:0756,106.385
20150411:0056,0,0,8.89,4.5,0,,,20150411:0856,556.985
20150411:0156,0,0,8.73,4.86,0,,,20150411:0956,473.965
20150411:0256,0,0,8.57,5.21,0,,,20150411:1056,631.855
20150411:0356,0,0,8.42,5.57,0,,,20150411:1156,588.355
20150411:0456,0,0,8.43,5.72,0,,,20150411:1256,580.9
20150411:0556,21.97,4.85,8.44,5.87,0,,,20150411:1356,535.855
20150411:0656,14.92,14.1,8.45,6.01,0,,,20150411:1456,422.09
20150411:0756,66.31,23.21,8.2,6.21,0,,,20150411:1556,183.62
20150411:0856,716.08,31.69,7.94,6.4,0,,,20150411:1656,180.415
20150411:0956,756.03,38.94,7.69,6.59,0,,,20150411:1756,46.025
20150411:1056,1031.35,44.16,8.42,6.62,0,,,20150411:1856,0
20150411:1156,1072.33,46.48,9.14,6.65,0,,,20150411:1956,0
20150411:1256,1032,45.39,9.87,6.68,0,,,20150411:2056,0
20150411:1356,908.76,41.14,10.29,6.62,0,,,20150411:2156,0
20150411:1456,668.14,34.53,10.71,6.56,0,,,20150411:2256,0
20150411:1556,262.77,26.42,11.13,6.5,0,,,20150411:2356,0
20150411:1656,255.96,17.48,10.45,6.1,0,,,20150412:0056,0
20150411:1756,47.67,8.23,9.77,5.7,0,,,20150412:0156,0
20150411:1856,0,0,9.08,5.3,0,,,20150412:0256,0
20150411:1956,0,0,7.99,4.78,0,,,20150412:0356,0
20150411:2056,0,0,6.9,4.27,0,,,20150412:0456,0
20150411:2156,0,0,5.8,3.75,0,,,20150412:0556,31.14
20150411:2256,0,0,5.34,3.41,0,,,20150412:0656,187.93
20150411:2356,0,0,4.89,3.07,0,,,20150412:0756,330.015
20150412:0056,0,0,4.43,2.73,0,,,20150412:0856,565.6
20150412:0156,0,0,4.03,2.7,0,,,20150412:0956,777.705
20150412:0256,0,0,3.64,2.67,0,,,20150412:1056,846.52
20150412:0356,0,0,3.25,2.63,0,,,20150412:1156,580.8
20150412:0456,0,0,3.28,3.02,0,,,20150412:1256,345.585
20150412:0556,26.04,5.18,3.31,3.4,0,,,20150412:1356,415.55
20150412:0656,242.7,14.43,3.34,3.78,0,,,20150412:1456,341.57
20150412:0756,490.74,23.54,5.08,4.86,0,,,20150412:1556,245.38
20150412:0856,719.19,32.04,6.83,5.93,0,,,20150412:1656,141.865
20150412:0956,901.43,39.3,8.57,7.01,0,,,20150412:1756,52.115
20150412:1056,1011.07,44.54,10.09,7.66,0,,,20150412:1856,0
20150412:1156,684.63,46.85,11.61,8.3,0,,,20150412:1956,0
20150412:1256,485.01,45.74,13.13,8.95,0,,,20150412:2056,0
20150412:1356,449.84,41.45,13.35,9.2,0,,,20150412:2156,0
20150412:1456,200.54,34.81,13.58,9.44,0,,,20150412:2256,0
20150412:1556,202.2,26.67,13.8,9.68,0,,,20150412:2356,0
20150412:1656,155.43,17.73,12.93,8.96,0,,,20150413:0056,0
20150412:1756,47.84,8.47,12.05,8.24,0,,,20150413:0156,0
20150412:1856,0,0,11.17,7.52,0,,,20150413:0256,0
20150412:1956,0,0,10.29,6.28,0,,,20150413:0356,0
20150412:2056,0,0,9.41,5.04,0,,,20150413:0456,0
20150412:2156,0,0,8.52,3.81,0,,,20150413:0556,37.69
20150412:2256,0,0,7.86,2.93,0,,,20150413:0656,142.795
20150412:2356,0,0,7.21,2.05,0,,,20150413:0756,346.825
20150413:0056,0,0,6.55,1.17,0,,,20150413:0856,478.845
20150413:0156,0,0,6.05,1.16,0,,,20150413:0956,519.05
20150413:0256,0,0,5.55,1.14,0,,,20150413:1056,621.29
20150413:0356,0,0,5.06,1.13,0,,,20150413:1156,612.35
20150413:0456,0,0,4.88,1.34,0,,,20150413:1256,684.47
20150413:0556,36.76,5.5,4.71,1.55,0,,,20150413:1356,622.29
20150413:0656,93.58,14.76,4.54,1.77,0,,,20150413:1456,488.13
20150413:0756,220.73,23.87,6.05,1.92,0,,,20150413:1556,268.85
20150413:0856,296.4,32.38,7.57,2.07,0,,,20150413:1656,204.105
20150413:0956,243.04,39.66,9.08,2.22,0,,,20150413:1756,52.245
20150413:1056,230,44.9,10.37,2.71,0,,,20150413:1856,0
20150413:1156,174.78,47.22,11.66,3.2,0,,,20150413:1956,0
20150413:1256,356,46.08,12.95,3.68,0,,,20150413:2056,0
20150413:1356,402.3,41.76,13.6,3.88,0,,,20150413:2156,0
20150413:1456,605.46,35.09,14.25,4.07,0,,,20150413:2256,0
20150413:1556,331.91,26.93,14.9,4.26,0,,,20150413:2356,0
20150413:1656,170.16,17.97,14.46,4.09,0,,,20150414:0056,0
20150413:1756,49.27,8.72,14.01,3.92,0,,,20150414:0156,0
20150413:1856,0,0,13.56,3.75,0,,,20150414:0256,0
20150413:1956,0,0,12.18,3.67,0,,,20150414:0356,0
20150413:2056,0,0,10.8,3.6,0,,,20150414:0456,0
20150413:2156,0,0,9.42,3.52,0,,,20150414:0556,30.91
20150413:2256,0,0,8.77,3.54,0,,,20150414:0656,86.275
20150413:2356,0,0,8.12,3.55,0,,,20150414:0756,167.47
20150414:0056,0,0,7.47,3.57,0,,,20150414:0856,430.525
20150414:0156,0,0,7.29,3.46,0,,,20150414:0956,615.18
20150414:0256,0,0,7.12,3.35,0,,,20150414:1056,795.37
20150414:0356,0,0,6.95,3.24,0,,,20150414:1156,655.295
20150414:0456,0,0,6.94,3.25,0,,,20150414:1256,646.185
20150414:0556,45.49,5.83,6.94,3.25,0,,,20150414:1356,861.51
20150414:0656,85.23,15.08,6.94,3.26,0,,,20150414:1456,507.225
20150414:0756,209.41,24.2,8.48,3.61,0,,,20150414:1556,375.3
20150414:0856,466.89,32.72,10.02,3.96,0,,,20150414:1656,202.075
20150414:0956,906.36,40.02,11.56,4.32,0,,,20150414:1756,44.41
20150414:1056,1023.09,45.27,13.1,4.57,0,,,20150414:1856,0
20150414:1156,1062.43,47.58,14.65,4.82,0,,,20150414:1956,0
20150414:1256,1021.71,46.42,16.19,5.08,0,,,20150414:2056,0
20150414:1356,899.4,42.07,16.96,5.14,0,,,20150414:2156,0
20150414:1456,719.75,35.37,17.73,5.21,0,,,20150414:2256,0
20150414:1556,495.77,27.18,18.49,5.28,0,,,20150414:2356,0
20150414:1656,255.47,18.21,17.7,4.39,0,,,20150415:0056,0
20150414:1756,50.22,8.96,16.91,3.5,0,,,20150415:0156,0
20150414:1856,0,0,16.12,2.61,0,,,20150415:0256,0
20150414:1956,0,0,14.53,2.49,0,,,20150415:0356,0
20150414:2056,0,0,12.94,2.38,0,,,20150415:0456,0
20150414:2156,0,0,11.34,2.26,0,,,20150415:0556,43.385
20150414:2256,0,0,10.7,2.56,0,,,20150415:0656,181.485
20150414:2356,0,0,10.07,2.85,0,,,20150415:0756,279.82
20150415:0056,0,0,9.43,3.14,0,,,20150415:0856,464.91
20150415:0156,0,0,8.9,2.97,0,,,20150415:0956,550.58
20150415:0256,0,0,8.37,2.79,0,,,20150415:1056,772.935
20150415:0356,0,0,7.84,2.61,0,,,20150415:1156,649.255
20150415:0456,0,0,7.58,2.59,0,,,20150415:1256,589.34
20150415:0556,47.96,6.15,7.33,2.57,0,,,20150415:1356,534.935
20150415:0656,253.35,15.4,7.07,2.55,0,,,20150415:1456,448.565
20150415:0756,494.65,24.53,9.25,2.83,0,,,20150415:1556,307.035
20150415:0856,719.16,33.05,11.42,3.11,0,,,20150415:1656,176.34
20150415:0956,898.04,40.37,13.6,3.39,0,,,20150415:1756,50.31
20150415:1056,1007.17,45.63,14.93,3.6,0,,,20150415:1856,0
20150415:1156,1045.61,47.94,16.25,3.81,0,,,20150415:1956,0
20150415:1256,1005.27,46.76,17.58,4.01,0,,,20150415:2056,0
20150415:1356,885.29,42.38,17.95,3.96,0,,,20150415:2156,0
20150415:1456,708.22,35.64,18.32,3.9,0,,,20150415:2256,0
20150415:1556,487.74,27.44,18.69,3.85,0,,,20150415:2356,0
20150415:1656,252.49,18.45,17.77,3.36,0,,,20150416:0056,0
20150415:1756,58.92,9.2,16.84,2.86,0,,,20150416:0156,0
20150415:1856,0,0,15.92,2.37,0,,,20150416:0256,0
20150415:1956,0,0,14.19,2.71,0,,,20150416:0356,0
20150415:2056,0,0,12.46,3.05,0,,,20150416:0456,0
20150415:2156,0,0,10.73,3.39,0,,,20150416:0556,44.34
20150415:2256,0,0,9.93,3.29,0,,,20150416:0656,115.045
20150415:2356,0,0,9.14,3.18,0,,,20150416:0756,186.425
20150416:0056,0,0,8.34,3.08,0,,,20150416:0856,416.235
20150416:0156,0,0,7.82,2.74,0,,,20150416:0956,583.295
20150416:0256,0,0,7.3,2.4,0,,,20150416:1056,564.755
