"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20150104:1456,74.5,7.13,1.99,2.5,0,,,20150104:2256,0
20150104:1556,0,0,2.41,2.99,0,,,20150104:2356,0
20150104:1656,0,0,2.05,2.88,0,,,20150105:0056,0
20150104:1756,0,0,1.7,2.76,0,,,20150105:0156,0
20150104:1856,0,0,1.34,2.65,0,,,20150105:0256,0
20150104:1956,0,0,1.62,2.59,0,,,20150105:0356,0
20150104:2056,0,0,1.9,2.54,0,,,20150105:0456,0
20150104:2156,0,0,2.19,2.48,0,,,20150105:0556,0
20150104:2256,0,0,2.7,2.59,0,,,20150105:0656,0
20150104:2356,0,0,3.21,2.7,0,,,20150105:0756,0
20150105:0056,0,0,3.72,2.81,0,,,20150105:0856,72.95
20150105:0156,0,0,4.02,2.74,0,,,20150105:0956,75.69
20150105:0256,0,0,4.31,2.68,0,,,20150105:1056,107.145
20150105:0356,0,0,4.6,2.61,0,,,20150105:1156,115.76
20150105:0456,0,0,4.7,2.64,0,,,20150105:1256,104.52
20150105:0556,0,0,4.8,2.68,0,,,20150105:1356,74.095
20150105:0656,0,0,4.9,2.72,0,,,20150105:1456,21.28
20150105:0756,0,0,5.06,2.82,0,,,20150105:1556,1.32
20150105:0856,7.55,4.29,5.23,2.92,0,,,20150105:1656,0
20150105:0956,53.73,9.96,5.39,3.02,0,,,20150105:1756,0
20150105:1056,116.28,13.81,6.01,3.14,0,,,20150105:1856,0
20150105:1156,125.76,15.52,6.64,3.27,0,,,20150105:1956,0
20150105:1256,89.17,14.93,7.26,3.39,0,,,20150105:2056,0
20150105:1356,60.88,12.1,7.37,3.4,0,,,20150105:2156,0
20150105:1456,39.19,7.27,7.48,3.4,0,,,20150105:2256,0
20150105:1556,0,0,7.59,3.41,0,,,20150105:2356,0
20150105:1656,0,0,7.25,3.39,0,,,20150106:0056,0
20150105:1756,0,0,6.9,3.37,0,,,20150106:0156,0
20150105:1856,0,0,6.56,3.35,0,,,20150106:0256,0
20150105:1956,0,0,6.52,3.2,0,,,20150106:0356,0
20150105:2056,0,0,6.48,3.06,0,,,20150106:0456,0
20150105:2156,0,0,6.44,2.91,0,,,20150106:0556,0
20150105:2256,0,0,6.52,3.19,0,,,20150106:0656,0
20150105:2356,0,0,6.61,3.46,0,,,20150106:0756,0
20150106:0056,0,0,6.69,3.74,0,,,20150106:0856,110.935
20150106:0156,0,0,6.72,4.13,0,,,20150106:0956,91.825
20150106:0256,0,0,6.75,4.52,0,,,20150106:1056,196.695
20150106:0356,0,0,6.77,4.91,0,,,20150106:1156,127.825
20150106:0456,0,0,6.8,4.91,0,,,20150106:1256,164.11
20150106:0556,0,0,6.84,4.92,0,,,20150106:1356,287.785
20150106:0656,0,0,6.87,4.92,0,,,20150106:1456,259.96
20150106:0756,0,0,7.05,4.91,0,,,20150106:1556,3.71
20150106:0856,82.38,4.34,7.24,4.89,0,,,20150106:1656,0
20150106:0956,133.44,10.03,7.42,4.87,0,,,20150106:1756,0
20150106:1056,236.11,13.9,7.52,5.43,0,,,20150106:1856,0
20150106:1156,114.43,15.63,7.62,5.99,0,,,20150106:1956,0
20150106:1256,257.9,15.06,7.72,6.55,0,,,20150106:2056,0
20150106:1356,461.79,12.24,6.9,5.85,0,,,20150106:2156,0
20150106:1456,268.89,7.42,6.08,5.14,0,,,20150106:2256,0
20150106:1556,3.96,0.98,5.26,4.44,0,,,20150106:2356,0
20150106:1656,0,0,4.54,3.91,0,,,20150107:0056,0
20150106:1756,0,0,3.81,3.37,0,,,20150107:0156,0
20150106:1856,0,0,3.09,2.84,0,,,20150107:0256,0
20150106:1956,0,0,2.58,2.8,0,,,20150107:0356,0
20150106:2056,0,0,2.08,2.76,0,,,20150107:0456,0
20150106:2156,0,0,1.58,2.72,0,,,20150107:0556,0
20150106:2256,0,0,1.53,2.96,0,,,20150107:0656,0
20150106:2356,0,0,1.48,3.2,0,,,20150107:0756,0
20150107:0056,0,0,1.43,3.43,0,,,20150107:0856,120.65
