0,0
6.25,0
6.5,50
6.75,0
7,70
7.25,20
7.5,140
7.75,90
8,240
8.25,190
8.5,360
8.75,310
9,460
9.25,410
9.5,530
9.75,480
10,580
10.25,530
10.5,610
10.75,560
11,626
11.25,576
11.5,577
11.75,527
12,507
12.25,457
12.5,423
12.75,373
13,353
13.25,303
13.5,304
13.75,254
14,269
14.25,219
14.5,248
14.75,198
15,221
15.25,171
15.5,214
15.75,164
16,198
16.25,148
16.5,176
16.75,126
17,160
17.25,110
17.5,153
17.75,103
18,152
18.25,102
18.5,157
18.75,107
19,148
19.25,98
19.5,134
19.75,84
20,120
20.25,70
20.5,106
20.75,56
21,92
21.25,42
21.5,78
21.75,28
22,64
22.25,14
22.5,50
22.75,0
23,0
24,0
