0,0
6.25,0
6.5,50
6.75,0
7,60
7.25,10
7.5,95
7.75,45
8,145
8.25,95
8.5,205
8.75,155
9,255
9.25,205
9.5,290
9.75,240
10,315
10.25,265
10.5,330
10.75,280
11,338
11.25,288
11.5,313.5
11.75,263.5
12,278.5
12.25,228.5
12.5,236.5
12.75,186.5
13,201.5
13.25,151.5
13.5,177
13.75,127
14,159.5
14.25,109.5
14.5,149
14.75,99
15,135.5
15.25,85.5
15.5,132
15.75,82
16,124
16.25,74
16.5,113
16.75,63
17,105
17.25,55
17.5,101.5
17.75,51.5
18,101
18.25,51
18.5,103.5
18.75,53.5
19,99
19.25,49
19.5,92
19.75,42
20,85
20.25,35
20.5,78
20.75,28
21,71
21.25,21
21.5,64
21.75,14
22,57
22.25,7
22.5,50
22.75,0
23,0
24,0
