0,0
6.25,0
6.5,50
6.75,0
7,80
7.25,30
7.5,185
7.75,135
8,335
8.25,285
8.5,515
8.75,465
9,665
9.25,615
9.5,770
9.75,720
10,845
10.25,795
10.5,890
10.75,840
11,914
11.25,864
11.5,840.5
11.75,790.5
12,735.5
12.25,685.5
12.5,609.5
12.75,559.9
13,504.5
13.25,454.5
13.5,431
13.75,381
14,378.5
14.25,328.5
14.5,347
14.75,297
15,306.5
15.25,256.5
15.5,296
15.75,246
16,272
16.25,222
16.5,239
16.75,189
17,215
17.25,165
17.5,204.5
17.75,154.5
18,203
18.25,153
18.5,210.5
18.75,160.5
19,197
19.25,147
19.5,176
19.75,126
20,155
20.25,105
20.5,134
20.75,84
21,113
21.25,63
21.5,92
21.75,42
22,71
22.25,21
22.5,50
22.75,0
23,0
24,0
